configuration,lb_algorithm,baseline,metric,paired_runs,mean_lb_minus_baseline,ci95_lower,ci95_upper
K0010_alpha0p1,lb_sgb_eta_100,sgb,optimal_arm_probability,100,0.03747610736448574,-0.058573179029415626,0.13352539375838712
K0010_alpha0p1,lb_sgb_eta_100,sgb,expected_reward,100,-0.061146883156754414,-0.07350222783612535,-0.048791538477383475
K0010_alpha0p1,lb_sgb_eta_100,sgb,expected_pseudo_regret,100,0.061146883156754414,0.048791538477383475,0.07350222783612535
K0010_alpha0p1,lb_sgb_eta_100,sgb,cumulative_pseudo_regret,100,1576.1748823603048,1331.5485086954486,1820.801256025161
K0010_alpha0p1,lb_sgb_eta_100,sgb,minimum_probability,100,0.0049061217906288075,0.004513897504320874,0.005298346076936741
K0010_alpha0p1,lb_sgb_eta_100,sgb,normalized_log_fisher_volume,100,4.930489710916156,4.804818987397694,5.056160434434617
K0010_alpha0p1,lb_sgb_eta_100,sgb,entropy,100,0.7984803854901241,0.7380173305228176,0.8589434404574307
K0010_alpha0p1,lb_sgb_eta_100,sgb,numerically_collapsed,100,0.0,0.0,0.0
K0010_alpha0p1,lb_sgb_eta_1000,sgb,optimal_arm_probability,100,0.1997287179323794,0.09810954907267336,0.30134788679208546
K0010_alpha0p1,lb_sgb_eta_1000,sgb,expected_reward,100,0.013489693993829927,0.002833087038480295,0.024146300949179557
K0010_alpha0p1,lb_sgb_eta_1000,sgb,expected_pseudo_regret,100,-0.013489693993829927,-0.024146300949179557,-0.002833087038480295
K0010_alpha0p1,lb_sgb_eta_1000,sgb,cumulative_pseudo_regret,100,-177.4436926469759,-466.94548831439704,112.0581030204452
K0010_alpha0p1,lb_sgb_eta_1000,sgb,minimum_probability,100,0.0005311190651559044,0.00048013968246272715,0.0005820984478490816
K0010_alpha0p1,lb_sgb_eta_1000,sgb,normalized_log_fisher_volume,100,2.9533930915070754,2.8192806194978695,3.0875055635162814
K0010_alpha0p1,lb_sgb_eta_1000,sgb,entropy,100,0.13449190459961327,0.10996235575365285,0.1590214534455737
K0010_alpha0p1,lb_sgb_eta_1000,sgb,numerically_collapsed,100,0.0,0.0,0.0
K0010_alpha0p1,lb_sgb_eta_10000,sgb,optimal_arm_probability,100,0.04639731253816333,-0.06402040981251511,0.15681503488884177
K0010_alpha0p1,lb_sgb_eta_10000,sgb,expected_reward,100,0.0021391793304007278,-0.010540541072794066,0.014818899733595521
K0010_alpha0p1,lb_sgb_eta_10000,sgb,expected_pseudo_regret,100,-0.0021391793304007278,-0.014818899733595521,0.010540541072794066
K0010_alpha0p1,lb_sgb_eta_10000,sgb,cumulative_pseudo_regret,100,-31.87676147184659,-354.7815029415126,291.02797999781944
K0010_alpha0p1,lb_sgb_eta_10000,sgb,minimum_probability,100,3.1989433722591453e-05,1.926875997061576e-05,4.4710107474567146e-05
K0010_alpha0p1,lb_sgb_eta_10000,sgb,normalized_log_fisher_volume,100,0.9433446835518617,0.7991701355985683,1.0875192315051552
K0010_alpha0p1,lb_sgb_eta_10000,sgb,entropy,100,0.014792153372380244,-0.004634150948704556,0.03421845769346504
K0010_alpha0p1,lb_sgb_eta_10000,sgb,numerically_collapsed,100,0.0,0.0,0.0
