configuration,algorithm,run,failed,failure_step,final_modal_action_correct,final_optimal_probability,final_expected_reward,final_expected_pseudo_regret,final_cumulative_pseudo_regret,final_minimum_probability,final_normalized_log_fisher_volume,final_entropy,final_numerically_collapsed
K0010_alpha0p1,sgb,0,0,-1,1,0.9994071033158105,0.9997999478154007,0.00020005218459928642,349.80037006756174,9.955934787545222e-06,-6.9091162099901675,0.005973176060237623,0.0
K0010_alpha0p1,sgb,1,0,-1,0,0.0007559095845502193,0.8997749414122919,0.10022505858770814,2685.026159370317,1.753949026194273e-05,-6.504235930433347,0.010920995624562014,0.0
K0010_alpha0p1,sgb,2,0,-1,1,0.9990114417039152,0.9996020996574096,0.00039790034259035156,183.9067445668943,2.53050499301877e-05,-6.31349590025206,0.009571873465831375,0.0
K0010_alpha0p1,sgb,3,0,-1,0,9.256543593858348e-05,0.8996428538159027,0.1003571461840973,2676.5115268611235,2.67533818595584e-05,-6.4839374994130194,0.006574290479384068,0.0
K0010_alpha0p1,sgb,4,0,-1,1,0.9992776493435908,0.9995813709634354,0.0004186290365646439,150.61137012838535,2.2280897279423034e-05,-6.460503217752035,0.007313477756257627,0.0
K0010_alpha0p1,sgb,5,0,-1,1,0.9965432175722028,0.998629454228057,0.0013705457719429548,135.9318137460798,7.216834685044996e-05,-5.353071413968166,0.02808007882426605,0.0
K0010_alpha0p1,sgb,6,0,-1,1,0.9995945028789346,0.9998593336096359,0.00014066639036414141,158.5964330590633,4.196257804168368e-06,-7.3301913686706355,0.004176024280586963,0.0
K0010_alpha0p1,sgb,7,0,-1,1,0.9978606642650513,0.9995880256617112,0.0004119743382887675,594.0209252410252,1.8850353970670782e-05,-6.253626492599651,0.017680507894441234,0.0
K0010_alpha0p1,sgb,8,0,-1,1,0.9993311541993015,0.9996566554938393,0.0003433445061606921,166.03889374001304,2.5583762913882637e-05,-6.485437470136698,0.006859558520123868,0.0
K0010_alpha0p1,sgb,9,0,-1,1,0.9993361817681113,0.9997391119855329,0.00026088801446710885,100.62856075552324,2.0989819423729918e-05,-6.515512535099432,0.006788743325690604,0.0
K0010_alpha0p1,sgb,10,0,-1,0,0.0001242384956279333,0.8997304811917622,0.10026951880823776,2631.940254170821,3.253016801406214e-05,-6.634653124270348,0.005127723641880803,0.0
K0010_alpha0p1,sgb,11,0,-1,1,0.999117939791038,0.9996241587364966,0.00037584126350342917,235.0076431285462,1.6499716486706542e-05,-6.492728282091595,0.008597817893866561,0.0
K0010_alpha0p1,sgb,12,0,-1,0,0.0020239352524012615,0.8994651742538797,0.10053482574612027,2655.7106187726404,4.894575442901482e-05,-5.615846394619534,0.025000382706554518,0.0
K0010_alpha0p1,sgb,13,0,-1,1,0.9993052447433504,0.9996733886538108,0.0003266113461891651,138.33685648466,1.8384082827840814e-05,-6.601274636311467,0.006976149355379184,0.0
K0010_alpha0p1,sgb,14,0,-1,1,0.9993555858877597,0.999775403261582,0.00022459673841801475,192.31883957250523,1.58864776709092e-05,-6.577307977383309,0.006594672013655369,0.0
K0010_alpha0p1,sgb,15,0,-1,1,0.9991615838323509,0.9997100427692799,0.00028995723072011703,172.50355622795354,1.8196504472116566e-05,-6.900223019605721,0.007680101875077826,0.0
K0010_alpha0p1,sgb,16,0,-1,1,0.9994083496811065,0.9996909095204108,0.00030909047958915803,151.63354588069598,2.071582921290836e-05,-6.644496991070846,0.006076604874198909,0.0
K0010_alpha0p1,sgb,17,0,-1,0,0.0001473255198790658,0.899826636699101,0.10017336330089899,2587.7920437508774,1.889158730391265e-05,-6.812972591960871,0.005042872437604559,0.0
K0010_alpha0p1,sgb,18,0,-1,1,0.9984706276404035,0.9995978213522203,0.00040217864777969403,471.9580208781749,1.5955384036855257e-05,-6.635557950236241,0.01292544569645172,0.0
K0010_alpha0p1,sgb,19,0,-1,1,0.9994433965412457,0.9997158063703265,0.0002841936296734682,204.21476690969604,1.4388246236583974e-05,-6.682677778126927,0.0058052171533374795,0.0
K0010_alpha0p1,sgb,20,0,-1,1,0.9989994652243206,0.9994267770624223,0.0005732229375776665,183.38241061351934,4.2199496274971523e-05,-6.132441833028417,0.009855590737648785,0.0
K0010_alpha0p1,sgb,21,0,-1,0,0.00025948052887035254,0.8998164663822691,0.10018353361773091,2703.03495790099,1.8111341070328284e-05,-6.78999518972793,0.005597351591818327,0.0
K0010_alpha0p1,sgb,22,0,-1,0,4.856374340701581e-05,0.899836432538923,0.10016356746107702,2957.3201708400634,7.150122880067287e-06,-6.759864309883311,0.008405231730211129,0.0
K0010_alpha0p1,sgb,23,0,-1,1,0.9972875460154017,0.9991149343811766,0.0008850656188233996,94.97276271552236,8.174396209661373e-05,-5.269987810633514,0.02391457588055684,0.0
K0010_alpha0p1,sgb,24,0,-1,1,0.999256952805645,0.9996288350958039,0.0003711649041960863,209.85855796946794,2.0247270189801747e-05,-6.478253208040932,0.007461168411466383,0.0
K0010_alpha0p1,sgb,25,0,-1,1,0.9996785444834059,0.9997306573908548,0.00026934260914524,127.35411250784814,1.6923921310456037e-05,-6.999286059433111,0.003581975156625119,0.0
K0010_alpha0p1,sgb,26,0,-1,1,0.9990938041320603,0.9997601678968564,0.00023983210314360015,185.22364816433176,1.596973627256789e-05,-6.500064412998147,0.008783988834509837,0.0
K0010_alpha0p1,sgb,27,0,-1,1,0.9996927388058122,0.9997890213705264,0.00021097862947361268,328.2536831347347,1.0964259671369456e-05,-7.219759349514612,0.0033633285007404062,0.0
K0010_alpha0p1,sgb,28,0,-1,1,0.9994757271779156,0.999695252726539,0.0003047472734609702,159.2851682874107,1.866390403889709e-05,-6.702656385764413,0.005504784189595782,0.0
K0010_alpha0p1,sgb,29,0,-1,1,0.9996128797216229,0.9997199286628027,0.00028007133719731847,187.75431384807294,1.0502773266943712e-05,-7.145460461101657,0.004064417004301229,0.0
K0010_alpha0p1,sgb,30,0,-1,1,0.9995073402392732,0.9996950090608441,0.0003049909391559247,161.18761938961234,2.3166860875814524e-05,-6.762744758636443,0.005185442148383069,0.0
K0010_alpha0p1,sgb,31,0,-1,1,0.9996988732314639,0.999726608386128,0.000273391613871965,129.74970378540368,1.693908619150966e-05,-7.053458443462779,0.0033768044971150936,0.0
K0010_alpha0p1,sgb,32,0,-1,0,0.00020318005246531003,0.899785349764913,0.10021465023508702,2626.3833603987814,2.2571113666453905e-05,-6.297551621489197,0.0076918265033907906,0.0
K0010_alpha0p1,sgb,33,0,-1,0,0.008102311887298087,0.900380858082781,0.09961914191721899,2586.9592146218306,4.7990657697421684e-05,-5.428885107458766,0.05910215180545328,0.0
K0010_alpha0p1,sgb,34,0,-1,1,0.9995322383535066,0.9996184048615602,0.0003815951384398275,125.94354167834061,3.006709415789634e-05,-6.658968848023247,0.005038841756464743,0.0
