configuration,algorithm,num_runs,finite_runs,failed_fraction,incorrect_modal_action_rate,optimal_probability_below_0p5_fraction,metric,mean,ci95_lower,ci95_upper
K0010_alpha0p1,sgb,100,100,0.0,0.27,0.27,optimal_arm_probability,0.729668244327437,0.6412997065429689,0.8180367821119052
K0010_alpha0p1,sgb,100,100,0.0,0.27,0.27,expected_reward,0.9718668864368445,0.9626861701814979,0.981047602692191
K0010_alpha0p1,sgb,100,100,0.0,0.27,0.27,expected_pseudo_regret,0.028133113563155523,0.01895239730780901,0.03731382981850204
K0010_alpha0p1,sgb,100,100,0.0,0.27,0.27,cumulative_pseudo_regret,967.9370293979042,726.1489200002594,1209.725138795549
K0010_alpha0p1,sgb,100,100,0.0,0.27,0.27,minimum_probability,2.631501344665438e-05,1.5961394969583493e-05,3.666863192372527e-05
K0010_alpha0p1,sgb,100,100,0.0,0.27,0.27,normalized_log_fisher_volume,-6.584695565931198,-6.697419057845264,-6.471972074017132
K0010_alpha0p1,sgb,100,100,0.0,0.27,0.27,entropy,0.016531877871250343,0.0014150001784396984,0.031648755564060986
K0010_alpha0p1,sgb,100,100,0.0,0.27,0.27,numerically_collapsed,0.0,0.0,0.0
K0010_alpha0p1,lb_sgb_eta_100,100,100,0.0,0.06,0.06,optimal_arm_probability,0.7671443516919229,0.7323929129617044,0.8018957904221413
K0010_alpha0p1,lb_sgb_eta_100,100,100,0.0,0.06,0.06,expected_reward,0.9107200032800901,0.9040596285736502,0.9173803779865299
K0010_alpha0p1,lb_sgb_eta_100,100,100,0.0,0.06,0.06,expected_pseudo_regret,0.08927999671990992,0.08261962201346999,0.09594037142634985
K0010_alpha0p1,lb_sgb_eta_100,100,100,0.0,0.06,0.06,cumulative_pseudo_regret,2544.1119117582093,2503.265252536655,2584.9585709797634
K0010_alpha0p1,lb_sgb_eta_100,100,100,0.0,0.06,0.06,minimum_probability,0.004932436804075463,0.004540372322009077,0.005324501286141848
K0010_alpha0p1,lb_sgb_eta_100,100,100,0.0,0.06,0.06,normalized_log_fisher_volume,-1.6542058550150422,-1.7261629779988743,-1.5822487320312102
K0010_alpha0p1,lb_sgb_eta_100,100,100,0.0,0.06,0.06,entropy,0.8150122633613747,0.7573961109281905,0.8726284157945589
K0010_alpha0p1,lb_sgb_eta_100,100,100,0.0,0.06,0.06,numerically_collapsed,0.0,0.0,0.0
K0010_alpha0p1,lb_sgb_eta_1000,100,100,0.0,0.05,0.05,optimal_arm_probability,0.9293969622598165,0.8886394389297896,0.9701544855898434
K0010_alpha0p1,lb_sgb_eta_1000,100,100,0.0,0.05,0.05,expected_reward,0.9853565804306744,0.9807819892767725,0.9899311715845763
K0010_alpha0p1,lb_sgb_eta_1000,100,100,0.0,0.05,0.05,expected_pseudo_regret,0.014643419569325595,0.010068828415423727,0.019218010723227465
K0010_alpha0p1,lb_sgb_eta_1000,100,100,0.0,0.05,0.05,cumulative_pseudo_regret,790.4933367509283,647.3976028866251,933.5890706152314
K0010_alpha0p1,lb_sgb_eta_1000,100,100,0.0,0.05,0.05,minimum_probability,0.0005574340786025588,0.0005082748539998038,0.0006065933032053138
K0010_alpha0p1,lb_sgb_eta_1000,100,100,0.0,0.05,0.05,normalized_log_fisher_volume,-3.631302474424123,-3.711095940757032,-3.5515090080912137
K0010_alpha0p1,lb_sgb_eta_1000,100,100,0.0,0.05,0.05,entropy,0.15102378247086362,0.13261313995106214,0.1694344249906651
K0010_alpha0p1,lb_sgb_eta_1000,100,100,0.0,0.05,0.05,numerically_collapsed,0.0,0.0,0.0
K0010_alpha0p1,lb_sgb_eta_10000,100,100,0.0,0.22,0.22,optimal_arm_probability,0.7760655568656004,0.6939151532904146,0.8582159604407862
K0010_alpha0p1,lb_sgb_eta_10000,100,100,0.0,0.22,0.22,expected_reward,0.9740060657672451,0.9641853389800035,0.9838267925544868
K0010_alpha0p1,lb_sgb_eta_10000,100,100,0.0,0.22,0.22,expected_pseudo_regret,0.025993934232754798,0.01617320744551317,0.035814661019996426
K0010_alpha0p1,lb_sgb_eta_10000,100,100,0.0,0.22,0.22,cumulative_pseudo_regret,936.0602679260576,694.7800771733906,1177.3404586787244
K0010_alpha0p1,lb_sgb_eta_10000,100,100,0.0,0.22,0.22,minimum_probability,5.8304447169245835e-05,5.088458190353114e-05,6.572431243496052e-05
K0010_alpha0p1,lb_sgb_eta_10000,100,100,0.0,0.22,0.22,normalized_log_fisher_volume,-5.641350882379337,-5.744805035140658,-5.537896729618016
K0010_alpha0p1,lb_sgb_eta_10000,100,100,0.0,0.22,0.22,entropy,0.03132403124363058,0.01958722062605673,0.04306084186120444
K0010_alpha0p1,lb_sgb_eta_10000,100,100,0.0,0.22,0.22,numerically_collapsed,0.0,0.0,0.0
