configuration,lb_algorithm,baseline,metric,paired_runs,mean_lb_minus_baseline,ci95_lower,ci95_upper
K0010_alpha0p01,lb_sgb,sgb,optimal_arm_probability,100,0.011049179018682676,-0.02632645911186329,0.04842481714922864
K0010_alpha0p01,lb_sgb,sgb,expected_reward,100,-0.0031872935850942074,-0.007179723499867192,0.000805136329678777
K0010_alpha0p01,lb_sgb,sgb,expected_pseudo_regret,100,0.0031872935850942074,-0.000805136329678777,0.007179723499867192
K0010_alpha0p01,lb_sgb,sgb,cumulative_pseudo_regret,100,124.5996830458719,-9.099895410971754,258.2992615027156
K0010_alpha0p01,lb_sgb,sgb,minimum_probability,100,0.0003483241752791526,0.0003134078400852745,0.0003832405104730307
K0010_alpha0p01,lb_sgb,sgb,normalized_log_fisher_volume,100,0.7351879148651702,0.66909934670976,0.8012764830205804
K0010_alpha0p01,lb_sgb,sgb,entropy,100,0.08131881909172638,0.054070368527606355,0.1085672696558464
K0010_alpha0p01,lb_sgb,sgb,numerically_collapsed,100,0.0,0.0,0.0
K0010_alpha0p01,lb_sgb,entropy_sgb,optimal_arm_probability,100,-0.0010352630735750302,-0.025053989999410956,0.022983463852260896
K0010_alpha0p01,lb_sgb,entropy_sgb,expected_reward,100,-0.004401965986872156,-0.006970450509034661,-0.0018334814647096506
K0010_alpha0p01,lb_sgb,entropy_sgb,expected_pseudo_regret,100,0.004401965986872156,0.0018334814647096506,0.006970450509034661
K0010_alpha0p01,lb_sgb,entropy_sgb,cumulative_pseudo_regret,100,123.70790216905861,18.15628448664222,229.259519851475
K0010_alpha0p01,lb_sgb,entropy_sgb,minimum_probability,100,0.00035073437067687554,0.00032318470020284293,0.00037828404115090815
K0010_alpha0p01,lb_sgb,entropy_sgb,normalized_log_fisher_volume,100,0.7455947134748336,0.6962052534685301,0.7949841734811371
K0010_alpha0p01,lb_sgb,entropy_sgb,entropy,100,0.07931543754073112,0.05953445085130288,0.09909642423015935
K0010_alpha0p01,lb_sgb,entropy_sgb,numerically_collapsed,100,0.0,0.0,0.0
K0010_alpha0p01,lb_sgb,npg,optimal_arm_probability,100,0.24584724393929014,0.15772374032535993,0.3339707475532203
K0010_alpha0p01,lb_sgb,npg,expected_reward,100,0.06490019364081526,0.030053693819376212,0.0997466934622543
K0010_alpha0p01,lb_sgb,npg,expected_pseudo_regret,100,-0.06490019364081526,-0.0997466934622543,-0.030053693819376212
K0010_alpha0p01,lb_sgb,npg,cumulative_pseudo_regret,100,-581.5721262549929,-1533.4598842270593,370.31563171707353
K0010_alpha0p01,lb_sgb,npg,minimum_probability,100,0.0006285439280011986,0.0005974555147930877,0.0006596323412093096
K0010_alpha0p01,lb_sgb,npg,normalized_log_fisher_volume,100,211.1563051477373,201.61742091458862,220.69518938088598
K0010_alpha0p01,lb_sgb,npg,entropy,100,0.17749971686369523,0.15335627775950572,0.20164315596788474
K0010_alpha0p01,lb_sgb,npg,numerically_collapsed,100,-0.99,-1.0098421693496131,-0.9701578306503869
K0010_alpha0p1,lb_sgb,sgb,optimal_arm_probability,100,0.1855177024704683,0.0990233606205064,0.27201204432043025
K0010_alpha0p1,lb_sgb,sgb,expected_reward,100,0.014669459990235476,0.00469791499227879,0.02464100498819216
K0010_alpha0p1,lb_sgb,sgb,expected_pseudo_regret,100,-0.014669459990235476,-0.02464100498819216,-0.00469791499227879
K0010_alpha0p1,lb_sgb,sgb,cumulative_pseudo_regret,100,-188.7356655488901,-449.1881207881739,71.71678969039368
K0010_alpha0p1,lb_sgb,sgb,minimum_probability,100,0.0004905194418414175,0.0004395813643508974,0.0005414575193319377
K0010_alpha0p1,lb_sgb,sgb,normalized_log_fisher_volume,100,2.8290094875163754,2.72496046934583,2.9330585056869207
K0010_alpha0p1,lb_sgb,sgb,entropy,100,0.13287411715218822,0.11238142547134206,0.15336680883303438
K0010_alpha0p1,lb_sgb,sgb,numerically_collapsed,100,0.0,0.0,0.0
K0010_alpha0p1,lb_sgb,entropy_sgb,optimal_arm_probability,100,0.21598897464712802,0.12402655886024122,0.3079513904340148
K0010_alpha0p1,lb_sgb,entropy_sgb,expected_reward,100,0.016996902729286726,0.0068907876861284394,0.02710301777244501
K0010_alpha0p1,lb_sgb,entropy_sgb,expected_pseudo_regret,100,-0.016996902729286726,-0.02710301777244501,-0.0068907876861284394
K0010_alpha0p1,lb_sgb,entropy_sgb,cumulative_pseudo_regret,100,-232.52755267500388,-518.1690614216554,53.113956071647664
K0010_alpha0p1,lb_sgb,entropy_sgb,minimum_probability,100,0.00048823296323117246,0.0004373263032090569,0.0005391396232532881
K0010_alpha0p1,lb_sgb,entropy_sgb,normalized_log_fisher_volume,100,2.7540798954154777,2.640056175610551,2.8681036152204045
K0010_alpha0p1,lb_sgb,entropy_sgb,entropy,100,0.1292039609952698,0.10869557801495686,0.14971234397558272
K0010_alpha0p1,lb_sgb,entropy_sgb,numerically_collapsed,100,0.0,0.0,0.0
K0010_alpha0p1,lb_sgb,npg,optimal_arm_probability,100,0.574761961212925,0.4739977606758088,0.6755261617500412
K0010_alpha0p1,lb_sgb,npg,expected_reward,100,0.15036461215917868,0.10618898756690875,0.1945402367514486
K0010_alpha0p1,lb_sgb,npg,expected_pseudo_regret,100,-0.15036461215917868,-0.1945402367514486,-0.10618898756690875
K0010_alpha0p1,lb_sgb,npg,cumulative_pseudo_regret,100,-3397.4975280067715,-4495.610503551348,-2299.3845524621943
K0010_alpha0p1,lb_sgb,npg,minimum_probability,100,0.0005125527249388084,0.0004615154425018677,0.0005635900073757492
K0010_alpha0p1,lb_sgb,npg,normalized_log_fisher_volume,100,1891.233868011873,1791.4236059238988,1991.0441300998473
K0010_alpha0p1,lb_sgb,npg,entropy,100,0.1423417992379964,0.12193219805975057,0.1627514004162422
K0010_alpha0p1,lb_sgb,npg,numerically_collapsed,100,-1.0,-1.0,-1.0
K0100_alpha0p01,lb_sgb,sgb,optimal_arm_probability,100,0.06979315646094558,-0.05466742284457213,0.1942537357664633
K0100_alpha0p01,lb_sgb,sgb,expected_reward,100,-0.02457192664307699,-0.04321790368745635,-0.005925949598697626
K0100_alpha0p01,lb_sgb,sgb,expected_pseudo_regret,100,0.02457192664307699,0.005925949598697626,0.04321790368745635
K0100_alpha0p01,lb_sgb,sgb,cumulative_pseudo_regret,100,322.31120617022805,-65.0705368883659,709.692949228822
K0100_alpha0p01,lb_sgb,sgb,minimum_probability,100,0.00019698745554515282,0.0001789236736606449,0.00021505123742966074
K0100_alpha0p01,lb_sgb,sgb,normalized_log_fisher_volume,100,1.4440334144799605,1.3294954872789166,1.5585713416810043
K0100_alpha0p01,lb_sgb,sgb,entropy,100,0.4742448031083913,0.3864847190930911,0.5620048871236915
K0100_alpha0p01,lb_sgb,sgb,numerically_collapsed,100,0.0,0.0,0.0
K0100_alpha0p01,lb_sgb,entropy_sgb,optimal_arm_probability,100,0.1074722190921763,-0.005717434695099846,0.22066187287945244
K0100_alpha0p01,lb_sgb,entropy_sgb,expected_reward,100,-0.01913091000437519,-0.035849126641547505,-0.0024126933672028728
K0100_alpha0p01,lb_sgb,entropy_sgb,expected_pseudo_regret,100,0.01913091000437519,0.0024126933672028728,0.035849126641547505
K0100_alpha0p01,lb_sgb,entropy_sgb,cumulative_pseudo_regret,100,435.4333402439887,87.233246751367,783.6334337366104
K0100_alpha0p01,lb_sgb,entropy_sgb,minimum_probability,100,0.00019714321008606133,0.00017834264961245392,0.00021594377055966874
K0100_alpha0p01,lb_sgb,entropy_sgb,normalized_log_fisher_volume,100,1.4721656025925742,1.3623062673748483,1.5820249378103002
K0100_alpha0p01,lb_sgb,entropy_sgb,entropy,100,0.48286989243298406,0.3926783964362861,0.573061388429682
K0100_alpha0p01,lb_sgb,entropy_sgb,numerically_collapsed,100,0.0,0.0,0.0
K0100_alpha0p01,lb_sgb,npg,optimal_arm_probability,100,0.6917617654479752,0.6142409000450085,0.7692826308509418
K0100_alpha0p01,lb_sgb,npg,expected_reward,100,0.4062419487023247,0.3368205525746576,0.47566334482999184
K0100_alpha0p01,lb_sgb,npg,expected_pseudo_regret,100,-0.4062419487023247,-0.47566334482999184,-0.3368205525746576
K0100_alpha0p01,lb_sgb,npg,cumulative_pseudo_regret,100,-312.0361799271526,-2034.1302320219029,1410.0578721675975
K0100_alpha0p01,lb_sgb,npg,minimum_probability,100,0.0002642530754587261,0.0002498418089835874,0.0002786643419338648
K0100_alpha0p01,lb_sgb,npg,normalized_log_fisher_volume,100,276.87087788321054,175.0990394577267,378.6427163086944
K0100_alpha0p01,lb_sgb,npg,entropy,100,0.7468760370290954,0.6761491124284172,0.8176029616297736
K0100_alpha0p01,lb_sgb,npg,numerically_collapsed,100,-1.0,-1.0,-1.0
K0100_alpha0p1,lb_sgb,sgb,optimal_arm_probability,100,0.3728459531536601,0.25723396831060424,0.48845793799671594
K0100_alpha0p1,lb_sgb,sgb,expected_reward,100,0.048384036099858585,0.024114331744606424,0.07265374045511075
K0100_alpha0p1,lb_sgb,sgb,expected_pseudo_regret,100,-0.048384036099858585,-0.07265374045511075,-0.024114331744606424
K0100_alpha0p1,lb_sgb,sgb,cumulative_pseudo_regret,100,-308.39860207082114,-857.2240566457542,240.42685250411188
K0100_alpha0p1,lb_sgb,sgb,minimum_probability,100,0.0001847517327304942,0.00016433493055654838,0.00020516853490444003
K0100_alpha0p1,lb_sgb,sgb,normalized_log_fisher_volume,100,4.622155264047034,4.495342817357755,4.748967710736314
K0100_alpha0p1,lb_sgb,sgb,entropy,100,0.7232428434744784,0.645638447178325,0.8008472397706319
K0100_alpha0p1,lb_sgb,sgb,numerically_collapsed,100,0.0,0.0,0.0
K0100_alpha0p1,lb_sgb,entropy_sgb,optimal_arm_probability,100,0.3329415151930841,0.20644305363859664,0.45943997674757164
K0100_alpha0p1,lb_sgb,entropy_sgb,expected_reward,100,0.02121207661431689,0.00012231497105755218,0.042301838257576226
K0100_alpha0p1,lb_sgb,entropy_sgb,expected_pseudo_regret,100,-0.02121207661431689,-0.042301838257576226,-0.00012231497105755218
K0100_alpha0p1,lb_sgb,entropy_sgb,cumulative_pseudo_regret,100,392.82002510509733,-90.07540531279432,875.715455522989
K0100_alpha0p1,lb_sgb,entropy_sgb,minimum_probability,100,0.00018484315926075264,0.00016452370285374325,0.00020516261566776202
K0100_alpha0p1,lb_sgb,entropy_sgb,normalized_log_fisher_volume,100,4.674129846928001,4.571527952126798,4.776731741729204
K0100_alpha0p1,lb_sgb,entropy_sgb,entropy,100,0.7248115656939568,0.6475419740061112,0.8020811573818023
K0100_alpha0p1,lb_sgb,entropy_sgb,numerically_collapsed,100,0.0,0.0,0.0
K0100_alpha0p1,lb_sgb,npg,optimal_arm_probability,100,0.602771489288502,0.5141059768074187,0.6914370017695853
K0100_alpha0p1,lb_sgb,npg,expected_reward,100,0.33905761948646385,0.2854620434634666,0.3926531955094611
K0100_alpha0p1,lb_sgb,npg,expected_pseudo_regret,100,-0.33905761948646385,-0.3926531955094611,-0.2854620434634666
K0100_alpha0p1,lb_sgb,npg,cumulative_pseudo_regret,100,-7046.432764019486,-8388.542203211426,-5704.323324827547
K0100_alpha0p1,lb_sgb,npg,minimum_probability,100,0.0001867608343638358,0.00016636859594748991,0.00020715307278018166
K0100_alpha0p1,lb_sgb,npg,normalized_log_fisher_volume,100,1502.9055228874754,1357.3373751714066,1648.4736706035442
K0100_alpha0p1,lb_sgb,npg,entropy,100,0.7347823569414887,0.657355982567606,0.8122087313153715
