configuration,algorithm,run,failed,failure_step,final_modal_action_correct,final_optimal_probability,final_expected_reward,final_expected_pseudo_regret,final_cumulative_pseudo_regret,final_minimum_probability,final_normalized_log_fisher_volume,final_entropy,final_numerically_collapsed
K0010_alpha0p01,sgb,0,0,-1,1,0.9863059094129512,0.9961087806137986,0.0038912193862014055,1943.6114609286446,0.00022543979753073044,-4.20324899809654,0.09184219769060134,0.0
K0010_alpha0p01,sgb,1,0,-1,1,0.9924419830080101,0.9960212466467595,0.003978753353240494,1488.6226289694764,0.0002177638470430815,-4.441350766275234,0.05782070743945032,0.0
K0010_alpha0p01,sgb,2,0,-1,1,0.984732315105971,0.9946992491313581,0.005300750868641901,1514.8547642728518,0.000323584548441664,-3.953965863879837,0.10461299191571743,0.0
K0010_alpha0p01,sgb,3,0,-1,1,0.9936690876861657,0.9964845313001455,0.0035154686998545293,1402.770553017049,0.00024044732464220656,-4.485557508094895,0.050188043524618614,0.0
K0010_alpha0p01,sgb,4,0,-1,1,0.9873328600114321,0.995509913794943,0.004490086205056976,1567.5436242658066,0.0002334336412371766,-4.27146066849391,0.08661071799902342,0.0
K0010_alpha0p01,sgb,5,0,-1,1,0.9796096641328793,0.9949724489712677,0.005027551028732313,1748.6126717446161,0.00025910098116229096,-4.2103692308033445,0.12051900633027424,0.0
K0010_alpha0p01,sgb,6,0,-1,1,0.98453075266004,0.9948049702046343,0.00519502979536568,1677.4158117854595,0.0002651842293914339,-4.04208461760034,0.10320960723753013,0.0
K0010_alpha0p01,sgb,7,0,-1,1,0.9727306994862813,0.9933723803792757,0.006627619620724334,1606.6280717572954,0.00033498739698860916,-3.570555047942359,0.16758509805063163,0.0
K0010_alpha0p01,sgb,8,0,-1,1,0.9891980702467194,0.9955581590370688,0.0044418409629312094,1391.8139005237354,0.0002993127728798681,-4.106882307724542,0.07838567768134151,0.0
K0010_alpha0p01,sgb,9,0,-1,1,0.989780108333316,0.9964026214151145,0.0035973785848855133,1455.7905835396207,0.0002588616774718564,-4.093983650380737,0.07667200655650908,0.0
K0010_alpha0p01,sgb,10,0,-1,1,0.9937617638807674,0.9960490739517951,0.003950926048204906,1289.4491409505777,0.0003549567308931029,-4.376981116637921,0.05054444869528042,0.0
K0010_alpha0p01,sgb,11,0,-1,1,0.9932587325571041,0.9964070842462905,0.003592915753709458,1436.364623914306,0.00020802415173561278,-4.45487551975538,0.05330655927291712,0.0
K0010_alpha0p01,sgb,12,0,-1,1,0.9873754003158924,0.9951085893051768,0.004891410694823239,1602.6294616897922,0.0003127635747227861,-4.175228983787591,0.08627727506850785,0.0
K0010_alpha0p01,sgb,13,0,-1,1,0.984543725769311,0.9954705764287983,0.004529423571201674,2076.330968503098,0.00020782346567594504,-4.249787912925256,0.10030601602518749,0.0
K0010_alpha0p01,sgb,14,0,-1,1,0.9881324634920288,0.9957289203919817,0.004271079608018313,1536.3255082763267,0.0002746287722084527,-3.904177935724241,0.08765662511485806,0.0
K0010_alpha0p01,sgb,15,0,-1,1,0.9869927313301854,0.9958944440280266,0.004105555971973374,2022.0068469503283,0.0002340102010105797,-4.5275082497843115,0.08233573472713619,0.0
K0010_alpha0p01,sgb,16,0,-1,1,0.9925767465430485,0.9960241166376719,0.003975883362328125,1414.894743820725,0.0002470617863184297,-4.334738998545139,0.05790422787479037,0.0
K0010_alpha0p01,sgb,17,0,-1,1,0.9879045521210865,0.9952207997644307,0.004779200235569325,1570.493472163046,0.0002750862236950828,-4.0625988050132795,0.08696167624642671,0.0
K0010_alpha0p01,sgb,18,0,-1,1,0.9914949027037816,0.9960824352557635,0.003917564744236546,1671.313256271151,0.00021197851110065508,-4.473864643008395,0.06296298375070918,0.0
K0010_alpha0p01,sgb,19,0,-1,1,0.9917232507060056,0.9960246301315906,0.003975369868409406,1657.660281571,0.00025399088959798664,-4.269112734977248,0.06366521038205036,0.0
K0010_alpha0p01,sgb,20,0,-1,1,0.9789992484871248,0.9946111172462612,0.005388882753738833,2118.7276359021093,0.00024935985753492837,-4.104214980179712,0.12602577155834258,0.0
K0010_alpha0p01,sgb,21,0,-1,1,0.9930104256086946,0.9961467754329885,0.0038532245670115373,1427.529781696228,0.00022797586616309234,-4.358525905310548,0.055200545875482475,0.0
K0010_alpha0p01,sgb,22,0,-1,1,0.9882119643121094,0.9963599915471659,0.003640008452834076,1729.3590231751477,0.00018412816753979268,-4.112904311067036,0.08512641593592819,0.0
K0010_alpha0p01,sgb,23,0,-1,1,0.9776674790242585,0.9942328860165373,0.005767113983462746,1459.6229219016766,0.0003585709184950751,-3.504373417416562,0.14747676554758649,0.0
K0010_alpha0p01,sgb,24,0,-1,1,0.9789935907959901,0.994005904746251,0.005994095253749054,1681.1256921674844,0.00035040337649406027,-3.9364804948276655,0.12860394039046025,0.0
K0010_alpha0p01,sgb,25,0,-1,1,0.9929301376171566,0.99602920465299,0.003970795347009948,1660.6792880190794,0.00022890877648508635,-4.496560175967119,0.0546085296349744,0.0
K0010_alpha0p01,sgb,26,0,-1,1,0.9849911095705188,0.9952939381120189,0.004706061887981061,1225.562353669301,0.0004438618491108582,-3.7866597123402492,0.1058406281853623,0.0
K0010_alpha0p01,sgb,27,0,-1,0,0.023760321926588404,0.8972623968207937,0.10273760317920633,3840.9323317102135,0.00038547086676070326,-3.924831084472604,0.1654692685117519,0.0
K0010_alpha0p01,sgb,28,0,-1,1,0.9854156673379548,0.9962882740409885,0.0037117259590114804,2014.7246934957636,0.0001984232984737192,-4.413554623222729,0.09323660530640272,0.0
K0010_alpha0p01,sgb,29,0,-1,1,0.9948087053612974,0.9959412782376157,0.00405872176238431,1532.1305713778506,0.00023012515307211374,-4.7292520458141825,0.041502852298347756,0.0
