configuration,algorithm,num_runs,finite_runs,failed_fraction,incorrect_modal_action_rate,optimal_probability_below_0p5_fraction,metric,mean,ci95_lower,ci95_upper
K0010_alpha0p01,sgb,100,100,0.0,0.04,0.04,optimal_arm_probability,0.9518410077757781,0.9176753952227372,0.9860066203288189
K0010_alpha0p01,sgb,100,100,0.0,0.04,0.04,expected_reward,0.991781581846899,0.9882397307690455,0.9953234329247526
K0010_alpha0p01,sgb,100,100,0.0,0.04,0.04,expected_pseudo_regret,0.008218418153100936,0.004676567075247381,0.011760269230954492
K0010_alpha0p01,sgb,100,100,0.0,0.04,0.04,cumulative_pseudo_regret,1724.256987052285,1621.849853729472,1826.664120375098
K0010_alpha0p01,sgb,100,100,0.0,0.04,0.04,minimum_probability,0.000280219770997636,0.00026087814661375166,0.0002995613953815204
K0010_alpha0p01,sgb,100,100,0.0,0.04,0.04,normalized_log_fisher_volume,-4.182737871857009,-4.253483945711624,-4.111991798002395
K0010_alpha0p01,sgb,100,100,0.0,0.04,0.04,entropy,0.10225316157070799,0.08331163404657008,0.1211946890948459
K0010_alpha0p01,sgb,100,100,0.0,0.04,0.04,numerically_collapsed,0.0,0.0,0.0
K0010_alpha0p01,entropy_sgb,100,100,0.0,0.03,0.03,optimal_arm_probability,0.9639254498680359,0.9379734652202519,0.9898774345158198
K0010_alpha0p01,entropy_sgb,100,100,0.0,0.03,0.03,expected_reward,0.9929962542486771,0.9901912421362474,0.9958012663611068
K0010_alpha0p01,entropy_sgb,100,100,0.0,0.03,0.03,expected_pseudo_regret,0.007003745751322987,0.004198733638893347,0.009808757863752626
K0010_alpha0p01,entropy_sgb,100,100,0.0,0.03,0.03,cumulative_pseudo_regret,1725.1487679290979,1635.70574678508,1814.5917890731157
K0010_alpha0p01,entropy_sgb,100,100,0.0,0.03,0.03,minimum_probability,0.00027780957559991307,0.00025654087753341744,0.0002990782736664087
K0010_alpha0p01,entropy_sgb,100,100,0.0,0.03,0.03,normalized_log_fisher_volume,-4.193144670466673,-4.255671346555276,-4.13061799437807
K0010_alpha0p01,entropy_sgb,100,100,0.0,0.03,0.03,entropy,0.10425654312170324,0.08334755329573204,0.12516553294767443
K0010_alpha0p01,entropy_sgb,100,100,0.0,0.03,0.03,numerically_collapsed,0.0,0.0,0.0
K0010_alpha0p01,npg,100,100,0.0,0.28,0.28,optimal_arm_probability,0.7170429428551707,0.6276786725151439,0.8064072131951975
K0010_alpha0p01,npg,100,100,0.0,0.28,0.28,expected_reward,0.9236940946209897,0.8887984608909117,0.9585897283510677
K0010_alpha0p01,npg,100,100,0.0,0.28,0.28,expected_pseudo_regret,0.0763059053790104,0.04141027164893246,0.11120153910908834
K0010_alpha0p01,npg,100,100,0.0,0.28,0.28,cumulative_pseudo_regret,2430.4287963531497,1466.0699296010885,3394.787663105211
K0010_alpha0p01,npg,100,100,0.0,0.28,0.28,minimum_probability,1.8275589992399387e-11,-1.7987145166928926e-11,5.45383251517277e-11
