configuration,lb_algorithm,baseline,metric,paired_runs,mean_lb_minus_baseline,ci95_lower,ci95_upper
K0010_alpha0p01,lb_sgb,sgb,optimal_arm_probability,10,-0.14407663878246063,-0.27639905734377285,-0.011754220221148415
K0010_alpha0p01,lb_sgb,sgb,expected_reward,10,-0.03476949603721553,-0.06916246978271727,-0.00037652229171379614
K0010_alpha0p01,lb_sgb,sgb,expected_pseudo_regret,10,0.03476949603721553,0.00037652229171379614,0.06916246978271727
K0010_alpha0p01,lb_sgb,sgb,cumulative_pseudo_regret,10,57.672197709157366,-19.25746481355805,134.6018602318728
K0010_alpha0p01,lb_sgb,sgb,minimum_probability,10,0.001769381383740855,-0.00030891695805744307,0.003847679725539153
K0010_alpha0p01,lb_sgb,sgb,normalized_log_fisher_volume,10,0.14359162813666665,-0.045722155232598455,0.3329054115059318
K0010_alpha0p01,lb_sgb,sgb,entropy,10,0.16887173846548614,-0.06465284267171992,0.4023963196026922
K0010_alpha0p01,lb_sgb,sgb,numerically_collapsed,10,0.0,0.0,0.0
K0010_alpha0p01,lb_sgb,entropy_sgb,optimal_arm_probability,10,-0.04546755747465095,-0.26020618159751896,0.16927106664821703
K0010_alpha0p01,lb_sgb,entropy_sgb,expected_reward,10,-0.009347639698346377,-0.04828376886883747,0.029588489472144715
K0010_alpha0p01,lb_sgb,entropy_sgb,expected_pseudo_regret,10,0.009347639698346377,-0.029588489472144715,0.04828376886883747
K0010_alpha0p01,lb_sgb,entropy_sgb,cumulative_pseudo_regret,10,12.045431315230621,-49.38069043840623,73.47155306886748
K0010_alpha0p01,lb_sgb,entropy_sgb,minimum_probability,10,0.0009009493150117478,-0.0005478390186948648,0.0023497376487183605
K0010_alpha0p01,lb_sgb,entropy_sgb,normalized_log_fisher_volume,10,0.044878829629476646,-0.105122023129674,0.1948796823886273
K0010_alpha0p01,lb_sgb,entropy_sgb,entropy,10,0.05124211765220973,-0.14761897204954616,0.25010320735396563
K0010_alpha0p01,lb_sgb,entropy_sgb,numerically_collapsed,10,0.0,0.0,0.0
K0010_alpha0p01,lb_sgb,npg,optimal_arm_probability,10,-0.2824713343910051,-0.5268088310568002,-0.03813383772520995
K0010_alpha0p01,lb_sgb,npg,expected_reward,10,-0.11460352590748032,-0.2641808986633638,0.034973846848403184
K0010_alpha0p01,lb_sgb,npg,expected_pseudo_regret,10,0.11460352590748032,-0.03497384684840321,0.26418089866336386
K0010_alpha0p01,lb_sgb,npg,cumulative_pseudo_regret,10,725.1457014446571,406.5897486638391,1043.701654225475
K0010_alpha0p01,lb_sgb,npg,minimum_probability,10,0.01329571096742439,0.011157920154546721,0.015433501780302058
K0010_alpha0p01,lb_sgb,npg,normalized_log_fisher_volume,10,18.48728328976761,13.794197386604006,23.180369192931217
K0010_alpha0p01,lb_sgb,npg,entropy,10,1.0559716870519584,0.7041754524268602,1.4077679216770567
K0010_alpha0p01,lb_sgb,npg,numerically_collapsed,10,-0.9,-1.12621571629,-0.6737842837100001
K0010_alpha0p1,lb_sgb,sgb,optimal_arm_probability,10,-0.46619553008659353,-0.943541762560927,0.011150702387739964
K0010_alpha0p1,lb_sgb,sgb,expected_reward,10,-0.05120524629384386,-0.10709851743787599,0.004688024850188266
K0010_alpha0p1,lb_sgb,sgb,expected_pseudo_regret,10,0.05120524629384386,-0.004688024850188266,0.10709851743787599
K0010_alpha0p1,lb_sgb,sgb,cumulative_pseudo_regret,10,156.0788778966832,-7.500377114202024,319.6581329075684
K0010_alpha0p1,lb_sgb,sgb,minimum_probability,10,0.0005022131898294076,0.00021683995479235952,0.0007875864248664557
K0010_alpha0p1,lb_sgb,sgb,normalized_log_fisher_volume,10,1.2575366399579893,0.8573601884625495,1.657713091453429
K0010_alpha0p1,lb_sgb,sgb,entropy,10,0.2244732716652738,0.05945614709976954,0.3894903962307781
K0010_alpha0p1,lb_sgb,sgb,numerically_collapsed,10,0.0,0.0,0.0
K0010_alpha0p1,lb_sgb,entropy_sgb,optimal_arm_probability,10,-0.45776714888741843,-0.8036935985605288,-0.11184069921430806
K0010_alpha0p1,lb_sgb,entropy_sgb,expected_reward,10,-0.05097484219770361,-0.08638136152878026,-0.015568322866626953
K0010_alpha0p1,lb_sgb,entropy_sgb,expected_pseudo_regret,10,0.05097484219770361,0.015568322866626953,0.08638136152878026
K0010_alpha0p1,lb_sgb,entropy_sgb,cumulative_pseudo_regret,10,142.3061263373206,25.08539168544209,259.5268609891991
K0010_alpha0p1,lb_sgb,entropy_sgb,minimum_probability,10,0.00034007508896154604,1.447294567112525e-06,0.0006787028833559795
K0010_alpha0p1,lb_sgb,entropy_sgb,normalized_log_fisher_volume,10,0.7113447771142659,0.30791573240915965,1.1147738218193721
K0010_alpha0p1,lb_sgb,entropy_sgb,entropy,10,0.15679942718606615,0.01072680235500148,0.30287205201713086
K0010_alpha0p1,lb_sgb,entropy_sgb,numerically_collapsed,10,0.0,0.0,0.0
K0010_alpha0p1,lb_sgb,npg,optimal_arm_probability,10,0.027538910431357044,-0.4106885444463219,0.465766365309036
K0010_alpha0p1,lb_sgb,npg,expected_reward,10,0.052494148699242425,-0.03408495047160085,0.1390732478700857
K0010_alpha0p1,lb_sgb,npg,expected_pseudo_regret,10,-0.052494148699242425,-0.1390732478700857,0.03408495047160085
K0010_alpha0p1,lb_sgb,npg,cumulative_pseudo_regret,10,-17.993354918585545,-229.36195737094133,193.37524753377025
K0010_alpha0p1,lb_sgb,npg,minimum_probability,10,0.0007166416555915975,0.0004512511877042953,0.0009820321234788997
K0010_alpha0p1,lb_sgb,npg,normalized_log_fisher_volume,10,223.90272071480052,183.21527727853783,264.5901641510632
K0010_alpha0p1,lb_sgb,npg,entropy,10,0.2784285104134563,0.11440391239366107,0.4424531084332515
K0010_alpha0p1,lb_sgb,npg,numerically_collapsed,10,-1.0,-1.0,-1.0
K0100_alpha0p01,lb_sgb,sgb,optimal_arm_probability,10,-0.0007000066797951563,-0.0015581847460674834,0.00015817138647717072
K0100_alpha0p01,lb_sgb,sgb,expected_reward,10,0.000543957514562042,-0.003030976471384808,0.004118891500508892
K0100_alpha0p01,lb_sgb,sgb,expected_pseudo_regret,10,-0.0005439575145620657,-0.004118891500508907,0.0030309764713847757
K0100_alpha0p01,lb_sgb,sgb,cumulative_pseudo_regret,10,27.008815127023034,-0.26065571214740757,54.27828596619348
K0100_alpha0p01,lb_sgb,sgb,minimum_probability,10,-0.00022169169253478054,-0.0004519880146326222,8.604629563061162e-06
K0100_alpha0p01,lb_sgb,sgb,normalized_log_fisher_volume,10,-8.431695272470563e-05,-0.0010194655949075672,0.000850831689458156
