configuration,algorithm,run,failed,failure_step,final_modal_action_correct,final_optimal_probability,final_expected_reward,final_expected_pseudo_regret,final_cumulative_pseudo_regret,final_minimum_probability,final_normalized_log_fisher_volume,final_entropy,final_numerically_collapsed
K0010_alpha0p01,sgb,0,0,-1,1,0.6418967797072517,0.8444087356326511,0.15559126436734894,995.7056084025767,0.010575019814331272,-0.9038882932163848,1.3399736719767021,0.0
K0010_alpha0p01,sgb,1,0,-1,0,0.35638022033927946,0.7687129573694221,0.23128704263057787,1225.036955063059,0.012390175822450828,-0.899700892716885,1.4977202952709938,0.0
K0010_alpha0p01,sgb,2,0,-1,1,0.458692523639915,0.8041965271323771,0.1958034728676229,1135.093529558555,0.011817012034196342,-0.7834952075839099,1.6154660049911094,0.0
K0010_alpha0p01,sgb,3,0,-1,1,0.8400105793380565,0.8963990551300882,0.10360094486991178,979.6762464062176,0.007928268157754584,-1.4850092517028268,0.7631005789266148,0.0
K0010_alpha0p01,sgb,4,0,-1,1,0.6315422586534875,0.8441427496838529,0.15585725031614706,1247.6141987594303,0.00841436913199963,-1.1310507340284084,1.2562335423958064,0.0
K0010_alpha0p01,sgb,5,0,-1,1,0.7524760206073439,0.8774904541466226,0.12250954585337737,1007.6573874392718,0.008355955053636966,-1.306208459934218,0.9984566202258043,0.0
K0010_alpha0p01,sgb,6,0,-1,1,0.7211376612813897,0.8635071608832631,0.13649283911673693,1131.293799624952,0.008499765653475808,-1.1436790886631871,1.1213367107104457,0.0
K0010_alpha0p01,sgb,7,0,-1,0,0.21405853191309793,0.7354658484105836,0.2645341515894164,1079.8471272077852,0.017497078900266257,-0.4038993644257425,1.9666562996827763,0.0
K0010_alpha0p01,sgb,8,0,-1,1,0.555959543697571,0.7926617733166856,0.20733822668331436,1093.4586671496859,0.014097680321132348,-0.7107446395141332,1.5289196391750708,0.0
K0010_alpha0p01,sgb,9,0,-1,1,0.39223405805808914,0.7908321688996774,0.20916783110032255,945.3978530035216,0.015687970951715178,-0.5406769178830064,1.8111404856240814,0.0
K0010_alpha0p01,entropy_sgb,0,0,-1,0,0.2584055816510062,0.7523994107875671,0.2476005892124329,1108.8989484148522,0.016090473460756483,-0.5738814079079426,1.7853215622443235,0.0
K0010_alpha0p01,entropy_sgb,1,0,-1,1,0.6913270959198092,0.8480024074059496,0.15199759259405043,1151.1890518508465,0.007977262217614042,-1.1968409613228261,1.1454887215542189,0.0
K0010_alpha0p01,entropy_sgb,2,0,-1,0,0.17876941721008327,0.7491050101335122,0.25089498986648784,1110.504821722075,0.013426746622094978,-0.7080445419848207,1.742206499972184,0.0
K0010_alpha0p01,entropy_sgb,3,0,-1,1,0.4458551712711617,0.7831151214504938,0.21688487854950622,1248.6499393551317,0.013346104801492448,-0.8555270542706657,1.4774290618669923,0.0
