configuration,algorithm,num_runs,finite_runs,failed_fraction,incorrect_modal_action_rate,optimal_probability_below_0p5_fraction,metric,mean,ci95_lower,ci95_upper
K0010_alpha0p01,sgb,10,10,0.0,0.2,0.4,optimal_arm_probability,0.5564388177235482,0.4148298067333611,0.6980478287137353
K0010_alpha0p01,sgb,10,10,0.0,0.2,0.4,expected_reward,0.8217817430605224,0.7849904553247512,0.8585730307962937
K0010_alpha0p01,sgb,10,10,0.0,0.2,0.4,expected_pseudo_regret,0.17821825693947763,0.14142696920370643,0.21500954467524883
K0010_alpha0p01,sgb,10,10,0.0,0.2,0.4,cumulative_pseudo_regret,1084.0781372615054,1010.4534925703498,1157.702781952661
K0010_alpha0p01,sgb,10,10,0.0,0.2,0.4,minimum_probability,0.011526329584095921,0.00910444319365784,0.013948215974534002
K0010_alpha0p01,sgb,10,10,0.0,0.2,0.4,normalized_log_fisher_volume,-0.9308352849668703,-1.1734400851702607,-0.6882304847634799
K0010_alpha0p01,sgb,10,10,0.0,0.2,0.4,entropy,1.3899003848979405,1.1253887265790852,1.654412043216796
K0010_alpha0p01,sgb,10,10,0.0,0.2,0.4,numerically_collapsed,0.0,0.0,0.0
K0010_alpha0p01,entropy_sgb,10,10,0.0,0.4,0.6,optimal_arm_probability,0.45782973641573843,0.3038020580007821,0.6118574148306948
K0010_alpha0p01,entropy_sgb,10,10,0.0,0.4,0.6,expected_reward,0.7963598867216531,0.7621016973889664,0.8306180760543399
K0010_alpha0p01,entropy_sgb,10,10,0.0,0.4,0.6,expected_pseudo_regret,0.20364011327834675,0.16938192394565998,0.2378983026110335
K0010_alpha0p01,entropy_sgb,10,10,0.0,0.4,0.6,cumulative_pseudo_regret,1129.7049036554324,1068.1283829187864,1191.2814243920784
K0010_alpha0p01,entropy_sgb,10,10,0.0,0.4,0.6,minimum_probability,0.012394761652825029,0.01007721631816025,0.014712306987489808
K0010_alpha0p01,entropy_sgb,10,10,0.0,0.4,0.6,normalized_log_fisher_volume,-0.8321224864596802,-1.0470134379982963,-0.6172315349210642
K0010_alpha0p01,entropy_sgb,10,10,0.0,0.4,0.6,entropy,1.5075300057112169,1.276292047365065,1.7387679640573688
K0010_alpha0p01,entropy_sgb,10,10,0.0,0.4,0.6,numerically_collapsed,0.0,0.0,0.0
K0010_alpha0p01,npg,10,10,0.0,0.1,0.2,optimal_arm_probability,0.6948335133320926,0.48003375278711113,0.9096332738770742
K0010_alpha0p01,npg,10,10,0.0,0.1,0.2,expected_reward,0.9016157729307872,0.7462258455794412,1.0570057002821334
K0010_alpha0p01,npg,10,10,0.0,0.1,0.2,expected_pseudo_regret,0.09838422706921283,-0.05700570028213327,0.25377415442055895
K0010_alpha0p01,npg,10,10,0.0,0.1,0.2,cumulative_pseudo_regret,416.6046335260059,139.94582437594482,693.2634426760669
K0010_alpha0p01,npg,10,10,0.0,0.1,0.2,minimum_probability,4.1238705376208966e-13,-2.8589439655875157e-13,1.1106685040829309e-12
K0010_alpha0p01,npg,10,10,0.0,0.1,0.2,normalized_log_fisher_volume,-19.274526946597817,-23.91798559702066,-14.631068296174972
K0010_alpha0p01,npg,10,10,0.0,0.1,0.2,entropy,0.5028004363114682,0.2209111350217231,0.7846897376012133
K0010_alpha0p01,npg,10,10,0.0,0.1,0.2,numerically_collapsed,0.9,0.6737842837100001,1.12621571629
K0010_alpha0p01,lb_sgb,10,10,0.0,0.2,0.7,optimal_arm_probability,0.4123621789410875,0.306015265640143,0.5187090922420321
K0010_alpha0p01,lb_sgb,10,10,0.0,0.2,0.7,expected_reward,0.7870122470233069,0.7700181180542314,0.8040063759923823
K0010_alpha0p01,lb_sgb,10,10,0.0,0.2,0.7,expected_pseudo_regret,0.21298775297669312,0.19599362400761763,0.2299818819457686
K0010_alpha0p01,lb_sgb,10,10,0.0,0.2,0.7,cumulative_pseudo_regret,1141.7503349706628,1065.3624456349662,1218.1382243063595
K0010_alpha0p01,lb_sgb,10,10,0.0,0.2,0.7,minimum_probability,0.013295710967836777,0.011157920154613196,0.015433501781060358
K0010_alpha0p01,lb_sgb,10,10,0.0,0.2,0.7,normalized_log_fisher_volume,-0.7872436568302037,-0.9538936611127964,-0.620593652547611
K0010_alpha0p01,lb_sgb,10,10,0.0,0.2,0.7,entropy,1.5587721233634269,1.3898085039849521,1.7277357427419016
K0010_alpha0p01,lb_sgb,10,10,0.0,0.2,0.7,numerically_collapsed,0.0,0.0,0.0
K0010_alpha0p1,sgb,10,10,0.0,0.1,0.1,optimal_arm_probability,0.8937344405179506,0.6696415090201546,1.1178273720157466
K0010_alpha0p1,sgb,10,10,0.0,0.1,0.1,expected_reward,0.9830985579657788,0.9525438063558352,1.0136533095757225
K0010_alpha0p1,sgb,10,10,0.0,0.1,0.1,expected_pseudo_regret,0.016901442034221136,-0.013653309575722503,0.04745619364416477
K0010_alpha0p1,sgb,10,10,0.0,0.1,0.1,cumulative_pseudo_regret,158.50581832410342,81.0990062834281,235.91263036477875
K0010_alpha0p1,sgb,10,10,0.0,0.1,0.1,minimum_probability,0.00021442846576218984,0.0001551880917074077,0.00027366883981697196
K0010_alpha0p1,sgb,10,10,0.0,0.1,0.1,normalized_log_fisher_volume,-4.522498990945964,-4.7949283844515795,-4.250069597440349
K0010_alpha0p1,sgb,10,10,0.0,0.1,0.1,entropy,0.05395523874818251,0.03461600221662273,0.0732944752797423
K0010_alpha0p1,sgb,10,10,0.0,0.1,0.1,numerically_collapsed,0.0,0.0,0.0
K0010_alpha0p1,entropy_sgb,10,10,0.0,0.1,0.1,optimal_arm_probability,0.8853060593187754,0.6665119181227226,1.1041002005148282
