configuration,lb_algorithm,baseline,metric,paired_runs,mean_lb_minus_baseline,ci95_lower,ci95_upper
K0010_alpha0p01,lb_sgb,sgb,optimal_arm_probability,4,-0.00338229026284605,-0.019384559858273143,0.012619979332581042
K0010_alpha0p01,lb_sgb,sgb,expected_reward,4,0.0030526874820197697,-0.01323223840489204,0.01933761336893158
K0010_alpha0p01,lb_sgb,sgb,expected_pseudo_regret,4,-0.003052687482019728,-0.0193376133689315,0.013232238404892044
K0010_alpha0p01,lb_sgb,sgb,cumulative_pseudo_regret,4,-6.437683798121014,-15.864755408316787,2.9893878120747583
K0010_alpha0p01,lb_sgb,sgb,minimum_probability,4,-0.001045275608397487,-0.006846544543079163,0.004755993326284189
K0010_alpha0p01,lb_sgb,sgb,normalized_log_fisher_volume,4,-0.0004846435170632324,-0.004305805932224746,0.003336518898098282
K0010_alpha0p01,lb_sgb,sgb,entropy,4,-0.0005004358407275644,-0.004341187248197664,0.0033403155667425344
K0010_alpha0p01,lb_sgb,sgb,numerically_collapsed,4,0.0,0.0,0.0
K0010_alpha0p01,lb_sgb,entropy_sgb,optimal_arm_probability,4,0.0035834080944151837,-0.011908697331397168,0.019075513520227537
K0010_alpha0p01,lb_sgb,entropy_sgb,expected_reward,4,0.0030087542516751,-0.02114429827721383,0.02716180678056403
K0010_alpha0p01,lb_sgb,entropy_sgb,expected_pseudo_regret,4,-0.0030087542516750443,-0.027161806780563923,0.021144298277213834
K0010_alpha0p01,lb_sgb,entropy_sgb,cumulative_pseudo_regret,4,-6.918338190462592,-16.129607379612615,2.2929309986874333
K0010_alpha0p01,lb_sgb,entropy_sgb,minimum_probability,4,0.0030142181971946555,-0.0029278621501963205,0.008956298544585631
K0010_alpha0p01,lb_sgb,entropy_sgb,normalized_log_fisher_volume,4,-0.0004694685638314544,-0.004959182027279098,0.004020244899616189
K0010_alpha0p01,lb_sgb,entropy_sgb,entropy,4,-0.0006177762731165437,-0.004999243184452171,0.0037636906382190836
K0010_alpha0p01,lb_sgb,entropy_sgb,numerically_collapsed,4,0.0,0.0,0.0
K0010_alpha0p01,lb_sgb,npg,optimal_arm_probability,4,-0.17007966822950976,-0.28538108419760333,-0.054778252261416166
K0010_alpha0p01,lb_sgb,npg,expected_reward,4,-0.4431632302414705,-0.6052623551418205,-0.2810641053411205
K0010_alpha0p01,lb_sgb,npg,expected_pseudo_regret,4,0.4431632302414705,0.2810641053411205,0.6052623551418205
K0010_alpha0p01,lb_sgb,npg,cumulative_pseudo_regret,4,49.326829727783604,20.283145504450633,78.37051395111658
K0010_alpha0p01,lb_sgb,npg,minimum_probability,4,0.0783936551825374,0.07107380093388496,0.08571350943118983
K0010_alpha0p01,lb_sgb,npg,normalized_log_fisher_volume,4,0.713079004805259,0.43113738668377777,0.9950206229267402
K0010_alpha0p01,lb_sgb,npg,entropy,4,0.46444312924771525,0.32243450104806515,0.6064517574473653
K0010_alpha0p01,lb_sgb,npg,numerically_collapsed,4,0.0,0.0,0.0
