configuration,algorithm,run,failed,failure_step,final_modal_action_correct,final_optimal_probability,final_expected_reward,final_expected_pseudo_regret,final_cumulative_pseudo_regret,final_minimum_probability,final_normalized_log_fisher_volume,final_entropy,final_numerically_collapsed
K0010_alpha0p01,sgb,0,0,-1,0,0.113476379386085,0.34456237224901454,0.6554376277509855,136.97456051664554,0.08285994782363058,-0.008668790025362583,2.294039498838906,0.0
K0010_alpha0p01,sgb,1,0,-1,1,0.12148998396366706,0.12172267901164555,0.8782773209883544,192.63461067232325,0.08090120047189657,-0.009404672325924235,2.2932856282839356,0.0
K0010_alpha0p01,sgb,2,0,-1,0,0.11157377310943872,0.23830899859680604,0.7616910014031939,157.4088729427985,0.08081183924974294,-0.009435595547026665,2.293036960689076,0.0
K0010_alpha0p01,sgb,3,0,-1,1,0.1320709155104179,0.24665157930551157,0.7533484206944885,150.85637702111177,0.08459524411900936,-0.008183870294060203,2.2941142931002645,0.0
K0010_alpha0p01,entropy_sgb,0,0,-1,0,0.10455976814355693,0.33161017188842873,0.6683898281115712,139.2643064142065,0.0795208359771738,-0.006617315053832673,2.2961156494183452,0.0
K0010_alpha0p01,entropy_sgb,1,0,-1,1,0.12697828412246537,0.12376120501651458,0.8762387949834854,178.63975762921737,0.07755424555249564,-0.009875798581682194,2.292736757981525,0.0
K0010_alpha0p01,entropy_sgb,2,0,-1,0,0.11095203893521516,0.25422889131764265,0.7457711086823573,157.41870966615818,0.07576174181909745,-0.011609957198632337,2.2910840475153575,0.0
K0010_alpha0p01,entropy_sgb,3,0,-1,0,0.1082581673393263,0.24182109386177042,0.7581789061382296,164.47426501266332,0.080093433093144,-0.007650557171153594,2.29500928772651,0.0
K0010_alpha0p01,npg,0,0,-1,1,0.314119645742312,0.727426066879701,0.272573933120299,87.21823090991994,0.00491170511764603,-0.5616852639913597,1.890861112823249,0.0
K0010_alpha0p01,npg,1,0,-1,0,0.18874619147004554,0.6508024874424748,0.3491975125575252,114.54278970643742,0.0022728982954954833,-0.8319669527958493,1.803435934162822,0.0
K0010_alpha0p01,npg,2,0,-1,1,0.34602273958688007,0.7712633508212055,0.22873664917879455,88.50781599449653,0.002233542301358732,-0.9151422806146892,1.7114577866530207,0.0
K0010_alpha0p01,npg,3,0,-1,1,0.29651198703702597,0.5866173949135572,0.41338260508644276,124.54753043840667,0.0019943627860396786,-0.5811530240797644,1.908947286919319,0.0
K0010_alpha0p01,lb_sgb,0,0,-1,1,0.12039951760615321,0.3544130509448585,0.6455869490551416,129.71501884060348,0.07734079509966221,-0.01070569184116188,2.2921111392290037,0.0
K0010_alpha0p01,lb_sgb,1,0,-1,1,0.12119672973656642,0.11118718310007494,0.8888128168999251,178.6702747274375,0.08426560025137082,-0.007141072795938896,2.295371766989585,0.0
K0010_alpha0p01,lb_sgb,2,0,-1,0,0.10849263671665581,0.2502482726442164,0.7497517273557837,152.58405343467982,0.07934450177650632,-0.012337932324287149,2.289947545326745,0.0
K0010_alpha0p01,lb_sgb,3,0,-1,0,0.11499300685884906,0.24760787240190696,0.752392127598093,151.1543389576742,0.08403623210315016,-0.00744680529923869,2.2950441860039383,0.0
