configuration,algorithm,num_runs,finite_runs,failed_fraction,incorrect_modal_action_rate,optimal_probability_below_0p5_fraction,metric,mean,ci95_lower,ci95_upper
K0010_alpha0p01,sgb,4,4,0.0,0.5,1.0,optimal_arm_probability,0.11965276299240218,0.10481071671951321,0.13449480926529117
K0010_alpha0p01,sgb,4,4,0.0,0.5,1.0,expected_reward,0.2378114072907444,0.09269639922621847,0.38292641535527033
K0010_alpha0p01,sgb,4,4,0.0,0.5,1.0,expected_pseudo_regret,0.7621885927092555,0.6170735846447297,0.9073036007737814
K0010_alpha0p01,sgb,4,4,0.0,0.5,1.0,cumulative_pseudo_regret,159.46860528821975,121.76435039033409,197.17286018610542
K0010_alpha0p01,sgb,4,4,0.0,0.5,1.0,minimum_probability,0.08229205791606986,0.07942304280438336,0.08516107302775636
K0010_alpha0p01,sgb,4,4,0.0,0.5,1.0,normalized_log_fisher_volume,-0.008923232048093421,-0.009889257688486695,-0.007957206407700148
K0010_alpha0p01,sgb,4,4,0.0,0.5,1.0,entropy,2.2936190952280455,2.292761190814085,2.294476999642006
K0010_alpha0p01,sgb,4,4,0.0,0.5,1.0,numerically_collapsed,0.0,0.0,0.0
K0010_alpha0p01,entropy_sgb,4,4,0.0,0.75,1.0,optimal_arm_probability,0.11268706463514094,0.09696378969197274,0.12841033957830916
K0010_alpha0p01,entropy_sgb,4,4,0.0,0.75,1.0,expected_reward,0.2378553405210891,0.10130879715400928,0.37440188388816886
K0010_alpha0p01,entropy_sgb,4,4,0.0,0.75,1.0,expected_pseudo_regret,0.762144659478911,0.6255981161118311,0.8986912028459908
K0010_alpha0p01,entropy_sgb,4,4,0.0,0.75,1.0,cumulative_pseudo_regret,159.94925968056134,133.89849597362925,186.00002338749343
K0010_alpha0p01,entropy_sgb,4,4,0.0,0.75,1.0,minimum_probability,0.07823256411047771,0.07509182164879641,0.08137330657215902
K0010_alpha0p01,entropy_sgb,4,4,0.0,0.75,1.0,normalized_log_fisher_volume,-0.0089384070013252,-0.0125038250907481,-0.005372988911902299
K0010_alpha0p01,entropy_sgb,4,4,0.0,0.75,1.0,entropy,2.2937364356604344,2.290141148161495,2.297331723159374
K0010_alpha0p01,entropy_sgb,4,4,0.0,0.75,1.0,numerically_collapsed,0.0,0.0,0.0
K0010_alpha0p01,npg,4,4,0.0,0.25,1.0,optimal_arm_probability,0.28635014095906586,0.17779746780153582,0.3949028141165959
K0010_alpha0p01,npg,4,4,0.0,0.25,1.0,expected_reward,0.6840273250142346,0.5538249478809781,0.814229702147491
K0010_alpha0p01,npg,4,4,0.0,0.25,1.0,expected_pseudo_regret,0.31597267498576537,0.18577029785250893,0.4461750521190218
K0010_alpha0p01,npg,4,4,0.0,0.25,1.0,cumulative_pseudo_regret,103.70409176231514,73.86937598324214,133.53880754138817
K0010_alpha0p01,npg,4,4,0.0,0.25,1.0,minimum_probability,0.0028531271251349814,0.0006605912981660724,0.00504566295210389
K0010_alpha0p01,npg,4,4,0.0,0.25,1.0,normalized_log_fisher_volume,-0.7224868803704156,-1.0055493463011158,-0.43942441443971547
K0010_alpha0p01,npg,4,4,0.0,0.25,1.0,entropy,1.8286755301396027,1.6843277085498893,1.973023351729316
K0010_alpha0p01,npg,4,4,0.0,0.25,1.0,numerically_collapsed,0.0,0.0,0.0
K0010_alpha0p01,lb_sgb,4,4,0.0,0.5,1.0,optimal_arm_probability,0.11627047272955612,0.10692669657388755,0.12561424888522468
K0010_alpha0p01,lb_sgb,4,4,0.0,0.5,1.0,expected_reward,0.2408640947727642,0.08215867394373838,0.39956951560179
K0010_alpha0p01,lb_sgb,4,4,0.0,0.5,1.0,expected_pseudo_regret,0.7591359052272358,0.60043048439821,0.9178413260562617
K0010_alpha0p01,lb_sgb,4,4,0.0,0.5,1.0,cumulative_pseudo_regret,153.03092149009876,121.14381259221508,184.91803038798244
K0010_alpha0p01,lb_sgb,4,4,0.0,0.5,1.0,minimum_probability,0.08124678230767238,0.07575228321425352,0.08674128140109123
K0010_alpha0p01,lb_sgb,4,4,0.0,0.5,1.0,normalized_log_fisher_volume,-0.009407875565156654,-0.013439017950456704,-0.0053767331798566026
K0010_alpha0p01,lb_sgb,4,4,0.0,0.5,1.0,entropy,2.293118659387318,2.2890250379241444,2.2972122808504913
K0010_alpha0p01,lb_sgb,4,4,0.0,0.5,1.0,numerically_collapsed,0.0,0.0,0.0
