schema_version,case,phi_0,phi_1,phi_2,phi_3,q,mu0,mu1,minimum_joint_probability,total_probability_error,marginal_error,conditional_error,q_gradient_error,policy_score_autograd_error,state_score_autograd_error,joint_score_autograd_error,expected_joint_score_error,cross_term_frobenius,transpose_cross_term_frobenius,policy_fisher_enumeration_error,legacy_policy_fisher_error,state_fisher_closed_form_error,joint_fisher_decomposition_error,symmetry_error,minimum_eigenvalue_all_fishers,joint_minimum_eigenvalue,state_fisher_rank,pooled_policy_fisher_rank,joint_fisher_rank,pooled_policy_slogdet_sign,joint_slogdet_sign,policy_logdet_identity_error,determinant_lemma_error,joint_logdet_closed_form_error,pooled_logdet_matrix_error,closed_form_gradient_error,matrix_gradient_error,finite_difference_error,visitation_derivative_error,visitation_derivative_absolute_error,visitation_value_error,joint_visitation_derivative,passed
1,uniform,0.0,0.0,0.0,0.0,0.3333333333333333,0.75,0.25,0.08333333333333333,0.0,0.0,0.0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,3.469446951953614e-17,7.757919228897728e-18,7.757919228897728e-18,4.4969172124985776e-17,0.0,2.943923360032078e-17,8.42011259293812e-17,0.0,0.0,0.027777777777777776,1.0,4.0,4.0,1.0,1.0,0.0,6.661338147750939e-16,0.0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,3.442163221123451e-11,0.0,0.0,0.0,1.125,True
1,adverse,2.0,-2.0,-2.0,2.0,0.015876239976466762,0.9843718758725625,0.015628124127437554,0.00024811584902920884,2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,2.220446049250313e-16,1.6002824065886045e-16,4.482307562319227e-18,4.482307562319227e-18,1.52756819121089e-16,0.0,7.949501638480627e-18,1.3911987520631992e-16,0.0,0.0,0.0002150701258679794,1.0,4.0,4.0,1.0,1.0,3.552713678800501e-15,2.886579864025407e-15,3.552713678800501e-15,1.7763568394002505e-15,2.220446049250313e-16,2.220446049250313e-16,4.464184577557262e-11,0.0,0.0,0.0,60.5262764423935,True
1,generic_asymmetric,0.4,-0.7,-0.2,0.8,0.16617040618701603,0.8575076118332164,0.14249238816678364,0.028846454802553965,2.220446049250313e-16,1.1102230246251565e-16,5.551115123125783e-17,0.0,1.1102230246251565e-16,1.1102230246251565e-16,2.220446049250313e-16,6.938893903907228e-17,6.071532165918825e-18,6.071532165918825e-18,9.627324580257784e-17,0.0,1.2018516789897274e-17,6.538089703329431e-17,0.0,-3.469446951953614e-18,0.012118887962995767,1.0,4.0,4.0,1.0,1.0,0.0,2.220446049250313e-16,0.0,0.0,0.0,2.220446049250313e-16,6.023231913232507e-11,0.0,0.0,4.440892098500626e-16,3.874149701833868,True
1,rare_state_q_1e-02,0.0,-3.9019726695746444,2.890371757896165,0.0,0.010000000000000004,0.9900990099009901,0.009900990099009905,0.0004950495049504951,0.0,0.0,0.0,0.0,5.551115123125783e-17,1.1102230246251565e-16,1.1102230246251565e-16,4.1470733097570545e-17,1.5552964247375766e-18,1.5552964247375766e-18,1.0963315984298679e-18,0.0,2.168404344971009e-18,2.847174693362237e-17,0.0,0.0,0.00018796957333182263,1.0,4.0,4.0,1.0,1.0,0.0,2.3314683517128287e-15,1.7763568394002505e-15,0.0,1.1102230246251565e-16,2.220446049250313e-16,1.2731526943809968e-10,1.4571536306958405e-16,1.4210854715202004e-14,0.0,97.5247524752475,True
1,rare_state_q_1e-04,0.0,-8.517093186415902,2.890371757896165,0.0,0.00010000000000000017,0.9999000099990001,9.999000099990018e-05,4.999500049995007e-06,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,5.551115123125783e-17,2.220446049250313e-16,2.220446049250313e-16,1.3042782728411167e-16,1.5312350060806086e-20,1.5312350060806086e-20,2.5621871605464155e-20,0.0,0.0,3.951752819462349e-20,0.0,0.0,1.8983028603653741e-06,1.0,4.0,4.0,1.0,1.0,7.105427357601002e-15,5.218048215738236e-15,0.0,3.552713678800501e-15,1.1102230246251565e-16,4.440892098500626e-16,1.4174261764310359e-10,0.0,0.0,0.0,9997.500249974986,True
1,rare_state_q_1e-06,0.0,-13.122362377403828,2.890371757896165,0.0,1.0000000000000008e-06,0.9999990000010001,9.99999000001001e-07,4.999995000005003e-08,0.0,1.1102230246251565e-16,0.0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.7304386804037824e-17,1.333347732052679e-22,1.333347732052679e-22,1.8374584314978683e-22,0.0,5.293955920339377e-22,2.775557563088782e-17,0.0,0.0,1.898490792160617e-08,1.0,4.0,4.0,1.0,1.0,0.0,1.6653345369377348e-15,0.0,0.0,1.1102230246251565e-16,2.220446049250313e-16,1.9178680865650222e-10,2.32831225731352e-16,2.3283064365386963e-10,0.0,999997.5000024994,True
1,high_access_q_0.9,0.0,2.890371757896165,2.890371757896165,0.0,0.8999999999999999,0.5263157894736842,0.47368421052631576,0.02368421052631578,2.220446049250313e-16,1.1102230246251565e-16,0.0,0.0,5.551115123125783e-17,4.85722573273506e-17,6.245004513516506e-17,6.591949208711867e-17,4.412242673096756e-18,4.412242673096756e-18,7.424940717479475e-17,0.0,3.0665868333667484e-19,7.48474603742442e-17,0.0,0.0,0.00899286011361193,1.0,4.0,4.0,1.0,1.0,7.105427357601002e-15,1.4432899320127035e-15,4.440892098500626e-15,3.552713678800501e-15,1.1102230246251565e-16,3.3306690738754696e-16,1.0103040626319171e-10,8.326672684688674e-17,8.326672684688674e-17,2.220446049250313e-16,-0.20467836257309938,True
1,high_access_q_0.99,0.0,5.288267030694534,2.890371757896165,0.0,0.9900000000000001,0.5025125628140703,0.49748743718592964,0.0025125628140703544,1.1102230246251565e-16,5.551115123125783e-17,0.0,0.0,1.1102230246251565e-16,1.8214596497756474e-17,1.1102230246251565e-16,5.740850503310746e-17,4.424353469026677e-19,4.424353469026677e-19,7.515578098205879e-17,0.0,3.492406309907713e-21,7.633156014661674e-17,0.0,0.0,0.000959457597492891,1.0,4.0,4.0,1.0,1.0,1.4210854715202004e-14,2.518818487118324e-15,5.329070518200751e-15,7.105427357601002e-15,5.551115123125783e-17,2.6645352591003757e-15,1.115258441153344e-10,5.551115123125783e-17,5.551115123125783e-17,2.220446049250313e-16,-0.24618039693416577,True
1,random_seed23_case0,-0.8733035458428358,0.4376323792053004,-0.4866318545481726,-0.7839713127031709,0.5221575725788762,0.6569622081278851,0.3430377918721149,0.07561853002012617,2.220446049250313e-16,1.1102230246251565e-16,5.551115123125783e-17,0.0,5.551115123125783e-17,5.551115123125783e-17,1.1102230246251565e-16,7.632783294297951e-17,8.982534844933351e-18,8.982534844933351e-18,4.3610271956070115e-17,0.0,6.992893892674703e-18,4.092716005475736e-17,0.0,0.0,0.04195575071356656,1.0,4.0,4.0,1.0,1.0,0.0,7.771561172376096e-16,0.0,0.0,5.551115123125783e-17,5.551115123125783e-17,3.649935909066926e-11,2.220446049250313e-16,2.220446049250313e-16,0.0,0.2727251845001275,True
1,random_seed23_case1,-0.29828936747289,-0.9360816331612417,-0.505064900930048,1.5186862412432272,0.18374690051435788,0.8447751791920073,0.15522482080799263,0.015182769988126427,0.0,2.7755575615628914e-17,5.551115123125783e-17,0.0,1.1102230246251565e-16,2.220446049250313e-16,3.3306690738754696e-16,4.85722573273506e-17,1.3445855538286428e-17,1.3445855538286428e-17,5.905708051253262e-17,0.0,9.813077866773595e-18,2.5768454530539734e-17,0.0,-5.204170427930421e-18,0.007937368852538896,1.0,4.0,4.0,1.0,1.0,0.0,2.220446049250313e-16,0.0,0.0,2.220446049250313e-16,1.1102230246251565e-16,4.3357761825291163e-11,1.3334687958342428e-16,4.440892098500626e-16,0.0,3.3303307226790575,True
