run_id,protocol,initialization,method,alpha,beta,kappa,updates,update,phi_0,phi_1,phi_2,phi_3,return,q,p_good,value_s1,value_s1_minus_safe,pi0_a0,pi0_a1,pi0_a2,pi1_a0,pi1_a1,pi1_a2,min_pi0,min_pi1,mu0,mu1,b0,b1,pooled_policy_logdet_objective,joint_state_action_logdet_objective,joint_visitation_component,joint_correction,method_regularizer_value,reward_gradient_norm,pooled_policy_gradient_norm,joint_gradient_norm,joint_correction_gradient_norm,joint_correction_to_pooled_norm_ratio,method_regularizer_gradient_norm,applied_regularizer_gradient_norm,total_gradient_norm,cosine_reward_pooled,cosine_reward_pooled_defined,cosine_reward_joint,cosine_reward_joint_defined,cosine_reward_correction,cosine_reward_correction_defined,cosine_reward_method,cosine_reward_method_defined,cosine_pooled_joint,cosine_pooled_joint_defined,finite,reward_gradient_0,reward_gradient_1,reward_gradient_2,reward_gradient_3,pooled_policy_gradient_0,pooled_policy_gradient_1,pooled_policy_gradient_2,pooled_policy_gradient_3,joint_gradient_0,joint_gradient_1,joint_gradient_2,joint_gradient_3,joint_correction_gradient_0,joint_correction_gradient_1,joint_correction_gradient_2,joint_correction_gradient_3,method_regularizer_gradient_0,method_regularizer_gradient_1,method_regularizer_gradient_2,method_regularizer_gradient_3,total_gradient_0,total_gradient_1,total_gradient_2,total_gradient_3,pooled_policy_fisher_rank,pooled_policy_fisher_trace,pooled_policy_fisher_smallest_positive_eigenvalue,pooled_policy_fisher_condition_number,pooled_policy_fisher_logdet,pooled_policy_fisher_pseudologdet,pooled_policy_fisher_eigenvalue_0,pooled_policy_fisher_eigenvalue_1,pooled_policy_fisher_eigenvalue_2,pooled_policy_fisher_eigenvalue_3,state_distribution_fisher_rank,state_distribution_fisher_trace,state_distribution_fisher_smallest_positive_eigenvalue,state_distribution_fisher_condition_number,state_distribution_fisher_logdet,state_distribution_fisher_pseudologdet,state_distribution_fisher_eigenvalue_0,state_distribution_fisher_eigenvalue_1,state_distribution_fisher_eigenvalue_2,state_distribution_fisher_eigenvalue_3,joint_state_action_fisher_rank,joint_state_action_fisher_trace,joint_state_action_fisher_smallest_positive_eigenvalue,joint_state_action_fisher_condition_number,joint_state_action_fisher_logdet,joint_state_action_fisher_pseudologdet,joint_state_action_fisher_eigenvalue_0,joint_state_action_fisher_eigenvalue_1,joint_state_action_fisher_eigenvalue_2,joint_state_action_fisher_eigenvalue_3,run_finite,completed_updates
same_beta__uniform__reward_only__beta_0,same_beta,uniform,reward_only,0.05,0.0,nan,2000,2000,-0.37122775334118935,4.585415080181943,4.518011582806626,-1.232845680190612,0.9734716851141373,0.9830560206182656,0.986105039802255,0.98673221315603,0.48673221315603,0.0069172844662324885,0.9830560206182656,0.010026694915502052,0.986105039802255,0.003135866768875451,0.010759093428869729,0.0069172844662324885,0.003135866768875451,0.5042721887847756,0.4957278112152243,-9.593325426765325,-10.31084604224569,-11.338453104678546,-11.334199064186812,-1.7286869199612764,-0.3423195497882387,0.0,0.018760762939102987,1.5470208704464838,1.5502121841235916,0.004536297245730132,0.0029322792810292965,0.0,0.0,0.018760762939102987,-0.96822027254267,True,-0.9683026065438824,True,-0.7092854801554681,True,nan,False,0.999997833069851,True,True,-0.003275138332640942,0.013035841928159963,0.012861746080725446,-0.0024252851251463994,0.4895649694104158,-0.9744392551700302,-0.9791575597033824,0.4952961998466868,0.49127951455441504,-0.9786390560761217,-0.9791575597033824,0.4952961998466868,0.0017145451439992514,-0.0041998009060915465,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.003275138332640942,0.013035841928159963,0.012861746080725446,-0.0024252851251463994,4,0.02020573678711207,0.0011343440129020794,8.953709581232427,-22.676906209357117,nan,0.0011343440129020794,0.0017070803022777646,0.007207725615197235,0.010156586856734989,1,8.373070209641495e-05,8.373070209641495e-05,nan,nan,-9.387904836539867,0.0,0.0,1.0929463297804837e-21,8.373070209641495e-05,4,0.02028946748920848,0.0011343440129020794,9.026985677865579,-22.668398128373646,nan,0.0011343440129020794,0.001707690702869531,0.007207725615197235,0.010239707158239637,True,2000
same_beta__uniform__statewise_conditional_barrier__beta_0p01,same_beta,uniform,statewise_conditional_barrier,0.05,0.01,nan,2000,2000,-0.16566432999987185,4.240433664607888,4.176908317579881,-0.9874223939809232,0.9610256924153938,0.9740853878341225,0.9793717219182575,0.9804915135691282,0.4804915135691282,0.011886472304687748,0.9740853878341225,0.014028139861189825,0.9793717219182575,0.005598958254353801,0.015029319827388804,0.011886472304687748,0.005598958254353801,0.5065637009233703,0.4934362990766296,-8.72530059521961,-9.403771068121074,-10.451002536319772,-10.444481544201826,-1.7265193028114567,-0.34005259816202715,-9.060082554400879,0.027459970684765526,1.5284619084031479,1.5334139032849285,0.007034086953298776,0.004602068860615309,1.5286464093562677,0.01528646409356268,0.012947856372415042,-0.976541821086881,True,-0.9766489368363492,True,-0.7108360918139482,True,-0.9768290802574783,True,0.9999946760599474,True,True,-0.005479969124645071,0.018961371948045046,0.01861093381425604,-0.004256694117550651,0.4820142530444846,-0.9607878902235796,-0.9690575828773862,0.4916015626184693,0.48494686149603555,-0.967181495383148,-0.9690575828773862,0.4916015626184693,0.002932608451550989,-0.006393605159568407,-0.0,-0.0,0.488499934718613,-0.9737451963065183,-0.9563363745743234,0.485148111357491,-0.00059496977745894,0.009223919984979862,0.009047570068512806,0.0005947869960242595,4,0.031452926358311546,0.0018459681597185996,8.752758674783433,-20.902005072639554,nan,0.0018459681597185996,0.002579580411801194,0.010870063963440776,0.01615731382335098,1,0.0002031788173173736,0.0002031788173173736,nan,nan,-8.501424093179251,-2.3123485380485963e-21,0.0,0.0,0.0002031788173173736,4,0.031656105175628925,0.0018459681597185996,8.861919841582505,-20.888963088403663,nan,0.0018459681597185996,0.002581251190929747,0.010870063963440776,0.0163588218615398,True,2000
same_beta__uniform__pooled_policy_logdet__beta_0p01,same_beta,uniform,pooled_policy_logdet,0.05,0.01,nan,2000,2000,-0.18532294531471283,4.24817300397835,4.176336928555159,-0.977184329498501,0.9612233510298112,0.97450383365061,0.9793037190619706,0.9804356021076497,0.4804356021076497,0.011570196256724959,0.97450383365061,0.013925970092665023,0.9793037190619706,0.005659415228395633,0.015036865709633893,0.011570196256724959,0.005659415228395633,0.5064563476441195,0.4935436523558805,-8.759149431497903,-9.392598538375161,-10.462335097658306,-10.455920079039903,-1.7266196843833423,-0.340158571661569,-10.462335097658306,0.027315535923482317,1.5289213644369535,1.5337866863711112,0.0069092759555462865,0.0045190525270020826,1.5289213644369535,0.015289213644369536,0.01281637289375193,-0.9765021160237661,True,-0.9765798567593477,True,-0.7048835363358069,True,-0.9765021160237661,True,0.9999948685854878,True,True,-0.005336444689599262,0.01872241232841171,0.018670994133729968,-0.00430419743100374,0.48249530319622436,-0.9614265262488269,-0.9689555785929558,0.49151087715740654,0.48535050165573357,-0.9677182617794023,-0.9689555785929558,0.49151087715740654,0.0028551984595091865,-0.00629173553057552,-0.0,-0.0,0.48249530319622436,-0.9614265262488269,-0.9689555785929558,0.49151087715740654,-0.0005114916576370188,0.009108147065923439,0.00898143834780041,0.0006109113405703259,4,0.031155947680805162,0.001858673433539548,8.517635903667644,-20.924670195316615,nan,0.001858673433539548,0.002543967799785675,0.010921802876770269,0.01583150357070967,1,0.00019594830756512196,0.00019594830756512196,nan,nan,-8.537659670431095,0.0,0.0,3.286828333580179e-21,0.00019594830756512196,4,0.03135189598837028,0.001858673433539548,8.622198837036123,-20.911840158079805,nan,0.001858673433539548,0.0025455677609658423,0.010921802876770269,0.016025851917094627,True,2000
same_beta__uniform__joint_state_action_logdet__beta_0p01,same_beta,uniform,joint_state_action_logdet,0.05,0.01,nan,2000,2000,-0.1766500886485838,4.244872031335534,4.174268030852755,-0.9771155163114675,0.9610758734052822,0.974323177081557,0.9792613629972274,0.9803956192096382,0.48039561920963825,0.011707397800214216,0.974323177081557,0.013969425118228662,0.9792613629972274,0.005671281062054009,0.015067355940718523,0.011707397800214216,0.005671281062054009,0.5065026899386347,0.4934973100613653,-8.74443083048725,-9.388521686200825,-10.452939773675448,-10.446479005631028,-1.7265763375669625,-0.3401128222355526,-10.446479005631028,0.02742146160713797,1.5286361773833934,1.5335392599310864,0.0069632208068323535,0.004555185144676794,1.5335392599310864,0.015335392599310863,0.01287050179758136,-0.9766387642082387,True,-0.9767230992246141,True,-0.7062639079264921,True,-0.9767230992246141,True,0.9999947858588195,True,True,-0.005397998666036849,0.018823676112508243,0.0187048738175613,-0.004312201311824663,0.4822866441439126,-0.9611508287862398,-0.9688920444958411,0.49149307840691897,0.4851754288050246,-0.9674865503068266,-0.9688920444958411,0.49149307840691897,0.0028887846611120307,-0.006335721520586812,-0.0,-0.0,0.4851754288050246,-0.9674865503068266,-0.9688920444958411,0.49149307840691897,-0.0005462443779866025,0.009148810609439976,0.00901595337260289,0.0006027294722445262,4,0.03133695083305384,0.0018623425122522024,8.576552436504576,-20.905879547350885,nan,0.0018623425122522024,0.0025593704472222497,0.010942759662516703,0.01597247821106268,1,0.0001990569254441307,0.0001990569254441307,nan,nan,-8.521919716638235,-7.113901968344994e-21,0.0,0.0,0.0001990569254441307,4,0.031536007758497964,0.0018623425122522024,8.682562130553297,-20.892958011262042,nan,0.0018623425122522024,0.002561001012728601,0.010942759662516703,0.01616990457100046,True,2000
same_beta__uniform__state_distribution_only__beta_0p01,same_beta,uniform,state_distribution_only,0.05,0.01,nan,2000,2000,-0.38845732644091213,4.5850765901008605,4.524498581842688,-1.2340703220583982,0.973609373439747,0.9831665921214727,0.9861974050921054,0.9868198188051915,0.48681981880519154,0.006802190294235142,0.9831665921214727,0.010031217584292144,0.9861974050921054,0.0031120685654304563,0.010690526342464268,0.006802190294235142,0.0031120685654304563,0.5042440730762109,0.4957559269237891,-9.609540606728562,-10.324763694986633,-11.353518563198218,-11.34929240099624,-1.7287138404186173,-0.34234742807799495,-1.7287138404186173,0.01865954593395678,1.5472807216909212,1.5504459831461688,0.004500425049754379,0.002908602806629789,0.004346315886370813,4.3463158863708125e-05,0.018628710427739146,-0.9678501141972589,True,-0.9679352444800907,True,-0.7100415028932687,True,-0.7100415028932687,True,0.9999978668087867,True,True,-0.0032215810832706337,0.01298806855035105,0.012779455472374461,-0.0024074183156103717,0.4897389765732732,-0.9746070037558929,-0.9792961076381581,0.49533189715185433,0.4914250896504885,-0.9787796346189457,-0.9792961076381581,0.49533189715185433,0.0016861130772152723,-0.004172630863052752,-0.0,-0.0,0.00162837509184122,-0.004029746436736485,-0.0,-0.0,-0.0032052973323522214,0.012947771085983684,0.012779455472374461,-0.0024074183156103717,4,0.020038190616464346,0.0011262417305264883,8.928448403049368,-22.707037126396447,nan,0.0011262417305264883,0.0016963034167619812,0.0071600542888090955,0.010055591180366781,1,8.240241599240302e-05,8.240241599240302e-05,nan,nan,-9.403895801182527,0.0,0.0,1.6339139741682688e-21,8.240241599240302e-05,4,0.020120593032456748,0.0011262417305264883,9.001087700091466,-22.698584801992492,nan,0.0011262417305264883,0.001696896425149466,0.0071600542888090955,0.0101374005879717,True,2000
same_beta__uniform__joint_correction_only__beta_0p01,same_beta,uniform,joint_correction_only,0.05,0.01,nan,2000,2000,-0.36009218849126917,4.5810840158642305,4.514859864617139,-1.232250263268811,0.9733362429182946,0.9829072682600011,0.9860599416775114,0.9866894407525933,0.48668944075259335,0.007024040174349715,0.9829072682600011,0.010068691565649313,0.9860599416775114,0.003147495375409645,0.010792562947079086,0.007024040174349715,0.003147495375409645,0.5043100179250939,0.49568998207490617,-9.57398171640181,-10.30408439285587,-11.325401723527545,-11.321110175790409,-1.7286507114415395,-0.3422820425428359,-0.3422820425428359,0.018859182966733615,1.5467791857410762,1.5500016194975732,0.00458009643113137,0.0029610538293719044,0.00458009643113137,4.58009643113137e-05,0.018826658853828327,-0.9684263287133197,True,-0.9685130890343707,True,-0.710720479232262,True,-0.710720479232262,True,0.9999977907906681,True,True,-0.0033247327862338566,0.013124955205845976,0.012900667012566992,-0.002433778040060226,0.48940339226035934,-0.9742135624296253,-0.9790899125162671,0.49527875693688556,0.49114426543441775,-0.9784499103745309,-0.9790899125162671,0.49527875693688556,0.0017408731740584155,-0.004236347944905622,-0.0,-0.0,0.0017408731740584155,-0.004236347944905622,-0.0,-0.0,-0.0033073240544932722,0.01308259172639692,0.012900667012566992,-0.002433778040060226,4,0.020359001954907252,0.0011382459099768764,9.021226769500796,-22.650803447055107,nan,0.0011382459099768764,0.0017217340285411397,0.007230647543031047,0.01026837447335819,1,8.536831091135386e-05,8.536831091135385e-05,nan,nan,-9.368535592643783,0.0,0.0,5.645401654234671e-22,8.536831091135385e-05,4,0.020444370265818603,0.0011382459099768764,9.095675424588654,-22.642220351580836,nan,0.0011382459099768764,0.0017223614622954577,0.007230647543031047,0.010353115350515224,True,2000
same_beta__uniform__statewise_conditional_barrier__beta_0p1,same_beta,uniform,statewise_conditional_barrier,0.05,0.1,nan,2000,2000,0.6126346999806701,2.5889599962740113,2.6904911862411693,-0.03782424689234186,0.7936995734216172,0.8239433752702157,0.8824747845566825,0.8940050674580465,0.39400506745804653,0.114180041263115,0.8239433752702157,0.06187658346666942,0.8824747845566825,0.05765141450682028,0.05987380093649711,0.06187658346666942,0.05765141450682028,0.5482626344427227,0.45173736555727734,-5.146245704865981,-5.7938818093442706,-6.8657189216923475,-6.819645754867628,-1.6961555880424752,-0.3005004234552532,-5.438807132542781,0.12239887737099649,1.211317194411871,1.2422156644455964,0.04739638736875511,0.03912797373586974,1.2142982300619813,0.12142982300619812,0.00603702973240748,-0.9927298090371166,True,-0.9953400839732459,True,-0.7155894901105316,True,-0.9988055250420796,True,0.9995707824397985,True,True,-0.03353462941223953,0.08264604731452205,0.07706989617768718,-0.032966282446012886,0.31770867892105403,-0.7189211498642172,-0.8237121768350237,0.4135228782397696,0.3434983744407644,-0.7586868277863866,-0.8237121768350237,0.4135228782397696,0.02578969551971039,-0.03976567792216949,-0.0,-0.0,0.36046068377164003,-0.8069494622291093,-0.7442031374818076,0.3736074712273926,0.0025114389649244714,0.0019511010916111043,0.002649582429506428,0.00439446467672637,4,0.20637718147024614,0.010149977530578268,11.867803203624293,-13.731437843384693,nan,0.010149977530578268,0.014526325388282605,0.0612429426972739,0.12045793585411135,1,0.010905688924908783,0.010905688924908785,nan,nan,-4.51847070618336,-8.960084573500795e-20,0.0,0.0,0.010905688924908785,4,0.21728287039515493,0.010149977530578268,12.93341250891529,-13.639291509735255,nan,0.010149977530578268,0.014616103808112662,0.0612429426972739,0.1312738463591901,True,2000
same_beta__uniform__pooled_policy_logdet__beta_0p1,same_beta,uniform,pooled_policy_logdet,0.05,0.1,nan,2000,2000,0.5923393418602874,2.680765498649624,2.6334490777710036,0.016356424299812197,0.7951885551878476,0.8386499248450313,0.8734805978035076,0.8862360059676372,0.3862360059676372,0.10389359077625601,0.8386499248450313,0.05745648437871261,0.8734805978035076,0.06377704082064796,0.06274236137584444,0.05745648437871261,0.06274236137584444,0.5438773235118609,0.456122676488139,-5.297077392805763,-5.656349816256117,-6.870738648601058,-6.828680841224715,-1.6985408269737479,-0.30451578290362946,-6.870738648601058,0.12273231799112454,1.2187942582803748,1.2481960688778377,0.043766227539040393,0.03590944676814541,1.2187942582803748,0.12187942582803749,0.005586626092326478,-0.998981085153004,True,-0.9985342068265249,True,-0.6583629091640537,True,-0.998981085153004,True,0.9996545651047516,True,True,-0.0306681989545205,0.07635693775380223,0.08333718103911456,-0.036704437956141964,0.33504246844901864,-0.7438156683750716,-0.8102208967052613,0.4043344387690281,0.3587365797964333,-0.780613382440695,-0.8102208967052613,0.4043344387690281,0.02369411134741466,-0.03679771406562334,-0.0,-0.0,0.33504246844901864,-0.7438156683750716,-0.8102208967052613,0.4043344387690281,0.0028360478903813637,0.001975370916295058,0.002315091368588415,0.00372900592076085,4,0.20187226129867974,0.010894483167527462,10.177089914399637,-13.741477297202117,nan,0.010894483167527462,0.013356115857719529,0.06674752750659238,0.11087413476684035,1,0.009136029784313202,0.009136029784313202,nan,nan,-4.695529365969462,0.0,0.0,2.3003868607095807e-20,0.009136029784313202,4,0.21100829108299293,0.010894483167527462,11.008853183984726,-13.65736168244943,nan,0.010894483167527462,0.013430514702170371,0.06674752750659238,0.11993576570670271,True,2000
same_beta__uniform__joint_state_action_logdet__beta_0p1,same_beta,uniform,joint_state_action_logdet,0.05,0.1,nan,2000,2000,0.6282074499476787,2.6427368804385263,2.619983379200246,0.012437324415718971,0.7901341976214605,0.8301859710479854,0.8722051259761792,0.8850640836694902,0.3850640836694902,0.1107328237612189,0.8301859710479854,0.05908120519079574,0.8722051259761792,0.06429478846655533,0.06350008555726544,0.05908120519079574,0.06350008555726544,0.5463925610944272,0.4536074389055728,-5.215582936287153,-5.637721373561698,-6.821592867137349,-6.777228069464126,-1.6971495048196723,-0.3022087926067492,-6.777228069464126,0.12452499543150652,1.2054699134807865,1.2360103820742365,0.045979420080124955,0.03814232073810924,1.2360103820742365,0.12360103820742366,0.005626318035792075,-0.998713439011986,True,-0.9989993853636214,True,-0.6710525931725885,True,-0.9989993853636214,True,0.9996035543635157,True,True,-0.03212737897231985,0.07880945963025811,0.08322423033622747,-0.03656641307696086,0.32362640577517005,-0.7295227411462838,-0.8083076889642689,0.40355781730016704,0.34874102206972435,-0.7680371945278639,-0.8083076889642689,0.40355781730016704,0.02511461629455433,-0.03851445338158006,-0.0,-0.0,0.34874102206972435,-0.7680371945278639,-0.8083076889642689,0.40355781730016704,0.0027467232346525886,0.00200574017747171,0.0023934614398005843,0.003789368653055847,4,0.20868282943821198,0.010952665292559102,10.679637490987822,-13.643185734274697,nan,0.010952665292559102,0.013862269552432947,0.06689739970856465,0.11697049488465529,1,0.010186185479553958,0.010186185479553956,nan,nan,-4.586722841422409,0.0,0.0,2.2723357668532715e-19,0.010186185479553956,4,0.21886901491776595,0.010952665292559102,11.602200410082368,-13.55445613892825,nan,0.010952665292559102,0.013943932167818057,0.06689739970856465,0.12707501774882413,True,2000
same_beta__uniform__state_distribution_only__beta_0p1,same_beta,uniform,state_distribution_only,0.05,0.1,nan,2000,2000,-0.4821338981320953,4.57198570493406,4.558213170153678,-1.2404166745637901,0.9741689359508964,0.9835545778507547,0.986667677299648,0.9872659345253442,0.48726593452534417,0.006278012984781275,0.9835545778507547,0.010167409164464049,0.986667677299648,0.002991286128481062,0.010341036571870915,0.006278012984781275,0.002991286128481062,0.5041454423117171,0.49585455768828296,-9.675851755598218,-10.39710900299859,-11.42284348154875,-11.41871512953153,-1.7288083405131,-0.34244523826275314,-1.7288083405131,0.018244841732989438,1.5484066228638902,1.5514707211581713,0.004364262112776922,0.0028185504042245076,0.004218317730165418,0.00042183177301654184,0.017944453492440633,-0.9656689251332753,True,-0.9657809309763624,True,-0.7178025085427409,True,-0.7178025085427411,True,0.9999979898315949,True,True,-0.0029768387368796483,0.012881612904002936,0.012357665738175079,-0.0023162097252633703,0.49053093024150685,-0.975195519678509,-0.9800015159494719,0.4955130708072784,0.49208742091737184,-0.9792727884414146,-0.9800015159494719,0.4955130708072784,0.001556490675865008,-0.004077268762905552,-0.0,-0.0,0.0015044403945437652,-0.003940921665282491,-0.0,-0.0,-0.002826394697425272,0.012487520737474686,0.012357665738175079,-0.0023162097252633703,4,0.019301259522590257,0.0010849455822801504,8.890179861677876,-22.845686963097506,nan,0.0010849455822801504,0.0016543376825694479,0.006916614891137285,0.00964536136660337,1,7.746101423528833e-05,7.746101423528833e-05,nan,nan,-9.465735790298423,0.0,0.0,1.6040921580063762e-21,7.746101423528833e-05,4,0.019378720536825544,0.0010849455822801504,8.961102163580243,-22.837430259063066,nan,0.0010849455822801504,0.0016548518586706241,0.006916614891137285,0.009722308204737483,True,2000
