protocol,initialization,method,alpha,beta,updates,finite,final_return,final_q,final_p_good,final_value_s1,final_mu1,final_min_pi0,final_min_pi1,final_pooled_policy_fisher_smallest_positive_eigenvalue,final_joint_state_action_fisher_smallest_positive_eigenvalue,final_pooled_policy_fisher_logdet,final_joint_state_action_fisher_logdet,final_cosine_reward_method
same_beta,uniform,reward_only,0.05,0.0,2000,True,0.9734716851141373,0.9830560206182656,0.986105039802255,0.98673221315603,0.4957278112152243,0.0069172844662324885,0.003135866768875451,0.0011343440129020794,0.0011343440129020794,-22.676906209357117,-22.668398128373646,nan
same_beta,uniform,statewise_conditional_barrier,0.05,0.01,2000,True,0.9610256924153938,0.9740853878341225,0.9793717219182575,0.9804915135691282,0.4934362990766296,0.011886472304687748,0.005598958254353801,0.0018459681597185996,0.0018459681597185996,-20.902005072639554,-20.888963088403663,-0.9768290802574783
same_beta,uniform,pooled_policy_logdet,0.05,0.01,2000,True,0.9612233510298112,0.97450383365061,0.9793037190619706,0.9804356021076497,0.4935436523558805,0.011570196256724959,0.005659415228395633,0.001858673433539548,0.001858673433539548,-20.924670195316615,-20.911840158079805,-0.9765021160237661
same_beta,uniform,joint_state_action_logdet,0.05,0.01,2000,True,0.9610758734052822,0.974323177081557,0.9792613629972274,0.9803956192096382,0.4934973100613653,0.011707397800214216,0.005671281062054009,0.0018623425122522024,0.0018623425122522024,-20.905879547350885,-20.892958011262042,-0.9767230992246141
same_beta,uniform,state_distribution_only,0.05,0.01,2000,True,0.973609373439747,0.9831665921214727,0.9861974050921054,0.9868198188051915,0.4957559269237891,0.006802190294235142,0.0031120685654304563,0.0011262417305264883,0.0011262417305264883,-22.707037126396447,-22.698584801992492,-0.7100415028932687
same_beta,uniform,joint_correction_only,0.05,0.01,2000,True,0.9733362429182946,0.9829072682600011,0.9860599416775114,0.9866894407525933,0.49568998207490617,0.007024040174349715,0.003147495375409645,0.0011382459099768764,0.0011382459099768764,-22.650803447055107,-22.642220351580836,-0.710720479232262
same_beta,uniform,statewise_conditional_barrier,0.05,0.1,2000,True,0.7936995734216172,0.8239433752702157,0.8824747845566825,0.8940050674580465,0.45173736555727734,0.06187658346666942,0.05765141450682028,0.010149977530578268,0.010149977530578268,-13.731437843384693,-13.639291509735255,-0.9988055250420796
same_beta,uniform,pooled_policy_logdet,0.05,0.1,2000,True,0.7951885551878476,0.8386499248450313,0.8734805978035076,0.8862360059676372,0.456122676488139,0.05745648437871261,0.06274236137584444,0.010894483167527462,0.010894483167527462,-13.741477297202117,-13.65736168244943,-0.998981085153004
same_beta,uniform,joint_state_action_logdet,0.05,0.1,2000,True,0.7901341976214605,0.8301859710479854,0.8722051259761792,0.8850640836694902,0.4536074389055728,0.05908120519079574,0.06350008555726544,0.010952665292559102,0.010952665292559102,-13.643185734274697,-13.55445613892825,-0.9989993853636214
same_beta,uniform,state_distribution_only,0.05,0.1,2000,True,0.9741689359508964,0.9835545778507547,0.986667677299648,0.9872659345253442,0.49585455768828296,0.006278012984781275,0.002991286128481062,0.0010849455822801504,0.0010849455822801504,-22.845686963097506,-22.837430259063066,-0.7178025085427411
same_beta,uniform,joint_correction_only,0.05,0.1,2000,True,0.971854404350581,0.9812901558686982,0.9855422812969222,0.9861985590439932,0.49527836847220935,0.008214933257630624,0.0032813887353549545,0.0011831166916098186,0.0011831166916098186,-22.378329572133072,-22.36893061795754,-0.7243987486795175
same_beta,uniform,statewise_conditional_barrier,0.05,0.2,2000,True,0.6157700523541865,0.6207081519732863,0.7632880624907258,0.7883526114018002,0.3829857653381614,0.1264255283713922,0.111389192953902,0.016508624686156555,0.016508624686156555,-11.3468393778973,-11.1365553819155,-0.9998652907928819
same_beta,uniform,pooled_policy_logdet,0.05,0.2,2000,True,0.622710904825125,0.679114076787398,0.7293194428829222,0.7584540886530412,0.4044478491221561,0.10561780996482649,0.12500732826648275,0.01965685478372939,0.01965685478372939,-11.339178699346089,-11.164297837865583,-0.9999501085660045
same_beta,uniform,joint_state_action_logdet,0.05,0.2,2000,True,0.6046942694971227,0.6453429026449825,0.7185584685543098,0.7488003769654892,0.39222395623888306,0.11173457590590377,0.1302319893897938,0.01981785838783755,0.01981785838783755,-11.170392271074851,-10.975193904465172,-0.9999457468725179
same_beta,uniform,state_distribution_only,0.05,0.2,2000,True,0.9742413964909158,0.9834858754066733,0.9869045319086001,0.9874906720302208,0.4958370954897925,0.006116536906699919,0.0029307006081033854,0.0010640401417743386,0.0010640401417743386,-22.886843473841168,-22.878552133182826,-0.7272512492312541
same_beta,uniform,joint_correction_only,0.05,0.2,2000,True,0.969187785872723,0.9784280438322334,0.9845255933675437,0.985234896596322,0.494548208049563,0.010412666561461973,0.003546516143891526,0.001271595275006159,0.001271595275006159,-21.941110592250354,-21.930266023821193,-0.7422457640738177
same_beta,adverse,reward_only,0.05,0.0,2000,True,0.49069200273694474,0.0020364210682015035,0.01591365257463879,0.189366790422732,0.0020322824853318366,0.0020364210682015035,0.01591365257463879,2.800633359107875e-05,2.800633359107875e-05,-29.101617045425357,-28.41050421523896,nan
same_beta,adverse,statewise_conditional_barrier,0.05,0.01,2000,True,0.47723942283839155,0.010334822565439513,0.01634406146379174,0.18948165267586858,0.010229106564096601,0.010334822565439513,0.01634406146379174,0.00014440699266118245,0.00014440699266118245,-23.445560810631605,-22.762695413478895,-0.9408384323380248
same_beta,adverse,pooled_policy_logdet,0.05,0.01,2000,True,0.4763928191056109,0.015225830748174777,0.04528487152054295,0.195113219260919,0.014997481631209127,0.015225830748174777,0.04528487152054295,0.0005350365966109462,0.0005350365966109462,-20.906923891803185,-20.22888779233697,-0.8427660877742839
same_beta,adverse,joint_state_action_logdet,0.05,0.01,2000,True,0.47645468522514733,0.015127936597723015,0.04528035980266767,0.19510848135995168,0.014902492634007712,0.015127936597723015,0.04528035980266767,0.0005316117048784006,0.0005316117048784006,-20.92748497100227,-20.249352440902044,-0.8424162727480321
same_beta,adverse,state_distribution_only,0.05,0.01,2000,True,0.48422900624111476,0.007510506387401771,0.015941095579313436,0.1894580693414664,0.007454519173533936,0.007510506387401771,0.015941095579313436,0.00010283343968082445,0.00010283343968082445,-24.786735645978055,-24.101070908378517,-0.7931710005437482
same_beta,adverse,joint_correction_only,0.05,0.01,2000,True,0.490702098637031,0.002029961524719723,0.01591358518967194,0.1893665637264048,0.0020258491289331017,0.002029961524719723,0.01591358518967194,2.7917607606580566e-05,2.7917607606580566e-05,-29.11203001176451,-28.42091073514147,0.7470531981035466
same_beta,adverse,statewise_conditional_barrier,0.05,0.1,2000,True,0.4010103276988914,0.24774470375482735,0.3093650899702537,0.3901434578430875,0.1985540014790617,0.14354659161782923,0.28674307066557714,0.02015877500448156,0.02015877500448156,-10.837941276604756,-10.366131780766898,-0.7134615193785706
same_beta,adverse,pooled_policy_logdet,0.05,0.1,2000,True,0.7847768948266349,0.8295396841297439,0.8661985710772968,0.8783522665026618,0.45341442512865227,0.058162649635511855,0.060768477126825045,0.011874911708779287,0.011874911708779287,-13.569194400270149,-13.480111616195444,-0.9970783242291168
same_beta,adverse,joint_state_action_logdet,0.05,0.1,2000,True,0.7761110142161838,0.8170329225612979,0.8626434963084667,0.8750184742324859,0.44965223932740006,0.06058285160092591,0.06187488962009595,0.012109181200241327,0.012109181200241327,-13.413641279798528,-13.317699007674651,-0.9969472975428816
same_beta,adverse,state_distribution_only,0.05,0.1,2000,True,0.4242929181778783,0.1753515392587265,0.017184745666969377,0.192367836587692,0.14919071733152928,0.043526616884562844,0.017184745666969377,0.0021609182532364803,0.0021609182532364803,-15.682645698935225,-15.15106580357314,-0.9773239957266183
same_beta,adverse,joint_correction_only,0.05,0.1,2000,True,0.4907907262201775,0.001973706653377254,0.015912992573721613,0.18936456949787975,0.001969818808888204,0.001973706653377254,0.015912992573721613,2.714487538960916e-05,2.714487538960916e-05,-29.20413744619742,-28.512962027090957,0.7462907206654046
same_beta,adverse,statewise_conditional_barrier,0.05,0.2,2000,True,0.5946493285274485,0.5983313192629063,0.7490002901855362,0.7732667718954519,0.3743474910688952,0.13770947922294596,0.12133240854957855,0.017868240366635525,0.017868240366635525,-11.172262860176012,-10.948075839175935,-0.9980506424072145
same_beta,adverse,pooled_policy_logdet,0.05,0.2,2000,True,0.6207727709522004,0.6778024179204583,0.7275855902024371,0.7564698381328678,0.40398226315620417,0.10612621091585164,0.1279931701454089,0.0199465139746036,0.0199465139746036,-11.320733481858031,-11.145071153852662,-0.9998339980434311
same_beta,adverse,joint_state_action_logdet,0.05,0.2,2000,True,0.6021597114882611,0.6432943794401356,0.7162074581924921,0.746208265634601,0.39146630542198024,0.11244936393236293,0.13378850459696354,0.020146236936279118,0.020146236936279118,-11.147433650656414,-10.950989465007364,-0.9998076544105614
same_beta,adverse,state_distribution_only,0.05,0.2,2000,True,0.3939175229292527,0.2786603053681079,0.01898465534276596,0.19495027340384863,0.21793145857287374,0.04215445421001196,0.01898465534276596,0.003384718996162125,0.003384718996162125,-14.75274867826147,-14.305414391095496,-0.9861172959867834
same_beta,adverse,joint_correction_only,0.05,0.2,2000,True,0.49088474260550685,0.0019149200667911478,0.015912361901737997,0.18936244611712486,0.0019112601563648663,0.0019149200667911478,0.015912361901737997,2.6337299394588594e-05,2.6337299394588594e-05,-29.303231859957457,-28.611997768342135,0.745483183667998
magnitude_matched,adverse,reward_only,0.05,0.0,2000,True,0.49069200273694474,0.0020364210682015035,0.01591365257463879,0.189366790422732,0.0020322824853318366,0.0020364210682015035,0.01591365257463879,2.800633359107875e-05,2.800633359107875e-05,-29.101617045425357,-28.41050421523896,nan
magnitude_matched,adverse,statewise_conditional_barrier,0.05,0.030139063695336907,2000,True,0.4434691568370214,0.05685164086501031,0.02064846204217801,0.1903045866367141,0.05379339792525511,0.05685164086501031,0.02064846204217801,0.0009394491391212247,0.0009394491391212247,-17.597455066059645,-16.959602223846918,-0.9794904537379401
magnitude_matched,adverse,pooled_policy_logdet,0.05,0.02335128732898775,2000,True,0.4531598924196209,0.06901120698138544,0.1345525853625294,0.24680106462789436,0.06455611178881412,0.058733086887896524,0.1345525853625294,0.005279105658301017,0.005279105658301017,-15.032276249729229,-14.405863184769387,-0.882003746488889
magnitude_matched,adverse,joint_state_action_logdet,0.05,0.023443771746623942,2000,True,0.4536082092666654,0.06768356426826773,0.1348855607764442,0.24696569560643955,0.06339290641291678,0.05853105425967318,0.1348855607764442,0.005194320683921143,0.005194320683921143,-15.084633892293493,-14.45697812023122,-0.8813502632335504
magnitude_matched,adverse,state_distribution_only,0.05,0.04385011036399026,2000,True,0.4543754237109265,0.07562608065304843,0.016252886372252036,0.19037530450903625,0.0703088945250689,0.04441774819139661,0.016252886372252036,0.0009815032876605272,0.0009815032876605272,-17.716689929130737,-17.096445641228488,-0.9395513827121977
magnitude_matched,adverse,joint_correction_only,0.05,5.3924415497298055,2000,True,0.4931794722119453,0.0007778537076908685,0.01589683621675653,0.189309815314044,0.0007772491215798482,0.0007778537076908685,0.01589683621675653,1.0704405635138473e-05,1.0704405635138473e-05,-32.2543381754586,-31.561968546234937,0.7269702080678998
