run_id,protocol,initialization,method,alpha,beta,updates,t_escape,q_at_escape,maximum_q,update_of_maximum_q,intervals_above_q_two_thirds,fraction_time_above_q_two_thirds,final_return,final_q,final_p_good
magnitude_matched__adverse__joint_correction_only__beta_5p39244154973,magnitude_matched,adverse,joint_correction_only,0.05,5.3924415497298055,2000,nan,nan,0.015876239976466762,0,0,0.0,0.4931794722119453,0.0007778537076908685,0.015896836216756534
magnitude_matched__adverse__joint_state_action_logdet__beta_0p0234437717466,magnitude_matched,adverse,joint_state_action_logdet,0.05,0.023443771746623942,2000,nan,nan,0.0676835642682677,2000,0,0.0,0.45360820926666545,0.0676835642682677,0.13488556077644417
magnitude_matched__adverse__pooled_policy_logdet__beta_0p023351287329,magnitude_matched,adverse,pooled_policy_logdet,0.05,0.02335128732898775,2000,nan,nan,0.06901120698138544,2000,0,0.0,0.4531598924196209,0.06901120698138544,0.1345525853625294
magnitude_matched__adverse__reward_only__beta_0,magnitude_matched,adverse,reward_only,0.05,0.0,2000,nan,nan,0.015876239976466762,0,0,0.0,0.49069200273694474,0.0020364210682015035,0.015913652574638792
magnitude_matched__adverse__state_distribution_only__beta_0p043850110364,magnitude_matched,adverse,state_distribution_only,0.05,0.04385011036399026,2000,nan,nan,0.07562608065304843,2000,0,0.0,0.4543754237109265,0.07562608065304843,0.016252886372252036
magnitude_matched__adverse__statewise_conditional_barrier__beta_0p0301390636953,magnitude_matched,adverse,statewise_conditional_barrier,0.05,0.030139063695336907,2000,nan,nan,0.05685164086501031,2000,0,0.0,0.4434691568370214,0.05685164086501031,0.02064846204217801
same_beta__adverse__joint_correction_only__beta_0p01,same_beta,adverse,joint_correction_only,0.05,0.01,2000,nan,nan,0.015876239976466762,0,0,0.0,0.490702098637031,0.002029961524719723,0.01591358518967194
same_beta__adverse__joint_correction_only__beta_0p1,same_beta,adverse,joint_correction_only,0.05,0.1,2000,nan,nan,0.015876239976466762,0,0,0.0,0.4907907262201775,0.001973706653377254,0.015912992573721616
same_beta__adverse__joint_correction_only__beta_0p2,same_beta,adverse,joint_correction_only,0.05,0.2,2000,nan,nan,0.015876239976466762,0,0,0.0,0.49088474260550685,0.0019149200667911478,0.015912361901737997
same_beta__adverse__joint_state_action_logdet__beta_0p01,same_beta,adverse,joint_state_action_logdet,0.05,0.01,2000,nan,nan,0.015876239976466762,0,0,0.0,0.47645468522514733,0.015127936597723015,0.04528035980266766
same_beta__adverse__joint_state_action_logdet__beta_0p1,same_beta,adverse,joint_state_action_logdet,0.05,0.1,2000,946,0.3604974091220292,0.8170329225612979,2000,646,0.323,0.7761110142161838,0.8170329225612979,0.8626434963084667
same_beta__adverse__joint_state_action_logdet__beta_0p2,same_beta,adverse,joint_state_action_logdet,0.05,0.2,2000,589,0.4326329458720137,0.6432943794401356,2000,0,0.0,0.6021597114882611,0.6432943794401356,0.7162074581924921
same_beta__adverse__pooled_policy_logdet__beta_0p01,same_beta,adverse,pooled_policy_logdet,0.05,0.01,2000,nan,nan,0.015876239976466762,0,0,0.0,0.47639281910561093,0.015225830748174764,0.04528487152054295
same_beta__adverse__pooled_policy_logdet__beta_0p1,same_beta,adverse,pooled_policy_logdet,0.05,0.1,2000,920,0.38551807364375085,0.8295396841297439,2000,733,0.3665,0.7847768948266349,0.8295396841297439,0.8661985710772968
same_beta__adverse__pooled_policy_logdet__beta_0p2,same_beta,adverse,pooled_policy_logdet,0.05,0.2,2000,568,0.46477833153981135,0.6778024179204583,2000,640,0.32,0.6207727709522005,0.6778024179204583,0.7275855902024371
same_beta__adverse__reward_only__beta_0,same_beta,adverse,reward_only,0.05,0.0,2000,nan,nan,0.015876239976466762,0,0,0.0,0.49069200273694474,0.0020364210682015035,0.015913652574638792
same_beta__adverse__state_distribution_only__beta_0p01,same_beta,adverse,state_distribution_only,0.05,0.01,2000,nan,nan,0.015876239976466762,0,0,0.0,0.48422900624111476,0.007510506387401771,0.015941095579313433
same_beta__adverse__state_distribution_only__beta_0p1,same_beta,adverse,state_distribution_only,0.05,0.1,2000,nan,nan,0.1753515392587265,2000,0,0.0,0.4242929181778783,0.1753515392587265,0.017184745666969373
same_beta__adverse__state_distribution_only__beta_0p2,same_beta,adverse,state_distribution_only,0.05,0.2,2000,nan,nan,0.2786603053681079,2000,0,0.0,0.3939175229292527,0.2786603053681079,0.01898465534276596
same_beta__adverse__statewise_conditional_barrier__beta_0p01,same_beta,adverse,statewise_conditional_barrier,0.05,0.01,2000,nan,nan,0.015876239976466762,0,0,0.0,0.47723942283839155,0.010334822565439513,0.01634406146379174
same_beta__adverse__statewise_conditional_barrier__beta_0p1,same_beta,adverse,statewise_conditional_barrier,0.05,0.1,2000,nan,nan,0.24774470375482732,2000,0,0.0,0.40101032769889133,0.24774470375482732,0.30936508997025364
same_beta__adverse__statewise_conditional_barrier__beta_0p2,same_beta,adverse,statewise_conditional_barrier,0.05,0.2,2000,1161,0.35209501421654876,0.5983313192629063,2000,0,0.0,0.5946493285274485,0.5983313192629063,0.7490002901855362
same_beta__uniform__joint_correction_only__beta_0p01,same_beta,uniform,joint_correction_only,0.05,0.01,2000,118,0.339459241630008,0.9829072682600011,2000,1535,0.7675,0.9733362429182946,0.9829072682600011,0.9860599416775114
same_beta__uniform__joint_correction_only__beta_0p1,same_beta,uniform,joint_correction_only,0.05,0.1,2000,120,0.3243969779685613,0.9812901558686982,2000,1460,0.73,0.971854404350581,0.9812901558686982,0.9855422812969222
same_beta__uniform__joint_correction_only__beta_0p2,same_beta,uniform,joint_correction_only,0.05,0.2,2000,123,0.30735435747502127,0.9784280438322333,2000,1332,0.666,0.9691877858727229,0.9784280438322333,0.9845255933675437
