environment,run_label,method,seed,update,environment_steps,fisher,analysis_batch_identifier,training_batch_reused,reward_gradient_norm,captured_euclidean_energy_fraction,leading_k90_euclidean_energy_fraction,leading_k90_natural_energy_fraction,natural_energy
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,301,0,0,on_policy,analysis-on_policy-301-0,False,2.8704629868281706,0.9999999973612644,0.9642910861436973,0.014191840923398596,661.753633361779
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,301,0,0,fixed_reference,analysis-fixed_reference-301-0,False,2.8704629868281706,0.9999999999999998,0.9705355612461214,0.143259510670971,100.71787943904194
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,301,16000,16000,on_policy,analysis-on_policy-301-16000,False,2.2369910520512146,0.9999999914535758,0.8932790506563996,0.0064529680212865505,939.6842971129671
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,301,16000,16000,fixed_reference,analysis-fixed_reference-301-16000,False,2.2369910520512146,1.0000000000000002,0.9695745934321176,0.07697161847903064,135.53763576919908
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,301,28000,28000,on_policy,analysis-on_policy-301-28000,False,4.645108340236466,0.9999999986283968,0.9816586696007449,0.036971377927317174,897.5197930568213
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,301,28000,28000,fixed_reference,analysis-fixed_reference-301-28000,False,4.645108340236466,1.0000000000000002,0.9441102641206653,0.12099120301711867,333.6771737545429
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,301,40000,40000,on_policy,analysis-on_policy-301-40000,False,2.190604324171519,0.9999999350082286,0.9723392605564724,0.0019278915564096314,2933.4464612125093
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,301,40000,40000,fixed_reference,analysis-fixed_reference-301-40000,False,2.190604324171519,1.0000000000000002,0.9543437954903969,0.0741681489100868,121.3196483274921
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,301,51915,51915,on_policy,analysis-on_policy-301-51915,False,4.264053099472438,0.9999999933575597,0.9969511155295078,0.014933722849536528,1892.6098726395367
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,301,51915,51915,fixed_reference,analysis-fixed_reference-301-51915,False,4.264053099472438,1.0000000000000009,0.9503743802525244,0.11130877771314035,301.51336599020954
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,301,63915,63915,on_policy,analysis-on_policy-301-63915,False,2.4620262363109746,0.9999999983257836,0.9799075982929772,0.011591857471658033,737.0539231849029
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,301,63915,63915,fixed_reference,analysis-fixed_reference-301-63915,False,2.4620262363109746,1.0000000000000007,0.9693763084839498,0.13054048743734656,102.39753215466743
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,301,75915,75915,on_policy,analysis-on_policy-301-75915,False,3.284397422524629,0.999999999677528,0.9934595631665576,0.026177034449016666,613.3975596328143
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,301,75915,75915,fixed_reference,analysis-fixed_reference-301-75915,False,3.284397422524629,1.0000000000000013,0.9512700338364284,0.1326522488004877,153.04140678210248
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,301,87835,87835,on_policy,analysis-on_policy-301-87835,False,3.430631078610531,0.9999999959076302,0.9981338084730593,0.009508310079288072,1464.1980901084398
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,301,87835,87835,fixed_reference,analysis-fixed_reference-301-87835,False,3.430631078610531,1.000000000000001,0.9717405282978281,0.20419129109323225,98.97211882867317
