environment,run_label,method,seed,update,environment_steps,fisher,analysis_batch_identifier,training_batch_reused,parameter_count,state_count,action_count,score_row_count,maximum_possible_rank,numerical_rank,eigenvalue_threshold,trace,largest_eigenvalue,smallest_positive_eigenvalue,k90,participation_ratio,entropy_effective_rank,log_pseudodeterminant,positive_spectrum_condition_number,dtype,spectral_floor_used,decomposition_space
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,301,0,0,on_policy,analysis-on_policy-301-0,False,155,128,3,384,155,57,1e-10,1.512649404940876,0.8562615140255643,1.219161496532807e-10,2,2.0453594988694337,2.2431097468559407,-874.69015620084,7023364143.804575,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,301,0,0,fixed_reference,analysis-fixed_reference-301-0,False,155,256,3,768,155,146,1e-10,2.086805537729001,0.6701507098396327,2.0475935266478349e-10,5,4.535844985534748,6.074732700912955,-1800.8321102781954,3272869840.22045,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,301,16000,16000,on_policy,analysis-on_policy-301-16000,False,155,128,3,384,155,56,1e-10,1.4956862846413703,0.8438504188922682,1.0730874477343038e-10,2,2.0618174585573996,2.2749472470118577,-858.7111554157744,7863761901.9210205,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,301,16000,16000,fixed_reference,analysis-fixed_reference-301-16000,False,155,256,3,768,155,146,1e-10,2.088401985432951,0.6703922989060435,2.2449700189243438e-10,5,4.537371533469974,6.076033305095191,-1800.591530364366,2986197112.9006686,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,301,28000,28000,on_policy,analysis-on_policy-301-28000,False,155,128,3,384,155,53,1e-10,1.4970190207654248,0.8496261665976603,1.0913986055156571e-10,2,2.037878801832903,2.222788103621259,-813.16093074781,7784746675.539634,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,301,28000,28000,fixed_reference,analysis-fixed_reference-301-28000,False,155,256,3,768,155,146,1e-10,2.0890405739363183,0.6706652908863159,2.3641153049361936e-10,5,4.53806321599424,6.077255444101385,-1800.1527313472109,2836855247.6522155,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,301,40000,40000,on_policy,analysis-on_policy-301-40000,False,155,128,3,384,155,54,1e-10,1.498535884464678,0.8489367114930152,1.0149479232296656e-10,2,2.0460735218987227,2.2373213166992287,-830.6062961225929,8364337638.049584,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,301,40000,40000,fixed_reference,analysis-fixed_reference-301-40000,False,155,256,3,768,155,146,1e-10,2.089457124520519,0.6709737669479549,2.380560106676853e-10,5,4.538408626021601,6.078137438321487,-1800.0619130621537,2818554192.6290693,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,301,51915,51915,on_policy,analysis-on_policy-301-51915,False,155,128,3,384,155,54,1e-10,1.4903119068548112,0.8473609147349098,1.1245380906990417e-10,2,2.03324203070621,2.2143567696304247,-836.2514111635295,7535190864.083302,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,301,51915,51915,fixed_reference,analysis-fixed_reference-301-51915,False,155,256,3,768,155,146,1e-10,2.0897804923987437,0.6711828523877326,2.431459363366132e-10,5,4.538343902871494,6.078092909195901,-1799.8872082582338,2760411555.7108946,float64,False,parameter_fisher
