update,environment_steps,training_return,training_episode_length,beta,barrier_active
1,4000,-500.0,500.0,0.0,False
2,8000,-500.0,500.0,0.0,False
3,12000,-500.0,500.0,0.0,False
4,15747,-468.25,468.375,0.0,False
5,19747,-500.0,500.0,0.0,False
6,23747,-500.0,500.0,0.0,False
7,27747,-500.0,500.0,0.0,False
8,31744,-499.5,499.625,0.0,False
9,35744,-500.0,500.0,0.0,False
10,39695,-493.75,493.875,0.0,False
11,43695,-500.0,500.0,0.0,False
12,47695,-500.0,500.0,0.0,False
13,51695,-500.0,500.0,0.0,False
14,55695,-500.0,500.0,0.0,False
15,59667,-496.375,496.5,0.0,False
16,63667,-500.0,500.0,0.0,False
17,67667,-500.0,500.0,0.0,False
18,71667,-500.0,500.0,0.0,False
19,75667,-500.0,500.0,0.0,False
20,79622,-494.25,494.375,0.0,False
21,83622,-500.0,500.0,0.0,False
22,87622,-500.0,500.0,0.0,False
23,91622,-500.0,500.0,0.0,False
24,95617,-499.25,499.375,0.0,False
25,99617,-500.0,500.0,0.0,False
26,103617,-500.0,500.0,0.0,False
27,107617,-500.0,500.0,0.0,False
28,111617,-500.0,500.0,0.0,False
29,115617,-500.0,500.0,0.0,False
30,119617,-500.0,500.0,0.0,False
31,122880,-251.0,251.0,0.0,False
