update,environment_steps,reward_gradient_norm,barrier_gradient_norm,regularizer_gradient_norm,reward_regularizer_cosine,cosine_defined,beta
0,0,415.70806884765625,0.029604775831103325,15.708776473999023,-0.13393670320510864,True,0.0
1,4000,255.01605224609375,0.030387626960873604,16.11038589477539,0.14303579926490784,True,0.0
2,8000,182.357421875,0.031862836331129074,16.877593994140625,0.6656410694122314,True,0.0
3,12000,261.8101501464844,0.03062754124403,16.261089324951172,0.647310197353363,True,0.0
4,16000,254.55056762695312,0.032449688762426376,17.193771362304688,-0.711385190486908,True,0.0
5,20000,192.94105529785156,0.03040636144578457,16.154462814331055,0.549150288105011,True,0.0
6,24000,244.1304168701172,0.028985045850276947,15.436707496643066,0.18506687879562378,True,0.0
7,28000,435.60015869140625,0.033769287168979645,17.878509521484375,-0.51348876953125,True,0.0
8,32000,168.79312133789062,0.03196650370955467,16.97470474243164,0.34957537055015564,True,0.0
9,36000,198.5609588623047,0.03122282773256302,16.594051361083984,-0.32012373208999634,True,0.0
10,40000,461.84210205078125,0.030578503385186195,16.25867462158203,0.4165245294570923,True,0.0
11,44000,348.56451416015625,0.030535364523530006,16.239227294921875,0.6680822372436523,True,0.0
12,48000,339.91473388671875,0.027683863416314125,14.779010772705078,0.7563328742980957,True,0.0
13,52000,292.7530822753906,0.03152356296777725,16.695785522460938,0.3166220784187317,True,0.0
14,56000,252.8153839111328,0.03306236118078232,17.495073318481445,-0.16832657158374786,True,0.0
15,60000,195.07333374023438,0.028373319655656815,15.10706901550293,0.6867408752441406,True,0.0
16,64000,152.6419677734375,0.03402186930179596,18.033021926879883,0.07295726239681244,True,0.0
17,68000,170.50332641601562,0.02913019433617592,15.506120681762695,-0.07056351751089096,True,0.0
18,72000,312.4620361328125,0.028506578877568245,15.169986724853516,0.41268420219421387,True,0.0
19,76000,323.27764892578125,0.0301150381565094,15.989381790161133,0.6168252229690552,True,0.0
20,80000,120.8894271850586,0.02874799631536007,15.293201446533203,0.4976343810558319,True,0.0
21,84000,231.6573486328125,0.030165106058120728,16.01280403137207,-0.3175610303878784,True,0.0
22,88000,320.344482421875,0.028909198939800262,15.368775367736816,0.06052865460515022,True,0.0
23,92000,248.1338653564453,0.031439051032066345,16.675132751464844,-0.699702799320221,True,0.0
24,96000,230.0099334716797,0.03118692710995674,16.515901565551758,-0.3594072163105011,True,0.0
25,100000,213.90707397460938,0.027560042217373848,14.686264991760254,-0.4906320571899414,True,0.0
26,104000,76.00961303710938,0.02775079384446144,14.774553298950195,0.022862693294882774,True,0.0
27,108000,279.8699645996094,0.029280278831720352,15.512872695922852,-0.2065420150756836,True,0.0
28,112000,77.42765808105469,0.02801636978983879,14.920445442199707,-0.6093710064888,True,0.0
29,116000,303.84576416015625,0.03339210897684097,17.669857025146484,-0.4167918562889099,True,0.0
30,120000,64.64007568359375,0.02560405060648918,13.687959671020508,-0.4278625249862671,True,0.0
