environment,method,seed,update,environment_steps,deterministic_return,stochastic_return,episode_length,entropy,mean_min_probability,global_min_probability,barrier_value,beta,barrier_active
Acrobot-v1,gpomdp_entropy_fixed,309,0,0,-500.0,-500.0,500.0,1.087021827697754,0.2729271352291107,0.21335402131080627,-1.110540747642517,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,309,4,16000,-500.0,-500.0,500.0,1.0865541696548462,0.2713465392589569,0.21657584607601166,-1.1110337972640991,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,309,7,28000,-500.0,-500.0,500.0,1.0866848230361938,0.2722615599632263,0.21012751758098602,-1.110965609550476,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,309,10,40000,-500.0,-500.0,500.0,1.087066888809204,0.27238166332244873,0.21360652148723602,-1.110510230064392,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,309,13,52000,-500.0,-500.0,500.0,1.0871354341506958,0.27283674478530884,0.21747907996177673,-1.1104503870010376,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,309,16,64000,-500.0,-500.0,500.0,1.087364673614502,0.27330145239830017,0.22068914771080017,-1.1101840734481812,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,309,19,76000,-500.0,-500.0,500.0,1.0875509977340698,0.2739039659500122,0.21360597014427185,-1.1100026369094849,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,309,22,88000,-500.0,-500.0,500.0,1.0878140926361084,0.2750978171825409,0.21662867069244385,-1.1097464561462402,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,309,25,100000,-500.0,-500.0,500.0,1.0881524085998535,0.27581873536109924,0.2202315628528595,-1.1093734502792358,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,309,28,112000,-500.0,-500.0,500.0,1.0880188941955566,0.2759547233581543,0.21067775785923004,-1.1095757484436035,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,309,31,122880,-500.0,-500.0,500.0,1.0886255502700806,0.2770038843154907,0.21551038324832916,-1.1089013814926147,0.0,False
