update,environment_steps,training_return,training_episode_length,beta,barrier_active
1,4000,-500.0,500.0,555.232544854984,True
2,8000,-500.0,500.0,555.232544854984,True
3,12000,-500.0,500.0,555.232544854984,True
4,15747,-468.25,468.375,555.232544854984,True
5,19747,-500.0,500.0,555.232544854984,True
6,23747,-500.0,500.0,555.232544854984,True
7,27747,-500.0,500.0,555.232544854984,True
8,31744,-499.5,499.625,555.232544854984,True
9,35744,-500.0,500.0,555.232544854984,True
10,39695,-493.75,493.875,555.232544854984,True
11,43695,-500.0,500.0,555.232544854984,True
12,47695,-500.0,500.0,555.232544854984,True
13,51695,-500.0,500.0,555.232544854984,True
14,55695,-500.0,500.0,555.232544854984,True
15,59667,-496.375,496.5,555.232544854984,True
16,63667,-500.0,500.0,555.232544854984,True
17,67667,-500.0,500.0,555.232544854984,True
18,71667,-500.0,500.0,555.232544854984,True
19,75667,-500.0,500.0,555.232544854984,True
20,79622,-494.25,494.375,555.232544854984,True
21,83622,-500.0,500.0,555.232544854984,True
22,87622,-500.0,500.0,555.232544854984,True
23,91622,-500.0,500.0,555.232544854984,True
24,95617,-499.25,499.375,555.232544854984,True
25,99617,-500.0,500.0,555.232544854984,True
26,103617,-500.0,500.0,555.232544854984,True
27,107617,-500.0,500.0,555.232544854984,True
28,111617,-500.0,500.0,555.232544854984,True
29,115617,-500.0,500.0,555.232544854984,True
30,119617,-500.0,500.0,555.232544854984,True
31,122880,-251.0,251.0,555.232544854984,True
