environment,method,seed,update,environment_steps,deterministic_return,stochastic_return,episode_length,entropy,mean_min_probability,global_min_probability,barrier_value,beta,barrier_active
Acrobot-v1,gpomdp_logbarrier_fixed,308,0,0,-500.0,-500.0,500.0,1.0540071725845337,0.20241989195346832,0.17561399936676025,-1.147779941558838,555.232544854984,True
Acrobot-v1,gpomdp_logbarrier_fixed,308,4,16000,-500.0,-500.0,500.0,1.0541471242904663,0.20239374041557312,0.17397677898406982,-1.1476681232452393,555.232544854984,True
Acrobot-v1,gpomdp_logbarrier_fixed,308,7,28000,-500.0,-500.0,500.0,1.0550647974014282,0.20351940393447876,0.1733899712562561,-1.146612286567688,555.232544854984,True
Acrobot-v1,gpomdp_logbarrier_fixed,308,10,40000,-500.0,-500.0,500.0,1.0551162958145142,0.2036634236574173,0.17279385030269623,-1.1465272903442383,555.232544854984,True
Acrobot-v1,gpomdp_logbarrier_fixed,308,13,52000,-500.0,-500.0,500.0,1.055037021636963,0.20479550957679749,0.17077894508838654,-1.1464406251907349,555.232544854984,True
Acrobot-v1,gpomdp_logbarrier_fixed,308,16,64000,-500.0,-500.0,500.0,1.056532621383667,0.20617978274822235,0.17112472653388977,-1.144797444343567,555.232544854984,True
Acrobot-v1,gpomdp_logbarrier_fixed,308,19,76000,-500.0,-500.0,500.0,1.0560764074325562,0.2065214365720749,0.1753888577222824,-1.1451821327209473,555.232544854984,True
Acrobot-v1,gpomdp_logbarrier_fixed,308,22,88000,-500.0,-500.0,500.0,1.0567562580108643,0.20573198795318604,0.17038674652576447,-1.1446380615234375,555.232544854984,True
Acrobot-v1,gpomdp_logbarrier_fixed,308,25,100000,-500.0,-500.0,500.0,1.057506799697876,0.2074151188135147,0.1776614934206009,-1.1436830759048462,555.232544854984,True
Acrobot-v1,gpomdp_logbarrier_fixed,308,28,112000,-500.0,-500.0,500.0,1.057389259338379,0.2067904770374298,0.17522330582141876,-1.1438816785812378,555.232544854984,True
Acrobot-v1,gpomdp_logbarrier_fixed,308,31,122880,-500.0,-500.0,500.0,1.057603359222412,0.20804470777511597,0.17532670497894287,-1.1434898376464844,555.232544854984,True
