environment,method,seed,update,environment_steps,deterministic_return,stochastic_return,episode_length,entropy,mean_min_probability,global_min_probability,barrier_value,beta,barrier_active
Acrobot-v1,gpomdp_logbarrier_handoff,304,0,0,-500.0,-500.0,500.0,1.0885896682739258,0.2733095586299896,0.2267875075340271,-1.109065055847168,555.232544854984,True
Acrobot-v1,gpomdp_logbarrier_handoff,304,4,16000,-500.0,-500.0,500.0,1.088999629020691,0.27447474002838135,0.22829841077327728,-1.1086113452911377,555.232544854984,True
Acrobot-v1,gpomdp_logbarrier_handoff,304,7,28000,-500.0,-500.0,500.0,1.0887755155563354,0.27528151869773865,0.23020316660404205,-1.108858585357666,555.232544854984,True
Acrobot-v1,gpomdp_logbarrier_handoff,304,8,32000,-500.0,-500.0,500.0,1.089261531829834,0.2753928005695343,0.22552305459976196,-1.1083379983901978,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,304,10,40000,-500.0,-500.0,500.0,1.0891132354736328,0.27680936455726624,0.2284034937620163,-1.1084760427474976,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,304,13,52000,-500.0,-500.0,500.0,1.089629054069519,0.2759941816329956,0.2297814041376114,-1.1079411506652832,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,304,16,64000,-500.0,-500.0,500.0,1.0894427299499512,0.2760176658630371,0.23355863988399506,-1.1081501245498657,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,304,19,76000,-500.0,-500.0,500.0,1.0891797542572021,0.2764940857887268,0.2303313910961151,-1.1084251403808594,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,304,22,88000,-500.0,-500.0,500.0,1.089660406112671,0.2760429084300995,0.22796885669231415,-1.1079208850860596,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,304,25,100000,-500.0,-500.0,500.0,1.0894383192062378,0.27710533142089844,0.23076705634593964,-1.108142614364624,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,304,28,112000,-500.0,-500.0,500.0,1.0896164178848267,0.27686038613319397,0.23141956329345703,-1.1079453229904175,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,304,31,122880,-500.0,-500.0,500.0,1.089607834815979,0.27585768699645996,0.23285523056983948,-1.107983946800232,0.0,False
