update,environment_steps,reward_gradient_norm,barrier_gradient_norm,regularizer_gradient_norm,reward_regularizer_cosine,cosine_defined,beta
0,0,185.5729217529297,0.11478303372859955,63.73127365112305,-0.8635544776916504,True,555.232544854984
1,4000,190.97756958007812,0.11293835192918777,62.70705032348633,-0.8484688401222229,True,555.232544854984
2,8000,90.88648986816406,0.11284147202968597,62.65325927734375,-0.197992742061615,True,555.232544854984
3,12000,209.5459442138672,0.11575145274400711,64.26897430419922,0.09004467725753784,True,555.232544854984
4,16000,243.96728515625,0.1138663962483406,63.222328186035156,0.6673433780670166,True,555.232544854984
5,20000,147.93936157226562,0.11498387902975082,63.842796325683594,0.785987138748169,True,555.232544854984
6,24000,142.92514038085938,0.11380146443843842,63.186283111572266,0.6097304821014404,True,555.232544854984
7,28000,268.4907531738281,0.1152915507555008,64.01362609863281,-0.31623053550720215,True,555.232544854984
8,32000,175.81980895996094,0.11159314960241318,0.0,nan,False,0.0
9,36000,286.8133850097656,0.11209870129823685,0.0,nan,False,0.0
10,40000,144.27537536621094,0.11593413352966309,0.0,nan,False,0.0
11,44000,164.9381866455078,0.11557571589946747,0.0,nan,False,0.0
12,48000,237.10537719726562,0.11172053962945938,0.0,nan,False,0.0
13,52000,288.6710510253906,0.11142909526824951,0.0,nan,False,0.0
14,55953,148.3898468017578,0.11093882471323013,0.0,nan,False,0.0
15,59953,180.58055114746094,0.11470992863178253,0.0,nan,False,0.0
16,63953,186.51708984375,0.11236224323511124,0.0,nan,False,0.0
17,67953,163.25953674316406,0.11428403109312057,0.0,nan,False,0.0
18,71953,433.2464904785156,0.11030054092407227,0.0,nan,False,0.0
19,75953,151.09124755859375,0.1162477657198906,0.0,nan,False,0.0
20,79953,166.8580322265625,0.1127040833234787,0.0,nan,False,0.0
21,83953,248.42832946777344,0.11072055995464325,0.0,nan,False,0.0
22,87953,309.4207458496094,0.11526992172002792,0.0,nan,False,0.0
23,91953,128.62677001953125,0.1143413707613945,0.0,nan,False,0.0
24,95953,197.76327514648438,0.11436834186315536,0.0,nan,False,0.0
25,99953,243.17747497558594,0.11227096617221832,0.0,nan,False,0.0
26,103953,439.8337707519531,0.11191342771053314,0.0,nan,False,0.0
27,107953,264.6064758300781,0.11095190793275833,0.0,nan,False,0.0
28,111953,321.8140869140625,0.11196312308311462,0.0,nan,False,0.0
29,115953,162.16221618652344,0.11147815734148026,0.0,nan,False,0.0
30,119953,113.1396255493164,0.11280488967895508,0.0,nan,False,0.0
