update,environment_steps,training_return,training_episode_length,beta,barrier_active
1,4000,-500.0,500.0,555.232544854984,True
2,8000,-500.0,500.0,555.232544854984,True
3,12000,-500.0,500.0,555.232544854984,True
4,16000,-500.0,500.0,555.232544854984,True
5,20000,-500.0,500.0,555.232544854984,True
6,24000,-500.0,500.0,555.232544854984,True
7,28000,-500.0,500.0,555.232544854984,True
8,32000,-500.0,500.0,555.232544854984,True
9,36000,-500.0,500.0,0.0,False
10,40000,-500.0,500.0,0.0,False
11,44000,-500.0,500.0,0.0,False
12,48000,-500.0,500.0,0.0,False
13,52000,-500.0,500.0,0.0,False
14,55953,-494.0,494.125,0.0,False
15,59953,-500.0,500.0,0.0,False
16,63953,-500.0,500.0,0.0,False
17,67953,-500.0,500.0,0.0,False
18,71953,-500.0,500.0,0.0,False
19,75953,-500.0,500.0,0.0,False
20,79953,-500.0,500.0,0.0,False
21,83953,-500.0,500.0,0.0,False
22,87953,-500.0,500.0,0.0,False
23,91953,-500.0,500.0,0.0,False
24,95953,-500.0,500.0,0.0,False
25,99953,-500.0,500.0,0.0,False
26,103953,-500.0,500.0,0.0,False
27,107953,-500.0,500.0,0.0,False
28,111953,-500.0,500.0,0.0,False
29,115953,-500.0,500.0,0.0,False
30,119953,-500.0,500.0,0.0,False
31,122880,-487.8333333333333,487.8333333333333,0.0,False
