environment,method,seed,update,environment_steps,deterministic_return,stochastic_return,episode_length,entropy,mean_min_probability,global_min_probability,barrier_value,beta,barrier_active
Acrobot-v1,gpomdp_reward_only,307,0,0,-500.0,-500.0,500.0,1.0884710550308228,0.2788606584072113,0.24359172582626343,-1.1088511943817139,0.0,False
Acrobot-v1,gpomdp_reward_only,307,4,16000,-500.0,-500.0,500.0,1.0875405073165894,0.2771977484226227,0.240859255194664,-1.1097867488861084,0.0,False
Acrobot-v1,gpomdp_reward_only,307,7,28000,-500.0,-500.0,500.0,1.0884289741516113,0.279050350189209,0.23589171469211578,-1.1088922023773193,0.0,False
Acrobot-v1,gpomdp_reward_only,307,10,40000,-500.0,-500.0,500.0,1.088819980621338,0.28030478954315186,0.24660810828208923,-1.1084846258163452,0.0,False
Acrobot-v1,gpomdp_reward_only,307,13,52000,-500.0,-500.0,500.0,1.0888885259628296,0.28028661012649536,0.24061137437820435,-1.1084147691726685,0.0,False
Acrobot-v1,gpomdp_reward_only,307,16,64000,-500.0,-500.0,500.0,1.0882186889648438,0.27984097599983215,0.24442559480667114,-1.1090631484985352,0.0,False
Acrobot-v1,gpomdp_reward_only,307,19,76000,-500.0,-500.0,500.0,1.088584542274475,0.2807970643043518,0.2422216683626175,-1.1086924076080322,0.0,False
Acrobot-v1,gpomdp_reward_only,307,22,88000,-500.0,-500.0,500.0,1.089015245437622,0.28169384598731995,0.24712048470973969,-1.1082589626312256,0.0,False
Acrobot-v1,gpomdp_reward_only,307,25,100000,-500.0,-500.0,500.0,1.0875805616378784,0.2788582146167755,0.23885443806648254,-1.1096887588500977,0.0,False
Acrobot-v1,gpomdp_reward_only,307,28,112000,-500.0,-500.0,500.0,1.0879638195037842,0.2794324457645416,0.23849092423915863,-1.1093096733093262,0.0,False
Acrobot-v1,gpomdp_reward_only,307,31,122880,-500.0,-500.0,500.0,1.0890705585479736,0.2819087505340576,0.24443575739860535,-1.1081972122192383,0.0,False
