update,environment_steps,training_return,training_episode_length,beta,barrier_active
1,4000,-500.0,500.0,0.0,False
2,8000,-500.0,500.0,0.0,False
3,12000,-500.0,500.0,0.0,False
4,16000,-500.0,500.0,0.0,False
5,20000,-500.0,500.0,0.0,False
6,24000,-500.0,500.0,0.0,False
7,28000,-500.0,500.0,0.0,False
8,32000,-500.0,500.0,0.0,False
9,36000,-500.0,500.0,0.0,False
10,40000,-500.0,500.0,0.0,False
11,44000,-500.0,500.0,0.0,False
12,48000,-500.0,500.0,0.0,False
13,52000,-500.0,500.0,0.0,False
14,56000,-500.0,500.0,0.0,False
15,59935,-491.75,491.875,0.0,False
16,63935,-500.0,500.0,0.0,False
17,67935,-500.0,500.0,0.0,False
18,71935,-500.0,500.0,0.0,False
19,75935,-500.0,500.0,0.0,False
20,79935,-500.0,500.0,0.0,False
21,83935,-500.0,500.0,0.0,False
22,87935,-500.0,500.0,0.0,False
23,91935,-500.0,500.0,0.0,False
24,95935,-500.0,500.0,0.0,False
25,99935,-500.0,500.0,0.0,False
26,103935,-500.0,500.0,0.0,False
27,107935,-500.0,500.0,0.0,False
28,111935,-500.0,500.0,0.0,False
29,115935,-500.0,500.0,0.0,False
30,119935,-500.0,500.0,0.0,False
31,122880,-294.5,294.5,0.0,False
