update,environment_steps,training_return,training_episode_length,beta,barrier_active
1,4000,-500.0,500.0,0.0,False
2,8000,-500.0,500.0,0.0,False
3,9557,-193.625,194.625,0.0,False
4,11051,-185.75,186.75,0.0,False
5,12857,-224.75,225.75,0.0,False
6,14202,-167.125,168.125,0.0,False
7,17298,-386.625,387.0,0.0,False
8,20309,-375.875,376.375,0.0,False
9,21771,-181.75,182.75,0.0,False
10,23445,-208.25,209.25,0.0,False
11,25151,-212.25,213.25,0.0,False
12,27060,-237.75,238.625,0.0,False
13,31060,-500.0,500.0,0.0,False
14,35060,-500.0,500.0,0.0,False
15,39060,-500.0,500.0,0.0,False
16,43060,-500.0,500.0,0.0,False
17,47060,-500.0,500.0,0.0,False
18,51060,-500.0,500.0,0.0,False
19,55060,-500.0,500.0,0.0,False
20,59060,-500.0,500.0,0.0,False
21,63060,-500.0,500.0,0.0,False
22,67060,-500.0,500.0,0.0,False
23,71060,-500.0,500.0,0.0,False
24,75060,-500.0,500.0,0.0,False
25,79060,-500.0,500.0,0.0,False
26,83060,-500.0,500.0,0.0,False
27,87060,-500.0,500.0,0.0,False
28,91060,-500.0,500.0,0.0,False
29,95060,-500.0,500.0,0.0,False
30,99060,-500.0,500.0,0.0,False
31,103060,-500.0,500.0,0.0,False
32,107060,-500.0,500.0,0.0,False
33,111060,-500.0,500.0,0.0,False
34,115060,-500.0,500.0,0.0,False
35,119060,-500.0,500.0,0.0,False
36,122880,-382.0,382.0,0.0,False
