update,environment_steps,reward_gradient_norm,barrier_gradient_norm,regularizer_gradient_norm,reward_regularizer_cosine,cosine_defined,beta
0,0,228.2089080810547,0.08137831091880798,0.0,nan,False,0.0
1,4000,1481.16748046875,3.843400716781616,0.0,nan,False,0.0
2,8000,34.858306884765625,5.003811836242676,0.0,nan,False,0.0
3,12000,2.741424798965454,4.950979232788086,0.0,nan,False,0.0
4,16000,0.0001370713289361447,5.8021464347839355,0.0,nan,False,0.0
5,20000,0.00027804786805063486,6.056963920593262,0.0,nan,False,0.0
6,24000,0.0003178015467710793,5.796565532684326,0.0,nan,False,0.0
7,28000,9.816943929763511e-05,5.736832141876221,0.0,nan,False,0.0
8,32000,0.00033173029078170657,5.582286834716797,0.0,nan,False,0.0
9,36000,0.00045364254037849605,5.717443943023682,0.0,nan,False,0.0
10,40000,0.0002726796956267208,5.809286117553711,0.0,nan,False,0.0
11,44000,0.0002967256004922092,5.730888366699219,0.0,nan,False,0.0
12,48000,0.00010603179543977603,5.536640167236328,0.0,nan,False,0.0
13,52000,0.00027084091561846435,5.869671821594238,0.0,nan,False,0.0
14,56000,0.00025265043950639665,5.693187713623047,0.0,nan,False,0.0
15,60000,0.0001821790065150708,5.660825252532959,0.0,nan,False,0.0
16,64000,0.00019144616089761257,5.756093502044678,0.0,nan,False,0.0
17,68000,0.0002660754544194788,5.847612380981445,0.0,nan,False,0.0
18,72000,0.00020474054326768965,5.553042888641357,0.0,nan,False,0.0
19,76000,0.0002931141934823245,5.72052001953125,0.0,nan,False,0.0
20,80000,0.00021632130665238947,5.63270902633667,0.0,nan,False,0.0
21,84000,0.00020376750035211444,5.709716320037842,0.0,nan,False,0.0
22,88000,0.00013975094771012664,5.827609062194824,0.0,nan,False,0.0
23,92000,0.00015835081285331398,5.860239505767822,0.0,nan,False,0.0
24,96000,0.00035729806404560804,5.575317859649658,0.0,nan,False,0.0
25,100000,0.00028073100838810205,5.854843616485596,0.0,nan,False,0.0
26,104000,0.0001897398615255952,5.675558090209961,0.0,nan,False,0.0
27,108000,0.00025512720458209515,5.861324310302734,0.0,nan,False,0.0
28,112000,0.0005554335075430572,5.750094890594482,0.0,nan,False,0.0
29,116000,0.00013701383431907743,5.6377854347229,0.0,nan,False,0.0
30,120000,1.946943302755244e-05,5.554790496826172,0.0,nan,False,0.0
