environment,method,seed,update,environment_steps,deterministic_return,stochastic_return,episode_length,entropy,mean_min_probability,global_min_probability,barrier_value,beta,barrier_active
Acrobot-v1,npg_reward_only,306,0,0,-500.0,-500.0,500.0,1.0962234735488892,0.30625462532043457,0.2446736842393875,-1.101047396659851,0.0,False
Acrobot-v1,npg_reward_only,306,4,16000,-500.0,-500.0,500.0,4.623703153748375e-14,1.7009109795135995e-16,2.009798873163713e-18,-24.8341121673584,0.0,False
Acrobot-v1,npg_reward_only,306,7,28000,-500.0,-500.0,500.0,2.5497370531655898e-14,1.1370166619802802e-16,2.0100596418518204e-18,-25.045114517211914,0.0,False
Acrobot-v1,npg_reward_only,306,10,40000,-500.0,-500.0,500.0,4.1822577031332825e-14,1.5929084553871638e-16,2.0099982236913384e-18,-24.86638069152832,0.0,False
Acrobot-v1,npg_reward_only,306,13,52000,-500.0,-500.0,500.0,2.59726051429765e-14,1.1836147237355974e-16,2.0103049009034424e-18,-25.043027877807617,0.0,False
Acrobot-v1,npg_reward_only,306,16,64000,-500.0,-500.0,500.0,2.0598726581865998e-14,1.0737336393508293e-16,2.0103049009034424e-18,-25.071596145629883,0.0,False
Acrobot-v1,npg_reward_only,306,19,76000,-500.0,-500.0,500.0,3.2176105042077546e-14,1.3225610819609068e-16,2.010028829374003e-18,-24.96289825439453,0.0,False
Acrobot-v1,npg_reward_only,306,22,88000,-500.0,-500.0,500.0,3.045740065319921e-14,1.2928506072425742e-16,2.010105550375817e-18,-24.999895095825195,0.0,False
Acrobot-v1,npg_reward_only,306,25,100000,-500.0,-500.0,500.0,2.5628210016952375e-14,1.1588653474591128e-16,2.009982920850006e-18,-25.040603637695312,0.0,False
Acrobot-v1,npg_reward_only,306,28,112000,-500.0,-500.0,500.0,1.8724412076181682e-14,9.778447451613142e-17,2.010396924746589e-18,-25.116796493530273,0.0,False
Acrobot-v1,npg_reward_only,306,31,122880,-500.0,-500.0,500.0,3.007066912640542e-14,1.215288462006988e-16,2.0099523151673417e-18,-25.01278305053711,0.0,False
