environment,method,seed,update,environment_steps,deterministic_return,stochastic_return,deterministic_return_standard_deviation,stochastic_return_standard_deviation,episode_length,deterministic_termination_rate,stochastic_termination_rate,entropy,mean_min_probability,global_min_probability,barrier_value,beta,barrier_active
Acrobot-v1,gpomdp_reward_only,211,0,0,-500.0,-500.0,0.0,0.0,500.0,0.0,0.0,1.0777260065078735,0.27419182658195496,0.21085461974143982,-1.1190935373306274,0.0,False
Acrobot-v1,gpomdp_reward_only,211,50,25000,-500.0,-500.0,0.0,0.0,500.0,0.0,0.0,1.0324139595031738,0.21490919589996338,0.18060177564620972,-1.164488434791565,0.0,False
Acrobot-v1,gpomdp_reward_only,211,100,50000,-500.0,-500.0,0.0,0.0,500.0,0.0,0.0,1.010049819946289,0.21983307600021362,0.19422802329063416,-1.1846644878387451,0.0,False
Acrobot-v1,gpomdp_reward_only,211,150,75000,-500.0,-500.0,0.0,0.0,500.0,0.0,0.0,1.035645604133606,0.24096514284610748,0.17167936265468597,-1.1598573923110962,0.0,False
Acrobot-v1,gpomdp_reward_only,211,200,100000,-500.0,-499.75,0.0,1.4142135623730951,500.0,0.0,0.03125,1.0290278196334839,0.24014855921268463,0.16022361814975739,-1.1664924621582031,0.0,False
Acrobot-v1,gpomdp_reward_only,211,250,125000,-500.0,-500.0,0.0,0.0,500.0,0.0,0.0,0.9831691980361938,0.21668806672096252,0.14903554320335388,-1.2117279767990112,0.0,False
Acrobot-v1,gpomdp_reward_only,211,300,150000,-500.0,-500.0,0.0,0.0,500.0,0.0,0.0,1.0010737180709839,0.2235540747642517,0.15329523384571075,-1.194856882095337,0.0,False
Acrobot-v1,gpomdp_reward_only,211,350,175000,-500.0,-378.53125,0.0,78.62076569448492,500.0,0.0,0.875,1.020371913909912,0.20988067984580994,0.1307288110256195,-1.1773595809936523,0.0,False
Acrobot-v1,gpomdp_reward_only,211,400,200000,-101.4375,-149.40625,25.728028521690177,44.61799100102718,102.4375,1.0,1.0,0.8386611342430115,0.10493367165327072,0.032659899443387985,-1.439481496810913,0.0,False
Acrobot-v1,gpomdp_reward_only,211,450,225000,-108.09375,-132.15625,52.92256020859401,77.30755894060322,109.09375,1.0,0.96875,0.7351769804954529,0.07181613147258759,0.01901494339108467,-1.6429243087768555,0.0,False
Acrobot-v1,gpomdp_reward_only,211,500,250000,-88.09375,-117.25,23.645717575861795,38.64728843302989,89.09375,1.0,1.0,0.6663029789924622,0.06470506638288498,0.012885690666735172,-1.7696532011032104,0.0,False
Acrobot-v1,gpomdp_reward_only,211,550,275000,-84.3125,-112.8125,12.105550579742735,62.589001146496415,85.3125,1.0,1.0,0.6475240588188171,0.05933759734034538,0.011275052092969418,-1.8162614107131958,0.0,False
Acrobot-v1,gpomdp_reward_only,211,600,300000,-83.78125,-99.75,12.375142553756966,33.03273059137832,84.78125,1.0,1.0,0.5668346881866455,0.05226334556937218,0.006846400909125805,-1.9901255369186401,0.0,False
Acrobot-v1,gpomdp_reward_only,211,650,325000,-81.34375,-100.0,11.243949986117983,22.233366381300904,82.34375,1.0,1.0,0.5063400864601135,0.045479461550712585,0.0046917954459786415,-2.136843681335449,0.0,False
Acrobot-v1,gpomdp_reward_only,211,700,350000,-83.8125,-106.34375,13.627385852073402,46.597528229475586,84.8125,1.0,1.0,0.4713354706764221,0.04266687482595444,0.004025564994663,-2.2416882514953613,0.0,False
Acrobot-v1,gpomdp_reward_only,211,750,375000,-79.6875,-101.53125,8.01384890009466,44.7314455136645,80.6875,1.0,1.0,0.42820683121681213,0.036033060401678085,0.003157930914312601,-2.3555212020874023,0.0,False
Acrobot-v1,gpomdp_reward_only,211,800,400000,-87.25,-89.0,25.584773697675935,25.448239688155375,88.25,1.0,1.0,0.39413368701934814,0.030456192791461945,0.002277577528730035,-2.4768309593200684,0.0,False
Acrobot-v1,gpomdp_reward_only,211,850,425000,-83.8125,-86.3125,12.470448940362713,13.238354590282906,84.8125,1.0,1.0,0.3691909909248352,0.032872285693883896,0.0018418554682284594,-2.5718414783477783,0.0,False
Acrobot-v1,gpomdp_reward_only,211,900,450000,-86.3125,-85.0,25.2196000326423,15.937377450509228,87.3125,1.0,1.0,0.3313155472278595,0.026302989572286606,0.0015217416221275926,-2.7135705947875977,0.0,False
Acrobot-v1,gpomdp_reward_only,211,950,475000,-85.875,-92.65625,18.44040094728892,41.10537942583593,86.875,1.0,1.0,0.2959389388561249,0.024749653413891792,0.0011747479438781738,-2.857459783554077,0.0,False
Acrobot-v1,gpomdp_reward_only,211,1000,500000,-89.75,-86.21875,32.65261931893208,25.6071239772665,90.75,1.0,1.0,0.27919772267341614,0.022723395377397537,0.0010021369671449065,-2.928788185119629,0.0,False
