update,environment_steps,batch_training_episodes,cumulative_training_episodes,training_return,training_episode_length,beta,barrier_active
1,4000,8,8,-500.0,500.0,0.0,False
2,8000,8,16,-500.0,500.0,0.0,False
3,12000,8,24,-500.0,500.0,0.0,False
4,16000,8,32,-500.0,500.0,0.0,False
5,20000,8,40,-500.0,500.0,0.0,False
6,24000,8,48,-500.0,500.0,0.0,False
7,28000,8,56,-500.0,500.0,0.0,False
8,32000,8,64,-500.0,500.0,0.0,False
9,36000,8,72,-500.0,500.0,0.0,False
10,40000,8,80,-500.0,500.0,0.0,False
11,43856,8,88,-481.875,482.0,0.0,False
12,47856,8,96,-500.0,500.0,0.0,False
13,51856,8,104,-500.0,500.0,0.0,False
14,55856,8,112,-500.0,500.0,0.0,False
15,59856,8,120,-500.0,500.0,0.0,False
16,63856,8,128,-500.0,500.0,0.0,False
17,67856,8,136,-500.0,500.0,0.0,False
18,71856,8,144,-500.0,500.0,0.0,False
19,75856,8,152,-500.0,500.0,0.0,False
20,79752,8,160,-486.875,487.0,0.0,False
21,83752,8,168,-500.0,500.0,0.0,False
22,87752,8,176,-500.0,500.0,0.0,False
23,91752,8,184,-500.0,500.0,0.0,False
24,95752,8,192,-500.0,500.0,0.0,False
25,99752,8,200,-500.0,500.0,0.0,False
26,103752,8,208,-500.0,500.0,0.0,False
27,107752,8,216,-500.0,500.0,0.0,False
28,111752,8,224,-500.0,500.0,0.0,False
29,115669,8,232,-489.5,489.625,0.0,False
30,119669,8,240,-500.0,500.0,0.0,False
31,123669,8,248,-500.0,500.0,0.0,False
32,127669,8,256,-500.0,500.0,0.0,False
33,131669,8,264,-500.0,500.0,0.0,False
34,135567,8,272,-487.125,487.25,0.0,False
35,139567,8,280,-500.0,500.0,0.0,False
36,143567,8,288,-500.0,500.0,0.0,False
37,147549,8,296,-497.625,497.75,0.0,False
38,151475,8,304,-490.625,490.75,0.0,False
39,155475,8,312,-500.0,500.0,0.0,False
40,159411,8,320,-491.875,492.0,0.0,False
41,163411,8,328,-500.0,500.0,0.0,False
42,167411,8,336,-500.0,500.0,0.0,False
43,171411,8,344,-500.0,500.0,0.0,False
44,175411,8,352,-500.0,500.0,0.0,False
45,179411,8,360,-500.0,500.0,0.0,False
46,183411,8,368,-500.0,500.0,0.0,False
47,187411,8,376,-500.0,500.0,0.0,False
48,191411,8,384,-500.0,500.0,0.0,False
49,195411,8,392,-500.0,500.0,0.0,False
50,199202,8,400,-473.625,473.875,0.0,False
51,203053,8,408,-481.125,481.375,0.0,False
52,207053,8,416,-500.0,500.0,0.0,False
53,210964,8,424,-488.625,488.875,0.0,False
54,214905,8,432,-492.5,492.625,0.0,False
55,218875,8,440,-496.0,496.25,0.0,False
56,222825,8,448,-493.625,493.75,0.0,False
57,226816,8,456,-498.75,498.875,0.0,False
58,230633,8,464,-476.875,477.125,0.0,False
59,234508,8,472,-484.25,484.375,0.0,False
60,238508,8,480,-500.0,500.0,0.0,False
61,242508,8,488,-500.0,500.0,0.0,False
62,246406,8,496,-487.125,487.25,0.0,False
63,250404,8,504,-499.625,499.75,0.0,False
64,254376,8,512,-496.375,496.5,0.0,False
65,258317,8,520,-492.375,492.625,0.0,False
66,262242,8,528,-490.375,490.625,0.0,False
67,266242,8,536,-500.0,500.0,0.0,False
68,270224,8,544,-497.625,497.75,0.0,False
69,274010,8,552,-473.0,473.25,0.0,False
70,277749,8,560,-467.125,467.375,0.0,False
71,281368,8,568,-452.0,452.375,0.0,False
72,285358,8,576,-498.625,498.75,0.0,False
73,289257,8,584,-487.25,487.375,0.0,False
74,292968,8,592,-463.5,463.875,0.0,False
75,296586,8,600,-451.75,452.25,0.0,False
76,300519,8,608,-491.375,491.625,0.0,False
77,304519,8,616,-500.0,500.0,0.0,False
78,308241,8,624,-464.875,465.25,0.0,False
79,312232,8,632,-498.75,498.875,0.0,False
80,316073,8,640,-479.75,480.125,0.0,False
81,319833,8,648,-469.625,470.0,0.0,False
82,323752,8,656,-489.625,489.875,0.0,False
83,327173,8,664,-427.0,427.625,0.0,False
84,330709,8,672,-441.375,442.0,0.0,False
85,334260,8,680,-443.375,443.875,0.0,False
86,337678,8,688,-426.5,427.25,0.0,False
87,341045,8,696,-420.25,420.875,0.0,False
88,344341,8,704,-411.0,412.0,0.0,False
89,347770,8,712,-428.125,428.625,0.0,False
90,350683,8,720,-363.125,364.125,0.0,False
91,353822,8,728,-391.625,392.375,0.0,False
92,357339,8,736,-439.0,439.625,0.0,False
93,360078,8,744,-341.5,342.375,0.0,False
94,362909,8,752,-352.875,353.875,0.0,False
95,365772,8,760,-357.125,357.875,0.0,False
96,368356,8,768,-322.0,323.0,0.0,False
97,370750,8,776,-298.25,299.25,0.0,False
98,373209,8,784,-306.5,307.375,0.0,False
99,375655,8,792,-304.75,305.75,0.0,False
100,377988,8,800,-290.625,291.625,0.0,False
101,379962,8,808,-245.75,246.75,0.0,False
102,381969,8,816,-249.875,250.875,0.0,False
103,384185,8,824,-276.0,277.0,0.0,False
104,386494,8,832,-287.625,288.625,0.0,False
105,388561,8,840,-257.375,258.375,0.0,False
106,390446,8,848,-234.625,235.625,0.0,False
107,392294,8,856,-230.0,231.0,0.0,False
108,394440,8,864,-267.25,268.25,0.0,False
109,396388,8,872,-242.5,243.5,0.0,False
110,398892,8,880,-312.25,313.0,0.0,False
111,400632,8,888,-216.5,217.5,0.0,False
112,402283,8,896,-205.375,206.375,0.0,False
113,404208,8,904,-239.75,240.625,0.0,False
114,406219,8,912,-250.375,251.375,0.0,False
115,408055,8,920,-228.5,229.5,0.0,False
116,409510,8,928,-180.875,181.875,0.0,False
117,411354,8,936,-229.5,230.5,0.0,False
118,413068,8,944,-213.375,214.25,0.0,False
119,414601,8,952,-190.625,191.625,0.0,False
120,416475,8,960,-233.375,234.25,0.0,False
121,417983,8,968,-187.5,188.5,0.0,False
122,419516,8,976,-190.625,191.625,0.0,False
123,421010,8,984,-185.75,186.75,0.0,False
124,422679,8,992,-207.625,208.625,0.0,False
125,424071,8,1000,-173.0,174.0,0.0,False
126,425863,8,1008,-223.0,224.0,0.0,False
127,427500,8,1016,-203.625,204.625,0.0,False
128,429358,8,1024,-231.25,232.25,0.0,False
129,430873,8,1032,-188.375,189.375,0.0,False
130,432241,8,1040,-170.0,171.0,0.0,False
131,433536,8,1048,-160.875,161.875,0.0,False
132,434779,8,1056,-154.375,155.375,0.0,False
133,436048,8,1064,-157.625,158.625,0.0,False
134,437308,8,1072,-156.5,157.5,0.0,False
135,438576,8,1080,-157.5,158.5,0.0,False
136,439815,8,1088,-153.875,154.875,0.0,False
137,441100,8,1096,-159.625,160.625,0.0,False
138,442678,8,1104,-196.375,197.25,0.0,False
139,443828,8,1112,-142.75,143.75,0.0,False
140,444976,8,1120,-142.5,143.5,0.0,False
141,446401,8,1128,-177.125,178.125,0.0,False
142,447659,8,1136,-156.25,157.25,0.0,False
143,449311,8,1144,-205.625,206.5,0.0,False
144,450614,8,1152,-161.875,162.875,0.0,False
145,451902,8,1160,-160.0,161.0,0.0,False
146,453216,8,1168,-163.25,164.25,0.0,False
147,454371,8,1176,-143.375,144.375,0.0,False
148,455506,8,1184,-140.875,141.875,0.0,False
149,456832,8,1192,-164.75,165.75,0.0,False
150,458079,8,1200,-154.875,155.875,0.0,False
151,459123,8,1208,-129.5,130.5,0.0,False
152,460317,8,1216,-148.25,149.25,0.0,False
153,461465,8,1224,-142.5,143.5,0.0,False
154,462602,8,1232,-141.125,142.125,0.0,False
155,463822,8,1240,-151.5,152.5,0.0,False
156,464925,8,1248,-136.875,137.875,0.0,False
157,466054,8,1256,-140.125,141.125,0.0,False
158,467067,8,1264,-125.625,126.625,0.0,False
159,468222,8,1272,-143.375,144.375,0.0,False
160,469304,8,1280,-134.25,135.25,0.0,False
161,470577,8,1288,-158.125,159.125,0.0,False
162,471670,8,1296,-135.625,136.625,0.0,False
163,472742,8,1304,-133.0,134.0,0.0,False
164,473828,8,1312,-134.75,135.75,0.0,False
165,474974,8,1320,-142.25,143.25,0.0,False
166,475986,8,1328,-125.5,126.5,0.0,False
167,477305,8,1336,-163.875,164.875,0.0,False
168,478786,8,1344,-184.125,185.125,0.0,False
169,479832,8,1352,-129.75,130.75,0.0,False
170,480893,8,1360,-131.625,132.625,0.0,False
171,481860,8,1368,-119.875,120.875,0.0,False
172,482762,8,1376,-111.75,112.75,0.0,False
173,483923,8,1384,-144.125,145.125,0.0,False
174,485027,8,1392,-137.0,138.0,0.0,False
175,486007,8,1400,-121.5,122.5,0.0,False
176,487057,8,1408,-130.25,131.25,0.0,False
177,488167,8,1416,-137.75,138.75,0.0,False
178,489233,8,1424,-132.25,133.25,0.0,False
179,490395,8,1432,-144.25,145.25,0.0,False
180,491306,8,1440,-112.875,113.875,0.0,False
181,492203,8,1448,-111.125,112.125,0.0,False
182,493137,8,1456,-115.75,116.75,0.0,False
183,494060,8,1464,-114.375,115.375,0.0,False
184,495141,8,1472,-134.125,135.125,0.0,False
185,496076,8,1480,-115.875,116.875,0.0,False
186,496920,8,1488,-104.5,105.5,0.0,False
187,497764,8,1496,-104.5,105.5,0.0,False
188,498740,8,1504,-121.0,122.0,0.0,False
189,499851,8,1512,-137.875,138.875,0.0,False
190,500852,8,1520,-124.125,125.125,0.0,False
191,501870,8,1528,-126.25,127.25,0.0,False
192,502733,8,1536,-106.875,107.875,0.0,False
193,503992,8,1544,-156.375,157.375,0.0,False
194,505204,8,1552,-150.5,151.5,0.0,False
195,506183,8,1560,-121.375,122.375,0.0,False
196,507041,8,1568,-106.25,107.25,0.0,False
197,507945,8,1576,-112.0,113.0,0.0,False
198,508924,8,1584,-121.375,122.375,0.0,False
199,509980,8,1592,-131.0,132.0,0.0,False
200,510931,8,1600,-117.875,118.875,0.0,False
201,511865,8,1608,-115.75,116.75,0.0,False
202,512952,8,1616,-134.875,135.875,0.0,False
203,513826,8,1624,-108.25,109.25,0.0,False
204,514752,8,1632,-114.75,115.75,0.0,False
205,515704,8,1640,-118.0,119.0,0.0,False
206,516582,8,1648,-108.75,109.75,0.0,False
207,517651,8,1656,-132.625,133.625,0.0,False
208,518574,8,1664,-114.375,115.375,0.0,False
209,519557,8,1672,-121.875,122.875,0.0,False
210,520397,8,1680,-104.0,105.0,0.0,False
211,521327,8,1688,-115.25,116.25,0.0,False
212,522206,8,1696,-108.875,109.875,0.0,False
213,523215,8,1704,-125.125,126.125,0.0,False
214,524076,8,1712,-106.625,107.625,0.0,False
215,524894,8,1720,-101.25,102.25,0.0,False
216,526052,8,1728,-143.75,144.75,0.0,False
217,526980,8,1736,-115.0,116.0,0.0,False
218,527887,8,1744,-112.375,113.375,0.0,False
219,528726,8,1752,-103.875,104.875,0.0,False
220,529585,8,1760,-106.375,107.375,0.0,False
221,530471,8,1768,-109.75,110.75,0.0,False
222,531294,8,1776,-101.875,102.875,0.0,False
223,532289,8,1784,-123.375,124.375,0.0,False
224,533165,8,1792,-108.5,109.5,0.0,False
225,534062,8,1800,-111.125,112.125,0.0,False
226,535037,8,1808,-120.875,121.875,0.0,False
227,535837,8,1816,-99.0,100.0,0.0,False
228,536750,8,1824,-113.125,114.125,0.0,False
229,537631,8,1832,-109.125,110.125,0.0,False
230,538538,8,1840,-112.375,113.375,0.0,False
231,539417,8,1848,-108.875,109.875,0.0,False
232,540342,8,1856,-114.625,115.625,0.0,False
233,541186,8,1864,-104.5,105.5,0.0,False
234,542484,8,1872,-161.25,162.25,0.0,False
235,543367,8,1880,-109.375,110.375,0.0,False
236,544240,8,1888,-108.125,109.125,0.0,False
237,545355,8,1896,-138.375,139.375,0.0,False
238,546229,8,1904,-108.25,109.25,0.0,False
239,547075,8,1912,-104.75,105.75,0.0,False
240,547925,8,1920,-105.25,106.25,0.0,False
241,549187,8,1928,-156.75,157.75,0.0,False
242,549999,8,1936,-100.5,101.5,0.0,False
243,551107,8,1944,-137.5,138.5,0.0,False
244,552215,8,1952,-137.5,138.5,0.0,False
245,553129,8,1960,-113.25,114.25,0.0,False
246,553951,8,1968,-101.75,102.75,0.0,False
247,554810,8,1976,-106.375,107.375,0.0,False
248,555661,8,1984,-105.375,106.375,0.0,False
249,556504,8,1992,-104.375,105.375,0.0,False
250,557322,8,2000,-101.25,102.25,0.0,False
251,558215,8,2008,-110.625,111.625,0.0,False
252,559013,8,2016,-98.75,99.75,0.0,False
253,559926,8,2024,-113.125,114.125,0.0,False
254,561255,8,2032,-165.25,166.125,0.0,False
255,562083,8,2040,-102.5,103.5,0.0,False
256,562865,8,2048,-96.75,97.75,0.0,False
257,563771,8,2056,-112.25,113.25,0.0,False
258,564596,8,2064,-102.125,103.125,0.0,False
259,565382,8,2072,-97.25,98.25,0.0,False
260,566303,8,2080,-114.125,115.125,0.0,False
261,567048,8,2088,-92.125,93.125,0.0,False
262,567833,8,2096,-97.125,98.125,0.0,False
263,568677,8,2104,-104.5,105.5,0.0,False
