environment,method,seed,update,environment_steps,deterministic_return,stochastic_return,deterministic_return_standard_deviation,stochastic_return_standard_deviation,episode_length,deterministic_termination_rate,stochastic_termination_rate,entropy,mean_min_probability,global_min_probability,barrier_value,beta,barrier_active
Acrobot-v1,gpomdp_reward_only,192,0,0,-500.0,-492.5,0.0,23.643863010610513,500.0,0.0,0.125,1.0838940143585205,0.26909732818603516,0.19062796235084534,-1.1134575605392456,0.0,False
Acrobot-v1,gpomdp_reward_only,192,50,25000,-500.0,-385.375,0.0,84.56978412587308,500.0,0.0,0.90625,1.0721797943115234,0.25723060965538025,0.1630091667175293,-1.12544584274292,0.0,False
Acrobot-v1,gpomdp_reward_only,192,100,50000,-500.0,-153.09375,0.0,68.42012502228066,500.0,0.0,0.96875,0.8899401426315308,0.13749933242797852,0.054386038333177567,-1.3403558731079102,0.0,False
Acrobot-v1,gpomdp_reward_only,192,150,75000,-96.3125,-109.8125,75.14306247891203,14.322185587402505,97.28125,0.96875,1.0,0.7367059588432312,0.09276694059371948,0.021713515743613243,-1.5761996507644653,0.0,False
Acrobot-v1,gpomdp_reward_only,192,200,100000,-141.03125,-107.5625,138.6412135286967,26.119992960528617,141.90625,0.875,1.0,0.634507417678833,0.06862828880548477,0.012904888018965721,-1.7767646312713623,0.0,False
Acrobot-v1,gpomdp_reward_only,192,250,125000,-85.90625,-98.625,27.13688048133139,25.427632924223055,86.90625,1.0,1.0,0.5489825010299683,0.05601508542895317,0.008456935174763203,-1.9432004690170288,0.0,False
Acrobot-v1,gpomdp_reward_only,192,300,150000,-80.46875,-95.4375,10.707200998664705,25.101005634654715,81.46875,1.0,1.0,0.4941774010658264,0.04774800315499306,0.005627467762678862,-2.092072010040283,0.0,False
Acrobot-v1,gpomdp_reward_only,192,350,175000,-89.96875,-93.90625,22.871992134345195,16.32603180555915,90.96875,1.0,1.0,0.44344639778137207,0.04215287044644356,0.004297842271625996,-2.2201168537139893,0.0,False
Acrobot-v1,gpomdp_reward_only,192,400,200000,-79.90625,-93.40625,10.129354897779093,27.404802233985762,80.90625,1.0,1.0,0.39975419640541077,0.03623335063457489,0.0033738799393177032,-2.3477096557617188,0.0,False
Acrobot-v1,gpomdp_reward_only,192,450,225000,-87.875,-96.3125,22.715278359900015,34.13298234656573,88.875,1.0,1.0,0.37787556648254395,0.0326264351606369,0.0027168444357812405,-2.4509150981903076,0.0,False
Acrobot-v1,gpomdp_reward_only,192,500,250000,-86.90625,-86.53125,14.765608198915173,12.533784988144333,87.90625,1.0,1.0,0.3631453812122345,0.03174513578414917,0.002327314577996731,-2.4859063625335693,0.0,False
Acrobot-v1,gpomdp_reward_only,192,550,275000,-86.0,-89.84375,16.959153965508023,27.762947429983004,87.0,1.0,1.0,0.32829806208610535,0.028093716129660606,0.0018557817675173283,-2.623322010040283,0.0,False
Acrobot-v1,gpomdp_reward_only,192,600,300000,-82.125,-91.90625,11.94273972998091,32.921567962306625,83.125,1.0,1.0,0.30185461044311523,0.025476397946476936,0.0014220402808859944,-2.751326322555542,0.0,False
Acrobot-v1,gpomdp_reward_only,192,650,325000,-82.71875,-91.53125,12.537001686620393,30.795877787614327,83.71875,1.0,1.0,0.29154127836227417,0.02333076298236847,0.0012837675167247653,-2.78536319732666,0.0,False
Acrobot-v1,gpomdp_reward_only,192,700,350000,-86.5625,-108.4375,17.429928839637835,62.705115035480986,87.5625,1.0,1.0,0.26480981707572937,0.02032022550702095,0.0010556202614679933,-2.9277687072753906,0.0,False
Acrobot-v1,gpomdp_reward_only,192,750,375000,-90.125,-89.5,27.6635896721374,39.203357328249986,91.125,1.0,1.0,0.28954997658729553,0.024338645860552788,0.0011273062555119395,-2.84139347076416,0.0,False
Acrobot-v1,gpomdp_reward_only,192,800,400000,-90.28125,-87.34375,30.263609974847306,23.379905039957272,91.28125,1.0,1.0,0.2662189304828644,0.02032608725130558,0.0009019288700073957,-2.9586565494537354,0.0,False
Acrobot-v1,gpomdp_reward_only,192,850,425000,-106.5,-89.40625,56.20010331754939,44.89044684275191,107.5,1.0,1.0,0.25173354148864746,0.019129104912281036,0.0007377940346486866,-3.055067777633667,0.0,False
Acrobot-v1,gpomdp_reward_only,192,900,450000,-85.4375,-86.90625,14.19663181316997,29.253463401240918,86.4375,1.0,1.0,0.258939653635025,0.020060844719409943,0.0006955526187084615,-3.0572257041931152,0.0,False
Acrobot-v1,gpomdp_reward_only,192,950,475000,-80.34375,-80.5625,9.233911466314908,13.131929814203291,81.34375,1.0,1.0,0.24320600926876068,0.020224638283252716,0.0005735778831876814,-3.137392044067383,0.0,False
Acrobot-v1,gpomdp_reward_only,192,1000,500000,-90.03125,-86.9375,35.310132307149274,35.60802510127321,91.03125,1.0,1.0,0.22168497741222382,0.017903512343764305,0.0005177136627025902,-3.2242367267608643,0.0,False
