update,environment_steps,batch_training_episodes,cumulative_training_episodes,training_return,training_episode_length,beta,barrier_active
1,4000,8,8,-500.0,500.0,0.0,False
2,8000,8,16,-500.0,500.0,0.0,False
3,12000,8,24,-500.0,500.0,0.0,False
4,16000,8,32,-500.0,500.0,0.0,False
5,20000,8,40,-500.0,500.0,0.0,False
6,24000,8,48,-500.0,500.0,0.0,False
7,28000,8,56,-500.0,500.0,0.0,False
8,31967,8,64,-495.75,495.875,0.0,False
9,35967,8,72,-500.0,500.0,0.0,False
10,39967,8,80,-500.0,500.0,0.0,False
11,43967,8,88,-500.0,500.0,0.0,False
12,47967,8,96,-500.0,500.0,0.0,False
13,51967,8,104,-500.0,500.0,0.0,False
14,55967,8,112,-500.0,500.0,0.0,False
15,59967,8,120,-500.0,500.0,0.0,False
16,63967,8,128,-500.0,500.0,0.0,False
17,67967,8,136,-500.0,500.0,0.0,False
18,71967,8,144,-500.0,500.0,0.0,False
19,75967,8,152,-500.0,500.0,0.0,False
20,79967,8,160,-500.0,500.0,0.0,False
21,83967,8,168,-500.0,500.0,0.0,False
22,87967,8,176,-500.0,500.0,0.0,False
23,91967,8,184,-500.0,500.0,0.0,False
24,95967,8,192,-500.0,500.0,0.0,False
25,99967,8,200,-500.0,500.0,0.0,False
26,103967,8,208,-500.0,500.0,0.0,False
27,107967,8,216,-500.0,500.0,0.0,False
28,111967,8,224,-500.0,500.0,0.0,False
29,115967,8,232,-500.0,500.0,0.0,False
30,119876,8,240,-488.5,488.625,0.0,False
31,123876,8,248,-500.0,500.0,0.0,False
32,127876,8,256,-500.0,500.0,0.0,False
33,131876,8,264,-500.0,500.0,0.0,False
34,135876,8,272,-500.0,500.0,0.0,False
35,139876,8,280,-500.0,500.0,0.0,False
36,143876,8,288,-500.0,500.0,0.0,False
37,147876,8,296,-500.0,500.0,0.0,False
38,151876,8,304,-500.0,500.0,0.0,False
39,155876,8,312,-500.0,500.0,0.0,False
40,159876,8,320,-500.0,500.0,0.0,False
41,163876,8,328,-500.0,500.0,0.0,False
42,167876,8,336,-500.0,500.0,0.0,False
43,171876,8,344,-500.0,500.0,0.0,False
44,175876,8,352,-500.0,500.0,0.0,False
45,179876,8,360,-500.0,500.0,0.0,False
46,183876,8,368,-500.0,500.0,0.0,False
47,187876,8,376,-500.0,500.0,0.0,False
48,191876,8,384,-500.0,500.0,0.0,False
49,195876,8,392,-500.0,500.0,0.0,False
50,199876,8,400,-500.0,500.0,0.0,False
51,203876,8,408,-500.0,500.0,0.0,False
52,207876,8,416,-500.0,500.0,0.0,False
53,211876,8,424,-500.0,500.0,0.0,False
54,215876,8,432,-500.0,500.0,0.0,False
55,219876,8,440,-500.0,500.0,0.0,False
56,223876,8,448,-500.0,500.0,0.0,False
57,227876,8,456,-500.0,500.0,0.0,False
58,231876,8,464,-500.0,500.0,0.0,False
59,235876,8,472,-500.0,500.0,0.0,False
60,239876,8,480,-500.0,500.0,0.0,False
61,243876,8,488,-500.0,500.0,0.0,False
62,247876,8,496,-500.0,500.0,0.0,False
63,251876,8,504,-500.0,500.0,0.0,False
64,255876,8,512,-500.0,500.0,0.0,False
65,259876,8,520,-500.0,500.0,0.0,False
66,263876,8,528,-500.0,500.0,0.0,False
67,267876,8,536,-500.0,500.0,0.0,False
68,271876,8,544,-500.0,500.0,0.0,False
69,275876,8,552,-500.0,500.0,0.0,False
70,279876,8,560,-500.0,500.0,0.0,False
71,283876,8,568,-500.0,500.0,0.0,False
72,287876,8,576,-500.0,500.0,0.0,False
73,291876,8,584,-500.0,500.0,0.0,False
74,295876,8,592,-500.0,500.0,0.0,False
75,299876,8,600,-500.0,500.0,0.0,False
76,303876,8,608,-500.0,500.0,0.0,False
77,307876,8,616,-500.0,500.0,0.0,False
78,311876,8,624,-500.0,500.0,0.0,False
79,315876,8,632,-500.0,500.0,0.0,False
80,319848,8,640,-496.375,496.5,0.0,False
81,323848,8,648,-500.0,500.0,0.0,False
82,327848,8,656,-500.0,500.0,0.0,False
83,331848,8,664,-500.0,500.0,0.0,False
84,335848,8,672,-500.0,500.0,0.0,False
85,339848,8,680,-500.0,500.0,0.0,False
86,343848,8,688,-500.0,500.0,0.0,False
87,347848,8,696,-500.0,500.0,0.0,False
88,351848,8,704,-500.0,500.0,0.0,False
89,355848,8,712,-500.0,500.0,0.0,False
90,359848,8,720,-500.0,500.0,0.0,False
91,363848,8,728,-500.0,500.0,0.0,False
92,367848,8,736,-500.0,500.0,0.0,False
93,371848,8,744,-500.0,500.0,0.0,False
94,375848,8,752,-500.0,500.0,0.0,False
95,379848,8,760,-500.0,500.0,0.0,False
96,383848,8,768,-500.0,500.0,0.0,False
97,387848,8,776,-500.0,500.0,0.0,False
98,391848,8,784,-500.0,500.0,0.0,False
99,395848,8,792,-500.0,500.0,0.0,False
100,399848,8,800,-500.0,500.0,0.0,False
101,403848,8,808,-500.0,500.0,0.0,False
102,407848,8,816,-500.0,500.0,0.0,False
103,411848,8,824,-500.0,500.0,0.0,False
104,415848,8,832,-500.0,500.0,0.0,False
105,419848,8,840,-500.0,500.0,0.0,False
106,423848,8,848,-500.0,500.0,0.0,False
107,427848,8,856,-500.0,500.0,0.0,False
108,431848,8,864,-500.0,500.0,0.0,False
109,435848,8,872,-500.0,500.0,0.0,False
110,439848,8,880,-500.0,500.0,0.0,False
111,443848,8,888,-500.0,500.0,0.0,False
112,447848,8,896,-500.0,500.0,0.0,False
113,451848,8,904,-500.0,500.0,0.0,False
114,455848,8,912,-500.0,500.0,0.0,False
115,459848,8,920,-500.0,500.0,0.0,False
116,463848,8,928,-500.0,500.0,0.0,False
117,467848,8,936,-500.0,500.0,0.0,False
118,471848,8,944,-500.0,500.0,0.0,False
119,475848,8,952,-500.0,500.0,0.0,False
120,479848,8,960,-500.0,500.0,0.0,False
121,483848,8,968,-500.0,500.0,0.0,False
122,487848,8,976,-500.0,500.0,0.0,False
123,491848,8,984,-500.0,500.0,0.0,False
124,495848,8,992,-500.0,500.0,0.0,False
125,499848,8,1000,-500.0,500.0,0.0,False
126,503848,8,1008,-500.0,500.0,0.0,False
127,507848,8,1016,-500.0,500.0,0.0,False
128,511848,8,1024,-500.0,500.0,0.0,False
129,515848,8,1032,-500.0,500.0,0.0,False
130,519848,8,1040,-500.0,500.0,0.0,False
131,523848,8,1048,-500.0,500.0,0.0,False
132,527848,8,1056,-500.0,500.0,0.0,False
133,531848,8,1064,-500.0,500.0,0.0,False
134,535848,8,1072,-500.0,500.0,0.0,False
135,539848,8,1080,-500.0,500.0,0.0,False
136,543848,8,1088,-500.0,500.0,0.0,False
137,547848,8,1096,-500.0,500.0,0.0,False
138,551848,8,1104,-500.0,500.0,0.0,False
139,555848,8,1112,-500.0,500.0,0.0,False
140,559848,8,1120,-500.0,500.0,0.0,False
141,563831,8,1128,-497.75,497.875,0.0,False
142,567831,8,1136,-500.0,500.0,0.0,False
143,571831,8,1144,-500.0,500.0,0.0,False
144,575831,8,1152,-500.0,500.0,0.0,False
145,579831,8,1160,-500.0,500.0,0.0,False
146,583831,8,1168,-500.0,500.0,0.0,False
147,587831,8,1176,-500.0,500.0,0.0,False
148,591831,8,1184,-500.0,500.0,0.0,False
149,595831,8,1192,-500.0,500.0,0.0,False
150,599831,8,1200,-500.0,500.0,0.0,False
151,603831,8,1208,-500.0,500.0,0.0,False
152,607831,8,1216,-500.0,500.0,0.0,False
153,611831,8,1224,-500.0,500.0,0.0,False
154,615831,8,1232,-500.0,500.0,0.0,False
155,619831,8,1240,-500.0,500.0,0.0,False
156,623742,8,1248,-488.75,488.875,0.0,False
157,627742,8,1256,-500.0,500.0,0.0,False
158,631742,8,1264,-500.0,500.0,0.0,False
159,635742,8,1272,-500.0,500.0,0.0,False
160,639742,8,1280,-500.0,500.0,0.0,False
161,643742,8,1288,-500.0,500.0,0.0,False
162,647742,8,1296,-500.0,500.0,0.0,False
163,651742,8,1304,-500.0,500.0,0.0,False
164,655742,8,1312,-500.0,500.0,0.0,False
165,659742,8,1320,-500.0,500.0,0.0,False
166,663742,8,1328,-500.0,500.0,0.0,False
167,667742,8,1336,-500.0,500.0,0.0,False
168,671742,8,1344,-500.0,500.0,0.0,False
169,675742,8,1352,-500.0,500.0,0.0,False
170,679742,8,1360,-500.0,500.0,0.0,False
171,683742,8,1368,-500.0,500.0,0.0,False
172,687742,8,1376,-500.0,500.0,0.0,False
173,691742,8,1384,-500.0,500.0,0.0,False
174,695742,8,1392,-500.0,500.0,0.0,False
175,699742,8,1400,-500.0,500.0,0.0,False
176,703742,8,1408,-500.0,500.0,0.0,False
177,707742,8,1416,-500.0,500.0,0.0,False
178,711742,8,1424,-500.0,500.0,0.0,False
179,715742,8,1432,-500.0,500.0,0.0,False
180,719742,8,1440,-500.0,500.0,0.0,False
181,723742,8,1448,-500.0,500.0,0.0,False
182,727742,8,1456,-500.0,500.0,0.0,False
183,731742,8,1464,-500.0,500.0,0.0,False
184,735742,8,1472,-500.0,500.0,0.0,False
185,739742,8,1480,-500.0,500.0,0.0,False
186,743742,8,1488,-500.0,500.0,0.0,False
187,747742,8,1496,-500.0,500.0,0.0,False
188,751742,8,1504,-500.0,500.0,0.0,False
189,755742,8,1512,-500.0,500.0,0.0,False
190,759742,8,1520,-500.0,500.0,0.0,False
191,763742,8,1528,-500.0,500.0,0.0,False
192,767742,8,1536,-500.0,500.0,0.0,False
193,771742,8,1544,-500.0,500.0,0.0,False
194,775742,8,1552,-500.0,500.0,0.0,False
195,779742,8,1560,-500.0,500.0,0.0,False
196,783742,8,1568,-500.0,500.0,0.0,False
197,787742,8,1576,-500.0,500.0,0.0,False
198,791742,8,1584,-500.0,500.0,0.0,False
199,795742,8,1592,-500.0,500.0,0.0,False
200,799742,8,1600,-500.0,500.0,0.0,False
201,803742,8,1608,-500.0,500.0,0.0,False
202,807742,8,1616,-500.0,500.0,0.0,False
203,811742,8,1624,-500.0,500.0,0.0,False
204,815742,8,1632,-500.0,500.0,0.0,False
205,819742,8,1640,-500.0,500.0,0.0,False
206,823742,8,1648,-500.0,500.0,0.0,False
207,827742,8,1656,-500.0,500.0,0.0,False
208,831742,8,1664,-500.0,500.0,0.0,False
209,835742,8,1672,-500.0,500.0,0.0,False
210,839742,8,1680,-500.0,500.0,0.0,False
211,843742,8,1688,-500.0,500.0,0.0,False
212,847742,8,1696,-500.0,500.0,0.0,False
213,851742,8,1704,-500.0,500.0,0.0,False
214,855742,8,1712,-500.0,500.0,0.0,False
215,859742,8,1720,-500.0,500.0,0.0,False
216,863742,8,1728,-500.0,500.0,0.0,False
217,867742,8,1736,-500.0,500.0,0.0,False
218,871742,8,1744,-500.0,500.0,0.0,False
219,875742,8,1752,-500.0,500.0,0.0,False
220,879742,8,1760,-500.0,500.0,0.0,False
221,883742,8,1768,-500.0,500.0,0.0,False
222,887742,8,1776,-500.0,500.0,0.0,False
223,891742,8,1784,-500.0,500.0,0.0,False
224,895742,8,1792,-500.0,500.0,0.0,False
225,899742,8,1800,-500.0,500.0,0.0,False
226,903742,8,1808,-500.0,500.0,0.0,False
227,907742,8,1816,-500.0,500.0,0.0,False
228,911742,8,1824,-500.0,500.0,0.0,False
229,915742,8,1832,-500.0,500.0,0.0,False
230,919742,8,1840,-500.0,500.0,0.0,False
231,923742,8,1848,-500.0,500.0,0.0,False
232,927742,8,1856,-500.0,500.0,0.0,False
233,931742,8,1864,-500.0,500.0,0.0,False
234,935742,8,1872,-500.0,500.0,0.0,False
235,939742,8,1880,-500.0,500.0,0.0,False
236,943742,8,1888,-500.0,500.0,0.0,False
237,947742,8,1896,-500.0,500.0,0.0,False
238,951742,8,1904,-500.0,500.0,0.0,False
239,955742,8,1912,-500.0,500.0,0.0,False
240,959742,8,1920,-500.0,500.0,0.0,False
241,963742,8,1928,-500.0,500.0,0.0,False
242,967742,8,1936,-500.0,500.0,0.0,False
243,971742,8,1944,-500.0,500.0,0.0,False
244,975742,8,1952,-500.0,500.0,0.0,False
245,979742,8,1960,-500.0,500.0,0.0,False
246,983742,8,1968,-500.0,500.0,0.0,False
247,987742,8,1976,-500.0,500.0,0.0,False
248,991742,8,1984,-500.0,500.0,0.0,False
249,995742,8,1992,-500.0,500.0,0.0,False
250,999742,8,2000,-500.0,500.0,0.0,False
251,1003742,8,2008,-500.0,500.0,0.0,False
252,1007742,8,2016,-500.0,500.0,0.0,False
253,1011742,8,2024,-500.0,500.0,0.0,False
254,1015742,8,2032,-500.0,500.0,0.0,False
255,1019742,8,2040,-500.0,500.0,0.0,False
256,1023742,8,2048,-500.0,500.0,0.0,False
257,1027742,8,2056,-500.0,500.0,0.0,False
258,1031742,8,2064,-500.0,500.0,0.0,False
259,1035742,8,2072,-500.0,500.0,0.0,False
260,1039742,8,2080,-500.0,500.0,0.0,False
261,1043742,8,2088,-500.0,500.0,0.0,False
262,1047742,8,2096,-500.0,500.0,0.0,False
263,1051742,8,2104,-500.0,500.0,0.0,False
