seed,learning_rate,finite,actual_optimizer_updates,actual_training_episodes,environment_steps,initial_stochastic_return,final_stochastic_return,stochastic_improvement,final_deterministic_return,final_stochastic_termination_rate,stochastic_return_auc
191,0.0001,True,300,2400,1199508,-500.0,-500.0,0.0,-500.0,0.0,-500.0
192,0.0001,True,300,2400,1181532,-492.5,-475.34375,17.15625,-500.0,0.25,-486.8098958333333
191,0.0003,True,300,2400,1199651,-500.0,-500.0,0.0,-500.0,0.0,-499.71875
192,0.0003,True,300,2400,1087259,-492.5,-370.375,122.125,-188.78125,0.84375,-454.9791666666667
191,0.001,True,300,2400,1199582,-500.0,-500.0,0.0,-500.0,0.0,-500.0
192,0.001,True,300,2400,657628,-492.5,-128.0625,364.4375,-100.875,1.0,-273.7552083333333
191,0.003,True,300,2400,600788,-500.0,-104.5625,395.4375,-81.25,1.0,-245.18229166666666
192,0.003,True,300,2400,459928,-492.5,-95.4375,397.0625,-80.46875,1.0,-191.40625
191,0.01,True,300,2400,1199856,-500.0,-500.0,0.0,-500.0,0.0,-500.0
192,0.01,True,300,2400,354013,-492.5,-91.0625,401.4375,-80.21875,1.0,-147.52604166666666
