seed,run_label,update,true_environment_steps,stochastic_return,deterministic_return,deterministic_episode_length,entropy,mean_min_probability,global_min_probability,reward_gradient_norm,barrier_gradient_norm,regularizer_gradient_norm,beta,on_policy_numerical_rank,on_policy_trace,on_policy_smallest_positive_eigenvalue,on_policy_largest_eigenvalue,on_policy_entropy_effective_rank,on_policy_log_pseudodeterminant,on_policy_positive_spectrum_condition_number,fixed_reference_numerical_rank,fixed_reference_trace,fixed_reference_smallest_positive_eigenvalue,fixed_reference_largest_eigenvalue,fixed_reference_entropy_effective_rank,fixed_reference_log_pseudodeterminant,fixed_reference_positive_spectrum_condition_number
512,logbarrier_fixed,0,0,-499.625,-287.21875,288.09375,1.0678863525390625,0.22138117253780365,0.20337799191474915,238.6439208984375,0.2116399109363556,115.64289093017578,546.4135158976487,53,1.8594477214571126,1.382378810653184e-10,1.1195170035636852,2.1007851675486573,-813.7353621805909,8098482087.082232,146,2.0196117167908376,2.6016212395233586e-10,0.9213897022778813,4.334477845270441,-1854.2961627497275,3541598170.711001
512,logbarrier_fixed,50,199833,-500.0,-500.0,500.0,1.0935214757919312,0.29484057426452637,0.26729071140289307,257.99298095703125,0.085695281624794,46.82506561279297,546.4135158976487,57,1.9947910127065265,1.4052041490328856e-10,1.0514512772590594,2.1506765541146327,-880.6479154425358,7482551755.790842,146,2.150894332905487,8.156117102860469e-10,0.871090554812467,4.5240742383762305,-1818.394252075056,1068021147.596033
512,logbarrier_fixed,100,399773,-500.0,-500.0,500.0,1.0973999500274658,0.3189985454082489,0.25875210762023926,350.77655029296875,0.028876526281237602,15.778520584106445,546.4135158976487,54,2.1098635799472207,1.4616993003666723e-10,1.051917529319321,2.1357586393703003,-837.8399835190482,7196538501.834433,146,2.230242877172869,2.8488460478546176e-10,0.8713110412414432,4.50575557762293,-1817.0106430415826,3058470084.3964596
512,logbarrier_fixed,150,599558,-498.03125,-500.0,500.0,1.0944838523864746,0.2993015646934509,0.24882780015468597,323.5434265136719,0.07362092286348343,40.22747039794922,546.4135158976487,53,2.2047487994770725,1.351176694309118e-10,1.181143292657436,2.0951900474142127,-822.9840043731043,8741590183.076513,146,2.3071025604491244,3.9067362596771774e-10,0.9482392917906871,4.445388653499004,-1806.2328625177431,2427190444.3046336
512,logbarrier_fixed,200,790975,-454.71875,-212.75,213.6875,1.0867265462875366,0.27469462156295776,0.18144948780536652,437.6055603027344,0.09221821278333664,50.389278411865234,546.4135158976487,59,2.0946470644341724,1.1132607030287869e-10,1.0894956544990855,2.1843461859274647,-916.6758885098476,9786527554.012774,146,2.2174342473109805,2.932057510184275e-10,0.8643896473897724,4.69592762717657,-1798.880311617681,2948065119.416593
512,logbarrier_fixed,250,933634,-245.59375,-103.96875,104.96875,1.0401558876037598,0.22029434144496918,0.1208052858710289,214.77102661132812,0.288758248090744,157.7814178466797,546.4135158976487,62,2.175169377461442,1.4639105789312664e-10,1.1912080809207914,2.2819398894408054,-933.1264095190354,8137164237.110969,146,2.3491979417667954,1.1738196013036214e-09,0.7898192343416959,5.536262129196516,-1726.7245831025602,672862536.5128832
512,logbarrier_fixed,300,1033174,-229.4375,-89.8125,90.8125,1.0441688299179077,0.22997048497200012,0.1325245350599289,228.09576416015625,0.23680250346660614,129.39207458496094,546.4135158976487,63,2.1924449845408196,1.2922989427990317e-10,1.2634383917058138,2.245970574136374,-952.1551579521677,9776672794.990393,146,2.3345491666315605,1.0419355382063197e-10,0.840552941751584,5.45115609271529,-1744.0630038356987,8067225955.250422
512,logbarrier_fixed,350,1128439,-241.84375,-99.25,100.21875,1.0336060523986816,0.2208690345287323,0.12452457845211029,184.88714599609375,0.2597166895866394,141.9127197265625,546.4135158976487,63,2.249639853820747,1.5401148728207676e-10,1.3217995431039082,2.246329963907006,-953.9268915232215,8582473726.021435,145,2.4413887648019585,2.823366403047951e-10,0.9008225859284557,5.572860565349348,-1695.9759201053143,3190597525.5495605
512,logbarrier_fixed,400,1227831,-258.65625,-88.78125,89.78125,1.0488148927688599,0.23480011522769928,0.12956273555755615,259.04669189453125,0.22534893453121185,123.1336898803711,546.4135158976487,68,2.1192947848372805,1.2769194006594926e-10,1.1996755740440452,2.32131885536127,-1032.1798566053185,9395076724.68949,146,2.3584145582004306,1.1488926747265122e-10,0.8327681679135873,5.688465163826124,-1709.0574821169773,7248441792.9796915
512,logbarrier_fixed,450,1325016,-227.96875,-81.875,82.875,1.0379835367202759,0.22672483325004578,0.12619620561599731,224.1712188720703,0.24895690381526947,136.03341674804688,546.4135158976487,62,2.1188969140692797,1.3856086348367543e-10,1.2442872355464836,2.2013923174484713,-945.7140274877048,8980077088.600704,145,2.3928211372383332,1.0531791173345047e-10,0.8414734777601289,5.784993232885712,-1686.0612878499546,7989842030.763177
512,logbarrier_fixed,500,1421497,-260.84375,-83.0625,84.0625,1.0539560317993164,0.24247589707374573,0.1476501226425171,439.7242736816406,0.20640718936920166,112.78367614746094,546.4135158976487,71,2.1264617070394496,1.4020959263622312e-10,1.2147849818269678,2.3621700481008077,-1083.5050110989102,8664064697.618473,146,2.3971034844746826,2.106637276578868e-10,0.8871587978105314,5.585734749658297,-1711.8920746923293,4211255576.2388177
512,logbarrier_fixed,550,1522390,-260.28125,-138.875,139.75,1.0545405149459839,0.24446208775043488,0.1427871584892273,384.884765625,0.2507331371307373,137.00399780273438,546.4135158976487,61,2.0897935392903126,1.7691411179393657e-10,1.241301853382119,2.2019720719893066,-921.6879384843005,7016409492.691823,141,2.4224886188963057,1.0597834276395748e-10,0.9198021814569846,5.547488826938998,-1632.8844961797254,8679152338.753149
512,logbarrier_fixed,600,1612581,-230.53125,-78.71875,79.71875,1.0437626838684082,0.23076678812503815,0.13621242344379425,192.61639404296875,0.22298063337802887,121.8396224975586,546.4135158976487,61,2.0591865763844597,1.2685751726676944e-10,1.1945786685811726,2.2159100747901013,-937.5886373214682,9416695946.122656,144,2.411825584957443,1.1246243501217494e-10,0.8644323378752217,5.664517836897037,-1680.3726493806298,7686409580.066802
512,logbarrier_fixed,650,1714320,-282.28125,-107.40625,108.34375,1.0617728233337402,0.2532995343208313,0.15208350121974945,308.0867004394531,0.19063426554203033,104.16514587402344,546.4135158976487,59,2.0344795847045454,1.2083939227197702e-10,1.1927458440179766,2.1638276288971734,-901.3814401684847,9870505152.272083,145,2.333080745220813,4.0403754087815607e-10,0.9026497031046132,5.347560978766926,-1716.2880259768253,2234073846.560762
