environment,method,seed,update,environment_steps,deterministic_return,stochastic_return,deterministic_return_standard_deviation,stochastic_return_standard_deviation,episode_length,deterministic_termination_rate,stochastic_termination_rate,entropy,mean_min_probability,global_min_probability,barrier_value,beta,barrier_active
Acrobot-v1,gpomdp_logbarrier_fixed,512,0,0,-287.21875,-499.625,90.3601162285591,2.1213203435596424,288.09375,0.875,0.03125,1.0678863525390625,0.22138117253780365,0.20337799191474915,-1.1319962739944458,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,512,50,199833,-500.0,-500.0,0.0,0.0,500.0,0.0,0.0,1.0935214757919312,0.29484057426452637,0.26729071140289307,-1.1037129163742065,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,512,100,399773,-500.0,-500.0,0.0,0.0,500.0,0.0,0.0,1.0973999500274658,0.3189985454082489,0.25875210762023926,-1.0998135805130005,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,512,150,599558,-500.0,-498.03125,0.0,11.136931803688123,500.0,0.0,0.03125,1.0944838523864746,0.2993015646934509,0.24882780015468597,-1.1027408838272095,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,512,200,790975,-212.75,-454.71875,93.0223698382415,72.75776618562847,213.6875,0.9375,0.5,1.0867265462875366,0.27469462156295776,0.18144948780536652,-1.1111124753952026,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,512,250,933634,-103.96875,-245.59375,38.37210375747196,64.03217909518166,104.96875,1.0,1.0,1.0401558876037598,0.22029434144496918,0.1208052858710289,-1.161388874053955,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,512,300,1033174,-89.8125,-229.4375,31.99741673040739,45.92275246050031,90.8125,1.0,1.0,1.0441688299179077,0.22997048497200012,0.1325245350599289,-1.1545246839523315,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,512,350,1128439,-99.25,-241.84375,76.19118567257992,72.53880357569697,100.21875,0.96875,0.96875,1.0336060523986816,0.2208690345287323,0.12452457845211029,-1.1653528213500977,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,512,400,1227831,-88.78125,-258.65625,26.499828818680225,81.72282398251677,89.78125,1.0,0.96875,1.0488148927688599,0.23480011522769928,0.12956273555755615,-1.149590015411377,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,512,450,1325016,-81.875,-227.96875,6.800142313501311,48.27707956463732,82.875,1.0,1.0,1.0379835367202759,0.22672483325004578,0.12619620561599731,-1.160431146621704,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,512,500,1421497,-83.0625,-260.84375,10.182012919691969,58.65487322657689,84.0625,1.0,1.0,1.0539560317993164,0.24247589707374573,0.1476501226425171,-1.1433353424072266,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,512,550,1522390,-138.875,-260.28125,139.78964611619247,72.40488059427325,139.75,0.875,0.96875,1.0545405149459839,0.24446208775043488,0.1427871584892273,-1.1431318521499634,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,512,600,1612581,-78.71875,-230.53125,6.32064908365507,43.46447149406127,79.71875,1.0,1.0,1.0437626838684082,0.23076678812503815,0.13621242344379425,-1.1555379629135132,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,512,650,1714320,-107.40625,-282.28125,103.4114423615217,63.72482899659411,108.34375,0.9375,1.0,1.0617728233337402,0.2532995343208313,0.15208350121974945,-1.135560393333435,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,512,700,1806276,-85.6875,-239.8125,13.662846961624586,70.26467818185749,86.6875,1.0,0.96875,1.0419657230377197,0.2310597449541092,0.1135314479470253,-1.1573585271835327,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,512,750,1901799,-90.09375,-219.96875,18.460698227105553,45.96877227198425,91.09375,1.0,1.0,1.0455161333084106,0.22686196863651276,0.11906654387712479,-1.1548606157302856,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,512,800,1991303,-90.125,-241.21875,20.394100981379633,52.23071298606078,91.125,1.0,1.0,1.0479068756103516,0.23763293027877808,0.12821318209171295,-1.1505956649780273,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,512,850,2086366,-83.6875,-242.125,20.414159380826987,44.17907109232431,84.6875,1.0,1.0,1.0436031818389893,0.22997546195983887,0.1179429292678833,-1.1560771465301514,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,512,900,2178900,-130.9375,-234.1875,110.37324871660734,55.45613640090814,131.875,0.9375,1.0,1.0408084392547607,0.22858521342277527,0.11707030236721039,-1.1586012840270996,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,512,950,2274506,-78.34375,-219.1875,9.969661640487427,50.02414739483968,79.34375,1.0,1.0,1.0327309370040894,0.22358839213848114,0.09739641100168228,-1.1679545640945435,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,512,1000,2370570,-84.3125,-247.15625,17.478904335632528,45.86664356518236,85.3125,1.0,1.0,1.052515983581543,0.24013133347034454,0.11970261484384537,-1.1461224555969238,546.4135158976487,True
