update,environment_steps,batch_training_episodes,cumulative_training_episodes,training_return,training_episode_length,beta,barrier_active
1,4000,8,8,-500.0,500.0,546.4135158976487,True
2,8000,8,16,-500.0,500.0,546.4135158976487,True
3,12000,8,24,-500.0,500.0,546.4135158976487,True
4,16000,8,32,-500.0,500.0,546.4135158976487,True
5,20000,8,40,-500.0,500.0,546.4135158976487,True
6,24000,8,48,-500.0,500.0,546.4135158976487,True
7,28000,8,56,-500.0,500.0,546.4135158976487,True
8,32000,8,64,-500.0,500.0,546.4135158976487,True
9,36000,8,72,-500.0,500.0,546.4135158976487,True
10,40000,8,80,-500.0,500.0,546.4135158976487,True
11,44000,8,88,-500.0,500.0,546.4135158976487,True
12,48000,8,96,-500.0,500.0,546.4135158976487,True
13,52000,8,104,-500.0,500.0,546.4135158976487,True
14,56000,8,112,-500.0,500.0,546.4135158976487,True
15,60000,8,120,-500.0,500.0,546.4135158976487,True
16,64000,8,128,-500.0,500.0,546.4135158976487,True
17,68000,8,136,-500.0,500.0,546.4135158976487,True
18,72000,8,144,-500.0,500.0,546.4135158976487,True
19,76000,8,152,-500.0,500.0,546.4135158976487,True
20,80000,8,160,-500.0,500.0,546.4135158976487,True
21,84000,8,168,-500.0,500.0,546.4135158976487,True
22,88000,8,176,-500.0,500.0,546.4135158976487,True
23,92000,8,184,-500.0,500.0,546.4135158976487,True
24,96000,8,192,-500.0,500.0,546.4135158976487,True
25,100000,8,200,-500.0,500.0,546.4135158976487,True
26,104000,8,208,-500.0,500.0,546.4135158976487,True
27,107951,8,216,-493.75,493.875,546.4135158976487,True
28,111951,8,224,-500.0,500.0,546.4135158976487,True
29,115951,8,232,-500.0,500.0,546.4135158976487,True
30,119951,8,240,-500.0,500.0,546.4135158976487,True
31,123951,8,248,-500.0,500.0,546.4135158976487,True
32,127951,8,256,-500.0,500.0,546.4135158976487,True
33,131951,8,264,-500.0,500.0,546.4135158976487,True
34,135951,8,272,-500.0,500.0,546.4135158976487,True
35,139951,8,280,-500.0,500.0,546.4135158976487,True
36,143951,8,288,-500.0,500.0,546.4135158976487,True
37,147951,8,296,-500.0,500.0,546.4135158976487,True
38,151951,8,304,-500.0,500.0,546.4135158976487,True
39,155951,8,312,-500.0,500.0,546.4135158976487,True
40,159951,8,320,-500.0,500.0,546.4135158976487,True
41,163951,8,328,-500.0,500.0,546.4135158976487,True
42,167951,8,336,-500.0,500.0,546.4135158976487,True
43,171951,8,344,-500.0,500.0,546.4135158976487,True
44,175951,8,352,-500.0,500.0,546.4135158976487,True
45,179951,8,360,-500.0,500.0,546.4135158976487,True
46,183951,8,368,-500.0,500.0,546.4135158976487,True
47,187951,8,376,-500.0,500.0,546.4135158976487,True
48,191833,8,384,-485.125,485.25,546.4135158976487,True
49,195833,8,392,-500.0,500.0,546.4135158976487,True
50,199833,8,400,-500.0,500.0,546.4135158976487,True
51,203833,8,408,-500.0,500.0,546.4135158976487,True
52,207833,8,416,-500.0,500.0,546.4135158976487,True
53,211833,8,424,-500.0,500.0,546.4135158976487,True
54,215833,8,432,-500.0,500.0,546.4135158976487,True
55,219833,8,440,-500.0,500.0,546.4135158976487,True
56,223833,8,448,-500.0,500.0,546.4135158976487,True
57,227833,8,456,-500.0,500.0,546.4135158976487,True
58,231833,8,464,-500.0,500.0,546.4135158976487,True
59,235833,8,472,-500.0,500.0,546.4135158976487,True
60,239833,8,480,-500.0,500.0,546.4135158976487,True
61,243833,8,488,-500.0,500.0,546.4135158976487,True
62,247833,8,496,-500.0,500.0,546.4135158976487,True
63,251833,8,504,-500.0,500.0,546.4135158976487,True
64,255833,8,512,-500.0,500.0,546.4135158976487,True
65,259833,8,520,-500.0,500.0,546.4135158976487,True
66,263833,8,528,-500.0,500.0,546.4135158976487,True
67,267833,8,536,-500.0,500.0,546.4135158976487,True
68,271833,8,544,-500.0,500.0,546.4135158976487,True
69,275833,8,552,-500.0,500.0,546.4135158976487,True
70,279833,8,560,-500.0,500.0,546.4135158976487,True
71,283833,8,568,-500.0,500.0,546.4135158976487,True
72,287833,8,576,-500.0,500.0,546.4135158976487,True
73,291833,8,584,-500.0,500.0,546.4135158976487,True
74,295833,8,592,-500.0,500.0,546.4135158976487,True
75,299833,8,600,-500.0,500.0,546.4135158976487,True
76,303833,8,608,-500.0,500.0,546.4135158976487,True
77,307833,8,616,-500.0,500.0,546.4135158976487,True
78,311833,8,624,-500.0,500.0,546.4135158976487,True
79,315833,8,632,-500.0,500.0,546.4135158976487,True
80,319773,8,640,-492.375,492.5,546.4135158976487,True
81,323773,8,648,-500.0,500.0,546.4135158976487,True
82,327773,8,656,-500.0,500.0,546.4135158976487,True
83,331773,8,664,-500.0,500.0,546.4135158976487,True
84,335773,8,672,-500.0,500.0,546.4135158976487,True
85,339773,8,680,-500.0,500.0,546.4135158976487,True
86,343773,8,688,-500.0,500.0,546.4135158976487,True
87,347773,8,696,-500.0,500.0,546.4135158976487,True
88,351773,8,704,-500.0,500.0,546.4135158976487,True
89,355773,8,712,-500.0,500.0,546.4135158976487,True
90,359773,8,720,-500.0,500.0,546.4135158976487,True
91,363773,8,728,-500.0,500.0,546.4135158976487,True
92,367773,8,736,-500.0,500.0,546.4135158976487,True
93,371773,8,744,-500.0,500.0,546.4135158976487,True
94,375773,8,752,-500.0,500.0,546.4135158976487,True
95,379773,8,760,-500.0,500.0,546.4135158976487,True
96,383773,8,768,-500.0,500.0,546.4135158976487,True
97,387773,8,776,-500.0,500.0,546.4135158976487,True
98,391773,8,784,-500.0,500.0,546.4135158976487,True
99,395773,8,792,-500.0,500.0,546.4135158976487,True
100,399773,8,800,-500.0,500.0,546.4135158976487,True
101,403741,8,808,-495.875,496.0,546.4135158976487,True
102,407741,8,816,-500.0,500.0,546.4135158976487,True
103,411741,8,824,-500.0,500.0,546.4135158976487,True
104,415741,8,832,-500.0,500.0,546.4135158976487,True
105,419741,8,840,-500.0,500.0,546.4135158976487,True
106,423741,8,848,-500.0,500.0,546.4135158976487,True
107,427741,8,856,-500.0,500.0,546.4135158976487,True
108,431741,8,864,-500.0,500.0,546.4135158976487,True
109,435741,8,872,-500.0,500.0,546.4135158976487,True
110,439741,8,880,-500.0,500.0,546.4135158976487,True
111,443741,8,888,-500.0,500.0,546.4135158976487,True
112,447741,8,896,-500.0,500.0,546.4135158976487,True
113,451741,8,904,-500.0,500.0,546.4135158976487,True
114,455741,8,912,-500.0,500.0,546.4135158976487,True
115,459741,8,920,-500.0,500.0,546.4135158976487,True
116,463741,8,928,-500.0,500.0,546.4135158976487,True
117,467741,8,936,-500.0,500.0,546.4135158976487,True
118,471741,8,944,-500.0,500.0,546.4135158976487,True
119,475741,8,952,-500.0,500.0,546.4135158976487,True
120,479741,8,960,-500.0,500.0,546.4135158976487,True
121,483741,8,968,-500.0,500.0,546.4135158976487,True
122,487741,8,976,-500.0,500.0,546.4135158976487,True
123,491741,8,984,-500.0,500.0,546.4135158976487,True
124,495741,8,992,-500.0,500.0,546.4135158976487,True
125,499741,8,1000,-500.0,500.0,546.4135158976487,True
126,503695,8,1008,-494.125,494.25,546.4135158976487,True
127,507695,8,1016,-500.0,500.0,546.4135158976487,True
