update,environment_steps,batch_training_episodes,cumulative_training_episodes,training_return,training_episode_length,beta,barrier_active
1,3841,8,8,-480.0,480.125,0.0,False
2,7762,8,16,-490.0,490.125,0.0,False
3,11762,8,24,-500.0,500.0,0.0,False
4,15762,8,32,-500.0,500.0,0.0,False
5,19675,8,40,-489.0,489.125,0.0,False
6,23675,8,48,-500.0,500.0,0.0,False
7,27528,8,56,-481.5,481.625,0.0,False
8,31528,8,64,-500.0,500.0,0.0,False
9,35528,8,72,-500.0,500.0,0.0,False
10,39528,8,80,-500.0,500.0,0.0,False
11,43528,8,88,-500.0,500.0,0.0,False
12,47528,8,96,-500.0,500.0,0.0,False
13,51528,8,104,-500.0,500.0,0.0,False
14,55528,8,112,-500.0,500.0,0.0,False
15,59528,8,120,-500.0,500.0,0.0,False
16,63510,8,128,-497.625,497.75,0.0,False
17,67498,8,136,-498.375,498.5,0.0,False
18,71456,8,144,-494.625,494.75,0.0,False
19,75456,8,152,-500.0,500.0,0.0,False
20,79456,8,160,-500.0,500.0,0.0,False
21,83456,8,168,-500.0,500.0,0.0,False
22,87456,8,176,-500.0,500.0,0.0,False
23,91350,8,184,-486.625,486.75,0.0,False
24,95316,8,192,-495.625,495.75,0.0,False
25,99316,8,200,-500.0,500.0,0.0,False
26,103307,8,208,-498.75,498.875,0.0,False
27,107307,8,216,-500.0,500.0,0.0,False
28,111307,8,224,-500.0,500.0,0.0,False
29,115268,8,232,-495.0,495.125,0.0,False
30,119268,8,240,-500.0,500.0,0.0,False
31,123179,8,248,-488.75,488.875,0.0,False
32,127179,8,256,-500.0,500.0,0.0,False
33,131179,8,264,-500.0,500.0,0.0,False
34,135179,8,272,-500.0,500.0,0.0,False
35,139105,8,280,-490.625,490.75,0.0,False
36,143000,8,288,-486.75,486.875,0.0,False
37,147000,8,296,-500.0,500.0,0.0,False
38,150995,8,304,-499.25,499.375,0.0,False
39,154995,8,312,-500.0,500.0,0.0,False
40,158995,8,320,-500.0,500.0,0.0,False
41,162995,8,328,-500.0,500.0,0.0,False
42,166995,8,336,-500.0,500.0,0.0,False
43,170995,8,344,-500.0,500.0,0.0,False
44,174993,8,352,-499.625,499.75,0.0,False
45,178993,8,360,-500.0,500.0,0.0,False
46,182993,8,368,-500.0,500.0,0.0,False
47,186993,8,376,-500.0,500.0,0.0,False
48,190892,8,384,-487.25,487.375,0.0,False
49,194892,8,392,-500.0,500.0,0.0,False
50,198892,8,400,-500.0,500.0,0.0,False
51,202892,8,408,-500.0,500.0,0.0,False
52,206892,8,416,-500.0,500.0,0.0,False
53,210892,8,424,-500.0,500.0,0.0,False
54,214892,8,432,-500.0,500.0,0.0,False
55,218892,8,440,-500.0,500.0,0.0,False
56,222892,8,448,-500.0,500.0,0.0,False
57,226892,8,456,-500.0,500.0,0.0,False
58,230892,8,464,-500.0,500.0,0.0,False
59,234892,8,472,-500.0,500.0,0.0,False
60,238875,8,480,-497.75,497.875,0.0,False
61,242750,8,488,-484.25,484.375,0.0,False
62,246750,8,496,-500.0,500.0,0.0,False
63,250726,8,504,-496.875,497.0,0.0,False
64,254726,8,512,-500.0,500.0,0.0,False
65,258569,8,520,-480.25,480.375,0.0,False
66,262423,8,528,-481.5,481.75,0.0,False
67,266423,8,536,-500.0,500.0,0.0,False
68,270317,8,544,-486.625,486.75,0.0,False
69,274306,8,552,-498.5,498.625,0.0,False
70,278249,8,560,-492.75,492.875,0.0,False
71,282169,8,568,-489.75,490.0,0.0,False
72,286169,8,576,-500.0,500.0,0.0,False
73,290169,8,584,-500.0,500.0,0.0,False
74,294169,8,592,-500.0,500.0,0.0,False
75,298161,8,600,-498.875,499.0,0.0,False
76,302114,8,608,-494.0,494.125,0.0,False
77,306114,8,616,-500.0,500.0,0.0,False
78,310114,8,624,-500.0,500.0,0.0,False
79,314075,8,632,-494.875,495.125,0.0,False
80,318058,8,640,-497.75,497.875,0.0,False
81,322058,8,648,-500.0,500.0,0.0,False
82,326058,8,656,-500.0,500.0,0.0,False
83,330058,8,664,-500.0,500.0,0.0,False
84,334058,8,672,-500.0,500.0,0.0,False
85,337966,8,680,-488.375,488.5,0.0,False
86,341966,8,688,-500.0,500.0,0.0,False
87,345966,8,696,-500.0,500.0,0.0,False
88,349966,8,704,-500.0,500.0,0.0,False
89,353966,8,712,-500.0,500.0,0.0,False
90,357966,8,720,-500.0,500.0,0.0,False
91,361961,8,728,-499.25,499.375,0.0,False
92,365961,8,736,-500.0,500.0,0.0,False
93,369961,8,744,-500.0,500.0,0.0,False
94,373961,8,752,-500.0,500.0,0.0,False
95,377961,8,760,-500.0,500.0,0.0,False
96,381961,8,768,-500.0,500.0,0.0,False
97,385961,8,776,-500.0,500.0,0.0,False
98,389961,8,784,-500.0,500.0,0.0,False
99,393961,8,792,-500.0,500.0,0.0,False
100,397961,8,800,-500.0,500.0,0.0,False
101,401961,8,808,-500.0,500.0,0.0,False
102,405961,8,816,-500.0,500.0,0.0,False
103,409961,8,824,-500.0,500.0,0.0,False
104,413961,8,832,-500.0,500.0,0.0,False
105,417961,8,840,-500.0,500.0,0.0,False
106,421904,8,848,-492.75,492.875,0.0,False
107,425904,8,856,-500.0,500.0,0.0,False
108,429904,8,864,-500.0,500.0,0.0,False
109,433904,8,872,-500.0,500.0,0.0,False
110,437904,8,880,-500.0,500.0,0.0,False
111,441904,8,888,-500.0,500.0,0.0,False
112,445904,8,896,-500.0,500.0,0.0,False
113,449904,8,904,-500.0,500.0,0.0,False
114,453856,8,912,-493.875,494.0,0.0,False
115,457856,8,920,-500.0,500.0,0.0,False
116,461532,8,928,-459.125,459.5,0.0,False
117,465532,8,936,-500.0,500.0,0.0,False
118,469491,8,944,-494.75,494.875,0.0,False
119,473491,8,952,-500.0,500.0,0.0,False
120,477491,8,960,-500.0,500.0,0.0,False
121,481491,8,968,-500.0,500.0,0.0,False
122,485207,8,976,-464.25,464.5,0.0,False
123,489154,8,984,-493.125,493.375,0.0,False
124,493115,8,992,-495.0,495.125,0.0,False
125,497115,8,1000,-500.0,500.0,0.0,False
126,501034,8,1008,-489.625,489.875,0.0,False
127,504728,8,1016,-461.375,461.75,0.0,False
128,508728,8,1024,-500.0,500.0,0.0,False
129,512728,8,1032,-500.0,500.0,0.0,False
130,516492,8,1040,-470.125,470.5,0.0,False
131,520492,8,1048,-500.0,500.0,0.0,False
132,524405,8,1056,-488.875,489.125,0.0,False
133,528262,8,1064,-482.0,482.125,0.0,False
134,532120,8,1072,-481.625,482.25,0.0,False
135,535447,8,1080,-415.125,415.875,0.0,False
136,539420,8,1088,-496.5,496.625,0.0,False
137,543245,8,1096,-477.875,478.125,0.0,False
138,546416,8,1104,-395.875,396.375,0.0,False
139,550076,8,1112,-456.875,457.5,0.0,False
140,553519,8,1120,-429.75,430.375,0.0,False
141,557082,8,1128,-444.75,445.375,0.0,False
142,560629,8,1136,-442.75,443.375,0.0,False
143,564026,8,1144,-423.875,424.625,0.0,False
144,567630,8,1152,-450.0,450.5,0.0,False
145,570742,8,1160,-388.25,389.0,0.0,False
146,574130,8,1168,-422.75,423.5,0.0,False
147,577493,8,1176,-419.5,420.375,0.0,False
148,580816,8,1184,-414.625,415.375,0.0,False
149,583959,8,1192,-392.0,392.875,0.0,False
150,587101,8,1200,-391.875,392.75,0.0,False
151,590172,8,1208,-383.0,383.875,0.0,False
152,592815,8,1216,-329.5,330.375,0.0,False
153,595215,8,1224,-299.0,300.0,0.0,False
154,598396,8,1232,-396.75,397.625,0.0,False
155,600944,8,1240,-317.5,318.5,0.0,False
156,603306,8,1248,-294.25,295.25,0.0,False
157,605802,8,1256,-311.0,312.0,0.0,False
158,608233,8,1264,-303.0,303.875,0.0,False
159,610573,8,1272,-291.5,292.5,0.0,False
160,612939,8,1280,-294.75,295.75,0.0,False
161,615058,8,1288,-263.875,264.875,0.0,False
162,617269,8,1296,-275.375,276.375,0.0,False
163,619637,8,1304,-295.125,296.0,0.0,False
164,621676,8,1312,-253.875,254.875,0.0,False
165,623785,8,1320,-262.625,263.625,0.0,False
166,625774,8,1328,-247.625,248.625,0.0,False
167,627895,8,1336,-264.125,265.125,0.0,False
168,629907,8,1344,-250.5,251.5,0.0,False
169,632255,8,1352,-292.5,293.5,0.0,False
170,634163,8,1360,-237.5,238.5,0.0,False
171,635856,8,1368,-210.625,211.625,0.0,False
172,637807,8,1376,-242.875,243.875,0.0,False
173,639777,8,1384,-245.25,246.25,0.0,False
174,641507,8,1392,-215.25,216.25,0.0,False
175,643667,8,1400,-269.0,270.0,0.0,False
176,645531,8,1408,-232.0,233.0,0.0,False
177,647252,8,1416,-214.125,215.125,0.0,False
178,648922,8,1424,-207.75,208.75,0.0,False
179,650777,8,1432,-230.875,231.875,0.0,False
180,652830,8,1440,-255.625,256.625,0.0,False
181,654923,8,1448,-260.625,261.625,0.0,False
182,656749,8,1456,-227.25,228.25,0.0,False
183,658592,8,1464,-229.375,230.375,0.0,False
184,660800,8,1472,-275.0,276.0,0.0,False
185,662765,8,1480,-244.625,245.625,0.0,False
186,664790,8,1488,-252.125,253.125,0.0,False
187,666576,8,1496,-222.25,223.25,0.0,False
188,668568,8,1504,-248.0,249.0,0.0,False
189,670673,8,1512,-262.25,263.125,0.0,False
190,672500,8,1520,-227.375,228.375,0.0,False
191,674617,8,1528,-263.625,264.625,0.0,False
192,676923,8,1536,-287.375,288.25,0.0,False
193,678611,8,1544,-210.0,211.0,0.0,False
194,680434,8,1552,-226.875,227.875,0.0,False
