environment,method,seed,update,environment_steps,deterministic_return,stochastic_return,deterministic_return_standard_deviation,stochastic_return_standard_deviation,episode_length,deterministic_termination_rate,stochastic_termination_rate,entropy,mean_min_probability,global_min_probability,barrier_value,beta,barrier_active
Acrobot-v1,gpomdp_entropy_fixed,504,0,0,-500.0,-486.21875,0.0,39.13725588728848,500.0,0.0,0.15625,1.0590705871582031,0.23037086427211761,0.1169070154428482,-1.1410895586013794,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,504,50,161877,-299.78125,-242.40625,199.82084465760175,65.15928838548827,300.3125,0.53125,1.0,1.0375230312347412,0.23644094169139862,0.15003928542137146,-1.1585192680358887,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,504,100,260603,-79.03125,-253.90625,8.75650679725212,45.68853839118275,80.03125,1.0,1.0,1.045065999031067,0.23613353073596954,0.16254489123821259,-1.1520804166793823,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,504,150,362831,-344.3125,-254.59375,204.29381711074228,56.1201817387212,344.6875,0.375,1.0,1.051092267036438,0.2340078502893448,0.1649499386548996,-1.1467961072921753,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,504,200,457553,-78.59375,-262.0,12.76047166435372,86.35485678479573,79.59375,1.0,0.90625,1.028131365776062,0.22121818363666534,0.13928140699863434,-1.1702576875686646,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,504,250,555566,-84.28125,-234.8125,15.789409221005931,46.93264734805372,85.28125,1.0,1.0,1.0512678623199463,0.23616185784339905,0.16467896103858948,-1.1463788747787476,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,504,300,660383,-167.03125,-258.71875,162.9025999069739,55.887118011912364,167.84375,0.8125,1.0,1.0560994148254395,0.24172265827655792,0.15214380621910095,-1.1420212984085083,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,504,350,752249,-83.8125,-224.8125,11.756775671652003,52.21323370749554,84.8125,1.0,1.0,1.044067144393921,0.23754540085792542,0.15068110823631287,-1.1531782150268555,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,504,400,856840,-89.125,-262.28125,22.69112374419111,60.00980262665694,90.125,1.0,1.0,1.057012915611267,0.2467174232006073,0.163686141371727,-1.1403299570083618,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,504,450,955042,-91.65625,-218.625,46.48802091624979,46.24112818134816,92.65625,1.0,1.0,1.0368599891662598,0.2283124029636383,0.1394650936126709,-1.1615797281265259,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,504,500,1045701,-486.71875,-226.6875,75.13009550107067,73.80638904943208,486.75,0.03125,0.96875,1.0347453355789185,0.22064915299415588,0.13515201210975647,-1.1647448539733887,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,504,550,1144001,-84.0,-233.28125,14.524728635519628,69.93556221911157,85.0,1.0,0.96875,1.0400773286819458,0.23075075447559357,0.13498519361019135,-1.158155918121338,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,504,600,1237546,-87.65625,-232.46875,29.264763988290124,57.00819656686617,88.65625,1.0,1.0,1.044983983039856,0.23490916192531586,0.14441394805908203,-1.1532384157180786,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,504,650,1333813,-85.59375,-253.40625,22.47846191357407,62.680891452067,86.59375,1.0,1.0,1.0549167394638062,0.24500614404678345,0.15651120245456696,-1.14276123046875,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,504,700,1433082,-85.78125,-240.90625,11.284400808767085,55.52759231287195,86.78125,1.0,1.0,1.049442172050476,0.2358030080795288,0.1371687650680542,-1.1494120359420776,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,504,750,1530463,-82.375,-255.40625,18.252264552386986,71.60683846195228,83.375,1.0,1.0,1.0520635843276978,0.24059948325157166,0.147172749042511,-1.1460424661636353,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,504,800,1628616,-81.84375,-264.15625,8.164080949006783,52.53515528027476,82.84375,1.0,1.0,1.0522863864898682,0.23565314710140228,0.14148491621017456,-1.1464829444885254,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,504,850,1730917,-84.625,-254.53125,12.68667067844144,81.39310598332578,85.625,1.0,0.9375,1.054140329360962,0.237455353140831,0.1424971967935562,-1.1445895433425903,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,504,900,1826740,-84.03125,-232.625,17.241144290667396,44.12646780890493,85.03125,1.0,1.0,1.0457082986831665,0.23460017144680023,0.1380862146615982,-1.1531295776367188,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,504,950,1918725,-86.21875,-228.15625,8.701999677493488,72.44624675823337,87.21875,1.0,0.96875,1.0389965772628784,0.2290356159210205,0.12755703926086426,-1.1600478887557983,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,504,1000,2014430,-79.84375,-246.46875,13.395014419190543,60.06715831521012,80.84375,1.0,1.0,1.0536035299301147,0.23662550747394562,0.13222476840019226,-1.145402193069458,0.0,False
