update,environment_steps,batch_training_episodes,cumulative_training_episodes,training_return,training_episode_length,beta,barrier_active
1,4000,8,8,-500.0,500.0,546.4135158976487,True
2,7949,8,16,-493.375,493.625,546.4135158976487,True
3,11949,8,24,-500.0,500.0,546.4135158976487,True
4,15844,8,32,-486.75,486.875,546.4135158976487,True
5,19844,8,40,-500.0,500.0,546.4135158976487,True
6,23754,8,48,-488.625,488.75,546.4135158976487,True
7,27754,8,56,-500.0,500.0,546.4135158976487,True
8,31754,8,64,-500.0,500.0,546.4135158976487,True
9,35754,8,72,-500.0,500.0,546.4135158976487,True
10,39754,8,80,-500.0,500.0,546.4135158976487,True
11,43754,8,88,-500.0,500.0,546.4135158976487,True
12,47754,8,96,-500.0,500.0,546.4135158976487,True
13,51754,8,104,-500.0,500.0,546.4135158976487,True
14,55701,8,112,-493.25,493.375,546.4135158976487,True
15,59701,8,120,-500.0,500.0,546.4135158976487,True
16,63701,8,128,-500.0,500.0,546.4135158976487,True
17,67701,8,136,-500.0,500.0,546.4135158976487,True
18,71701,8,144,-500.0,500.0,546.4135158976487,True
19,75701,8,152,-500.0,500.0,546.4135158976487,True
20,79701,8,160,-500.0,500.0,546.4135158976487,True
21,83701,8,168,-500.0,500.0,546.4135158976487,True
22,87701,8,176,-500.0,500.0,546.4135158976487,True
23,91611,8,184,-488.625,488.75,546.4135158976487,True
24,95611,8,192,-500.0,500.0,546.4135158976487,True
25,99611,8,200,-500.0,500.0,546.4135158976487,True
26,103611,8,208,-500.0,500.0,546.4135158976487,True
27,107611,8,216,-500.0,500.0,546.4135158976487,True
28,111611,8,224,-500.0,500.0,546.4135158976487,True
29,115589,8,232,-497.125,497.25,546.4135158976487,True
30,119589,8,240,-500.0,500.0,546.4135158976487,True
31,123509,8,248,-489.875,490.0,546.4135158976487,True
32,127509,8,256,-500.0,500.0,546.4135158976487,True
33,131509,8,264,-500.0,500.0,546.4135158976487,True
34,135509,8,272,-500.0,500.0,546.4135158976487,True
35,139509,8,280,-500.0,500.0,546.4135158976487,True
36,143509,8,288,-500.0,500.0,546.4135158976487,True
37,147509,8,296,-500.0,500.0,546.4135158976487,True
38,151509,8,304,-500.0,500.0,546.4135158976487,True
39,155509,8,312,-500.0,500.0,546.4135158976487,True
40,159500,8,320,-498.75,498.875,546.4135158976487,True
41,163500,8,328,-500.0,500.0,546.4135158976487,True
42,167500,8,336,-500.0,500.0,546.4135158976487,True
43,171461,8,344,-495.0,495.125,546.4135158976487,True
44,175461,8,352,-500.0,500.0,546.4135158976487,True
45,179400,8,360,-492.25,492.375,546.4135158976487,True
46,183400,8,368,-500.0,500.0,546.4135158976487,True
47,187400,8,376,-500.0,500.0,546.4135158976487,True
48,191341,8,384,-492.5,492.625,546.4135158976487,True
49,195341,8,392,-500.0,500.0,546.4135158976487,True
50,199341,8,400,-500.0,500.0,546.4135158976487,True
51,203279,8,408,-492.125,492.25,546.4135158976487,True
52,207279,8,416,-500.0,500.0,546.4135158976487,True
53,211154,8,424,-484.25,484.375,546.4135158976487,True
54,215154,8,432,-500.0,500.0,546.4135158976487,True
55,219154,8,440,-500.0,500.0,546.4135158976487,True
56,222993,8,448,-479.75,479.875,546.4135158976487,True
57,226993,8,456,-500.0,500.0,546.4135158976487,True
58,230985,8,464,-498.875,499.0,546.4135158976487,True
59,234985,8,472,-500.0,500.0,546.4135158976487,True
60,238985,8,480,-500.0,500.0,546.4135158976487,True
61,242985,8,488,-500.0,500.0,546.4135158976487,True
62,246985,8,496,-500.0,500.0,546.4135158976487,True
63,250985,8,504,-500.0,500.0,546.4135158976487,True
64,254954,8,512,-496.0,496.125,546.4135158976487,True
65,258954,8,520,-500.0,500.0,546.4135158976487,True
66,262954,8,528,-500.0,500.0,546.4135158976487,True
67,266914,8,536,-494.875,495.0,546.4135158976487,True
68,270889,8,544,-496.75,496.875,546.4135158976487,True
69,274889,8,552,-500.0,500.0,546.4135158976487,True
70,278889,8,560,-500.0,500.0,546.4135158976487,True
71,282842,8,568,-494.0,494.125,546.4135158976487,True
72,286840,8,576,-499.5,499.75,546.4135158976487,True
73,290734,8,584,-486.625,486.75,546.4135158976487,True
74,294695,8,592,-495.0,495.125,546.4135158976487,True
75,298695,8,600,-500.0,500.0,546.4135158976487,True
76,302553,8,608,-482.125,482.25,546.4135158976487,True
77,306550,8,616,-499.5,499.625,546.4135158976487,True
78,310550,8,624,-500.0,500.0,546.4135158976487,True
79,314405,8,632,-481.5,481.875,546.4135158976487,True
80,318395,8,640,-498.625,498.75,546.4135158976487,True
81,322392,8,648,-499.5,499.625,546.4135158976487,True
82,326392,8,656,-500.0,500.0,546.4135158976487,True
83,330392,8,664,-500.0,500.0,546.4135158976487,True
84,334219,8,672,-478.25,478.375,546.4135158976487,True
85,338182,8,680,-495.25,495.375,546.4135158976487,True
86,342075,8,688,-486.25,486.625,546.4135158976487,True
87,345690,8,696,-451.5,451.875,546.4135158976487,True
88,349690,8,704,-500.0,500.0,546.4135158976487,True
89,353409,8,712,-464.625,464.875,546.4135158976487,True
90,357240,8,720,-478.75,478.875,546.4135158976487,True
91,361047,8,728,-475.625,475.875,546.4135158976487,True
92,364916,8,736,-483.5,483.625,546.4135158976487,True
93,368839,8,744,-490.0,490.375,546.4135158976487,True
94,372675,8,752,-479.25,479.5,546.4135158976487,True
95,376613,8,760,-492.125,492.25,546.4135158976487,True
96,380566,8,768,-493.875,494.125,546.4135158976487,True
97,384521,8,776,-494.125,494.375,546.4135158976487,True
98,388467,8,784,-493.0,493.25,546.4135158976487,True
99,392231,8,792,-470.125,470.5,546.4135158976487,True
100,395903,8,800,-458.625,459.0,546.4135158976487,True
101,399903,8,808,-500.0,500.0,546.4135158976487,True
102,403903,8,816,-500.0,500.0,546.4135158976487,True
103,407767,8,824,-482.625,483.0,546.4135158976487,True
104,411340,8,832,-446.0,446.625,546.4135158976487,True
105,415058,8,840,-464.25,464.75,546.4135158976487,True
106,418494,8,848,-429.125,429.5,546.4135158976487,True
