environment,method,seed,update,environment_steps,deterministic_return,stochastic_return,deterministic_return_standard_deviation,stochastic_return_standard_deviation,episode_length,deterministic_termination_rate,stochastic_termination_rate,entropy,mean_min_probability,global_min_probability,barrier_value,beta,barrier_active
Acrobot-v1,gpomdp_logbarrier_fixed,507,0,0,-500.0,-490.5625,0.0,27.042305565956845,500.0,0.0,0.15625,1.0477739572525024,0.22997166216373444,0.15895868837833405,-1.1498140096664429,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,507,50,176998,-487.8125,-333.75,68.94291116568839,78.40506896055686,487.84375,0.03125,0.90625,1.0700818300247192,0.24461351335048676,0.13363592326641083,-1.129638910293579,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,507,100,280957,-85.9375,-240.625,19.323957218454122,57.23846552349102,86.9375,1.0,1.0,1.0384554862976074,0.22495725750923157,0.10491154342889786,-1.1625566482543945,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,507,150,381628,-87.84375,-260.21875,29.091745171040774,67.69415773857803,88.84375,1.0,0.96875,1.0460437536239624,0.22592973709106445,0.1113361343741417,-1.1549882888793945,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,507,200,484143,-88.71875,-225.03125,28.5264273341688,35.542327673516446,89.71875,1.0,1.0,1.0515309572219849,0.23525682091712952,0.12904570996761322,-1.1478110551834106,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,507,250,572990,-82.0,-244.03125,14.046007353716043,67.81877386616243,83.0,1.0,0.96875,1.0396881103515625,0.2247944176197052,0.11126475781202316,-1.1603784561157227,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,507,300,667165,-77.78125,-252.25,12.098345328077693,50.972478342602656,78.78125,1.0,1.0,1.045976161956787,0.2381603866815567,0.12003407627344131,-1.1523070335388184,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,507,350,763283,-83.28125,-215.125,15.274339381733899,42.060440382398404,84.28125,1.0,1.0,1.0387277603149414,0.2289552241563797,0.11175153404474258,-1.1606864929199219,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,507,400,860235,-92.75,-227.78125,34.93311581644502,55.63112054040117,93.75,1.0,1.0,1.040024757385254,0.23010750114917755,0.12598200142383575,-1.1591739654541016,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,507,450,958238,-80.96875,-239.3125,21.362439716595137,71.38104813084537,81.96875,1.0,0.96875,1.0486690998077393,0.2336137890815735,0.12337339669466019,-1.1506761312484741,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,507,500,1055764,-79.4375,-244.96875,15.063173422236998,65.69159831142547,80.4375,1.0,0.96875,1.0504435300827026,0.24695299565792084,0.1356230527162552,-1.1466211080551147,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,507,550,1153198,-91.0625,-242.59375,34.79241435678463,54.389787570236784,92.0625,1.0,1.0,1.0570296049118042,0.2517305910587311,0.14815762639045715,-1.1402850151062012,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,507,600,1255007,-85.9375,-249.34375,16.398146039976197,53.51189760683012,86.9375,1.0,1.0,1.049821376800537,0.23751817643642426,0.1259012073278427,-1.1490161418914795,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,507,650,1356448,-92.65625,-244.9375,41.25186945910413,55.10806831624919,93.65625,1.0,1.0,1.0475257635116577,0.23449239134788513,0.13419507443904877,-1.1513311862945557,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,507,700,1458270,-80.84375,-248.34375,8.088659424794852,59.11694772283593,81.84375,1.0,1.0,1.0498926639556885,0.23746821284294128,0.1352943480014801,-1.1487114429473877,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,507,750,1561097,-87.0625,-234.09375,37.28091918775436,52.599128764402494,88.0625,1.0,1.0,1.045863151550293,0.2372913807630539,0.13082286715507507,-1.152482509613037,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,507,800,1651602,-81.5,-210.46875,9.377392167920021,29.879310324769396,82.5,1.0,1.0,1.0307523012161255,0.22374877333641052,0.11572089791297913,-1.1687558889389038,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,507,850,1744847,-86.53125,-239.8125,9.1791642567073,46.14733592422455,87.53125,1.0,1.0,1.0478484630584717,0.2339562326669693,0.13688020408153534,-1.1513170003890991,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,507,900,1837195,-88.34375,-213.09375,23.529815505905173,35.14886257509026,89.34375,1.0,1.0,1.038775086402893,0.2318938970565796,0.12196791917085648,-1.160083532333374,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,507,950,1932056,-84.59375,-219.375,11.790809365089022,67.1194169300677,85.59375,1.0,1.0,1.04453444480896,0.23760899901390076,0.12701351940631866,-1.1538264751434326,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,507,1000,2028579,-85.4375,-233.65625,18.144469520863606,50.89179500063931,86.4375,1.0,1.0,1.0412514209747314,0.2335955649614334,0.11808808892965317,-1.1575841903686523,546.4135158976487,True
