environment,method,seed,update,environment_steps,deterministic_return,stochastic_return,deterministic_return_standard_deviation,stochastic_return_standard_deviation,episode_length,deterministic_termination_rate,stochastic_termination_rate,entropy,mean_min_probability,global_min_probability,barrier_value,beta,barrier_active
Acrobot-v1,gpomdp_logbarrier_handoff,502,0,0,-500.0,-497.59375,0.0,9.711514200397183,500.0,0.0,0.0625,1.0761381387710571,0.2484980672597885,0.19848713278770447,-1.1217966079711914,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_handoff,502,50,199341,-500.0,-491.6875,0.0,47.02260094890541,500.0,0.0,0.03125,1.0963133573532104,0.30806949734687805,0.25922083854675293,-1.100936770439148,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_handoff,502,100,395903,-161.0,-462.9375,75.41968597294783,59.12476556592682,161.96875,0.96875,0.40625,1.0928646326065063,0.2981042265892029,0.21902529895305634,-1.1045323610305786,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_handoff,502,150,550949,-296.5625,-241.40625,197.2630366925372,53.60540378092613,297.09375,0.53125,1.0,1.047560214996338,0.23389288783073425,0.15458759665489197,-1.1510006189346313,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_handoff,502,200,644620,-500.0,-269.0,0.0,86.5052674137395,500.0,0.0,0.9375,1.0368720293045044,0.22728726267814636,0.1520465612411499,-1.1613316535949707,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_handoff,502,249,744714,-93.40625,-242.5,37.99393786535069,46.2503705303379,94.40625,1.0,1.0,1.0570489168167114,0.24448947608470917,0.15368185937404633,-1.1408666372299194,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_handoff,502,250,746674,-84.75,-281.75,16.431676725154983,77.57576941287789,85.75,1.0,0.96875,1.0555428266525269,0.24224643409252167,0.1510465145111084,-1.142533779144287,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,502,251,748485,-87.65625,-258.625,38.61523130462483,64.17654581120789,88.65625,1.0,1.0,1.0541000366210938,0.24121111631393433,0.14972074329853058,-1.1440684795379639,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,502,300,817704,-90.40625,-129.03125,23.660037595749042,69.70698320874686,91.40625,1.0,0.96875,0.8402489423751831,0.1274695098400116,0.04539601504802704,-1.4046424627304077,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,502,350,864411,-80.875,-114.875,12.11703679309266,27.026569961261597,81.875,1.0,1.0,0.6735833287239075,0.08215231448411942,0.019264647737145424,-1.6820623874664307,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,502,400,908873,-91.75,-103.59375,74.98774093358581,32.83277215556668,92.71875,0.96875,1.0,0.6121681928634644,0.07143688946962357,0.015128275379538536,-1.7947518825531006,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,502,450,950385,-93.5,-99.90625,30.84404057041939,19.561910611547983,94.5,1.0,1.0,0.5388399958610535,0.057026736438274384,0.009871513582766056,-1.9611326456069946,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,502,500,990015,-83.59375,-97.03125,22.499977598555155,29.595645249629808,84.59375,1.0,1.0,0.4874204099178314,0.049209579825401306,0.007648828439414501,-2.0960195064544678,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,502,550,1028694,-85.03125,-101.75,16.49336988004574,74.47363681629332,86.03125,1.0,0.96875,0.449993371963501,0.044132281094789505,0.006125312764197588,-2.2021193504333496,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,502,600,1067255,-80.59375,-92.375,9.986634212948115,36.10982352267468,81.59375,1.0,1.0,0.387783020734787,0.03596901893615723,0.004021167755126953,-2.3975889682769775,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,502,650,1104129,-80.34375,-82.0625,8.460951578451636,12.37567202476359,81.34375,1.0,1.0,0.3788236081600189,0.0360424779355526,0.003509273985400796,-2.438985824584961,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,502,700,1141925,-82.46875,-102.15625,9.076678286117527,42.17407044312815,83.46875,1.0,1.0,0.3751887381076813,0.034649550914764404,0.0037362189032137394,-2.4444427490234375,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,502,750,1178415,-83.21875,-89.59375,19.63330674825226,21.525467849248532,84.21875,1.0,1.0,0.3762379586696625,0.03384415805339813,0.0032353049609810114,-2.4751107692718506,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,502,800,1214983,-91.1875,-90.65625,32.98233887127101,20.57811141370458,92.1875,1.0,1.0,0.3704303801059723,0.03588242828845978,0.0030426853336393833,-2.4905622005462646,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,502,850,1251571,-82.84375,-90.78125,14.732254223849418,30.43738615266514,83.84375,1.0,1.0,0.3437098562717438,0.031630221754312515,0.002612239448353648,-2.5822293758392334,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,502,900,1288645,-86.3125,-90.1875,14.010220923403764,27.90703171881307,87.3125,1.0,1.0,0.30791929364204407,0.02726031094789505,0.0018361284164711833,-2.737614870071411,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,502,950,1324514,-86.28125,-85.625,15.9317787010944,16.798137377543938,87.28125,1.0,1.0,0.3075464069843292,0.02896605245769024,0.0016095942119136453,-2.7647478580474854,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,502,1000,1359904,-82.625,-82.96875,8.043229972287051,12.91032188949302,83.625,1.0,1.0,0.31602680683135986,0.03054056316614151,0.0015419210540130734,-2.7466986179351807,0.0,False
