update,environment_steps,batch_training_episodes,cumulative_training_episodes,training_return,training_episode_length,beta,barrier_active
1,3941,8,8,-492.5,492.625,0.0,False
2,7941,8,16,-500.0,500.0,0.0,False
3,11918,8,24,-496.875,497.125,0.0,False
4,15760,8,32,-480.0,480.25,0.0,False
5,19648,8,40,-485.875,486.0,0.0,False
6,23580,8,48,-491.375,491.5,0.0,False
7,27546,8,56,-495.5,495.75,0.0,False
8,31500,8,64,-494.125,494.25,0.0,False
9,35090,8,72,-448.375,448.75,0.0,False
10,39090,8,80,-500.0,500.0,0.0,False
11,43090,8,88,-500.0,500.0,0.0,False
12,47017,8,96,-490.625,490.875,0.0,False
13,50868,8,104,-481.125,481.375,0.0,False
14,54837,8,112,-496.0,496.125,0.0,False
15,58578,8,120,-467.375,467.625,0.0,False
16,62486,8,128,-488.25,488.5,0.0,False
17,66239,8,136,-468.75,469.125,0.0,False
18,70151,8,144,-488.625,489.0,0.0,False
19,73764,8,152,-451.125,451.625,0.0,False
20,77162,8,160,-424.0,424.75,0.0,False
21,80918,8,168,-469.25,469.5,0.0,False
22,84800,8,176,-485.0,485.25,0.0,False
23,88640,8,184,-479.75,480.0,0.0,False
24,92142,8,192,-437.0,437.75,0.0,False
25,95577,8,200,-428.625,429.375,0.0,False
26,99175,8,208,-449.375,449.75,0.0,False
27,102306,8,216,-390.875,391.375,0.0,False
28,105784,8,224,-433.875,434.75,0.0,False
29,109181,8,232,-423.875,424.625,0.0,False
30,112501,8,240,-414.5,415.0,0.0,False
31,116019,8,248,-439.125,439.75,0.0,False
32,119301,8,256,-409.5,410.25,0.0,False
33,122757,8,264,-431.25,432.0,0.0,False
34,125930,8,272,-395.875,396.625,0.0,False
35,129251,8,280,-414.375,415.125,0.0,False
36,132151,8,288,-361.625,362.5,0.0,False
37,134996,8,296,-354.75,355.625,0.0,False
38,137669,8,304,-333.125,334.125,0.0,False
39,140527,8,312,-356.25,357.25,0.0,False
