environment,method,seed,update,environment_steps,deterministic_return,stochastic_return,deterministic_return_standard_deviation,stochastic_return_standard_deviation,episode_length,deterministic_termination_rate,stochastic_termination_rate,entropy,mean_min_probability,global_min_probability,barrier_value,beta,barrier_active
Acrobot-v1,gpomdp_reward_only,518,0,0,-291.40625,-479.59375,212.1397681954046,49.39822340739039,291.90625,0.5,0.21875,1.0953490734100342,0.30649349093437195,0.2378334254026413,-1.1018972396850586,0.0,False
Acrobot-v1,gpomdp_reward_only,518,50,112335,-95.59375,-171.59375,38.016006285129,72.79749170395294,96.59375,1.0,0.96875,0.9305115938186646,0.16690707206726074,0.06270141154527664,-1.283148169517517,0.0,False
Acrobot-v1,gpomdp_reward_only,518,100,165822,-83.0,-113.9375,20.64445563310151,13.310043503479474,84.0,1.0,1.0,0.72556072473526,0.10112666338682175,0.02094374969601631,-1.5843958854675293,0.0,False
Acrobot-v1,gpomdp_reward_only,518,150,211274,-139.28125,-106.90625,139.98507624950827,21.788365310486828,140.15625,0.875,1.0,0.627815842628479,0.08041955530643463,0.01197311282157898,-1.7679632902145386,0.0,False
Acrobot-v1,gpomdp_reward_only,518,200,253373,-85.0625,-101.65625,17.228890777393502,27.20366362305138,86.0625,1.0,1.0,0.5527243614196777,0.06401246786117554,0.008450735360383987,-1.937802791595459,0.0,False
Acrobot-v1,gpomdp_reward_only,518,250,294062,-77.09375,-103.1875,5.0568342449248975,24.558603380485625,78.09375,1.0,1.0,0.5268487334251404,0.06290246546268463,0.005875865928828716,-2.018601655960083,0.0,False
Acrobot-v1,gpomdp_reward_only,518,300,333595,-91.96875,-100.0,33.55158221835207,32.09059755774116,92.96875,1.0,1.0,0.4691345691680908,0.05220750346779823,0.004421519581228495,-2.1713743209838867,0.0,False
Acrobot-v1,gpomdp_reward_only,518,350,372206,-87.0,-102.375,18.792586046698858,52.98858671997816,88.0,1.0,1.0,0.4183182716369629,0.04583581164479256,0.002837271196767688,-2.3512799739837646,0.0,False
Acrobot-v1,gpomdp_reward_only,518,400,408736,-83.34375,-82.71875,32.535449029456885,9.942526371358605,84.34375,1.0,1.0,0.3500824570655823,0.03502301126718521,0.0017905994318425655,-2.5840342044830322,0.0,False
Acrobot-v1,gpomdp_reward_only,518,450,445405,-85.03125,-98.0625,22.303600714653893,32.094555361789446,86.03125,1.0,1.0,0.3179837763309479,0.030401358380913734,0.0015571009134873748,-2.7201085090637207,0.0,False
Acrobot-v1,gpomdp_reward_only,518,500,481860,-86.4375,-88.9375,25.180557656076,20.877426457393426,87.4375,1.0,1.0,0.30364060401916504,0.0305952001363039,0.0012130768736824393,-2.8041484355926514,0.0,False
Acrobot-v1,gpomdp_reward_only,518,550,517708,-80.4375,-91.3125,11.316381217994017,41.80016784963985,81.4375,1.0,1.0,0.2659343481063843,0.02593083493411541,0.0009106244542635977,-2.9866721630096436,0.0,False
Acrobot-v1,gpomdp_reward_only,518,600,553615,-90.625,-89.90625,31.10725462528927,25.158028764001415,91.625,1.0,1.0,0.2506539523601532,0.024486897513270378,0.0007679101545363665,-3.0719351768493652,0.0,False
Acrobot-v1,gpomdp_reward_only,518,650,590022,-82.84375,-89.03125,14.712534430030699,22.45925971117912,83.84375,1.0,1.0,0.2430727779865265,0.02321561425924301,0.0007297494448721409,-3.1049532890319824,0.0,False
Acrobot-v1,gpomdp_reward_only,518,700,625660,-83.15625,-84.78125,9.932382279289067,16.636016844533817,84.15625,1.0,1.0,0.22286881506443024,0.021074136719107628,0.0005556861287914217,-3.2367653846740723,0.0,False
Acrobot-v1,gpomdp_reward_only,518,750,660541,-88.15625,-89.34375,26.506370962712026,26.985790018141508,89.15625,1.0,1.0,0.20473119616508484,0.018002016469836235,0.00045810171286575496,-3.3200881481170654,0.0,False
Acrobot-v1,gpomdp_reward_only,518,800,695745,-84.0625,-97.375,19.16471472061561,44.990142289459435,85.0625,1.0,1.0,0.1870051920413971,0.016319507732987404,0.00042147887870669365,-3.4365320205688477,0.0,False
Acrobot-v1,gpomdp_reward_only,518,850,731118,-91.78125,-89.875,62.343861417557484,26.438913159058902,92.78125,1.0,1.0,0.19554683566093445,0.017235150560736656,0.0003774510696530342,-3.413774013519287,0.0,False
Acrobot-v1,gpomdp_reward_only,518,900,766620,-83.9375,-85.4375,19.33563899859198,19.76627544989926,84.9375,1.0,1.0,0.19035589694976807,0.016080183908343315,0.00037211913149803877,-3.4460325241088867,0.0,False
Acrobot-v1,gpomdp_reward_only,518,950,801073,-82.75,-83.28125,18.03580667950966,16.178907764481906,83.75,1.0,1.0,0.18830984830856323,0.017141234129667282,0.00034341184073127806,-3.472977876663208,0.0,False
Acrobot-v1,gpomdp_reward_only,518,1000,836613,-133.65625,-93.1875,132.09664335434064,38.50968667415947,134.5625,0.90625,1.0,0.17568838596343994,0.015475046820938587,0.0003053603577427566,-3.5328423976898193,0.0,False
