seed,in_subset_a_reward_only_failed,in_subset_b_logbarrier_failed,entropy_handoff_h25_failure,entropy_handoff_h25_on_floor_at_handoff,entropy_handoff_h25_final_stochastic_return,entropy_handoff_h25_final_stochastic_termination_rate,entropy_handoff_h25_environment_step_return_auc,reward_only_failure,reward_only_on_floor_at_handoff,reward_only_final_stochastic_return,reward_only_final_stochastic_termination_rate,reward_only_environment_step_return_auc,logbarrier_handoff_h25_failure,logbarrier_handoff_h25_on_floor_at_handoff,logbarrier_handoff_h25_final_stochastic_return,logbarrier_handoff_h25_final_stochastic_termination_rate,logbarrier_handoff_h25_environment_step_return_auc
1012,True,False,False,False,-124.53125,0.9375,-330.0848408750362,True,True,-500.0,0.0,-499.907803188122,False,False,-87.3125,1.0,-260.7677430303976
1015,False,True,False,True,-85.03125,1.0,-399.77959706168724,False,False,-93.71875,1.0,-142.18122157585844,True,True,-500.0,0.0,-499.879668300701
1016,True,False,False,False,-86.0,1.0,-326.15002498957335,True,True,-500.0,0.0,-499.76876121581006,False,True,-97.5625,1.0,-447.65419891538176
1019,False,True,False,False,-80.6875,1.0,-301.4978542301295,False,False,-83.125,1.0,-330.6264311776447,True,True,-500.0,0.0,-499.6681570148591
1031,True,False,False,False,-85.5,1.0,-270.6324685368775,True,True,-500.0,0.0,-500.0,False,False,-83.96875,1.0,-269.3647745805351
1038,True,False,False,True,-88.96875,1.0,-373.1610541601135,True,True,-496.375,0.0625,-499.8970875434626,False,True,-93.40625,1.0,-432.0290031528291
1043,True,False,False,True,-89.5625,1.0,-407.24965747885636,True,True,-500.0,0.0,-500.0,False,True,-93.5625,1.0,-435.5037884598506
1055,True,False,False,True,-100.09375,1.0,-389.9056351396001,True,True,-500.0,0.0,-499.9875156566517,False,False,-89.15625,1.0,-245.92029641457114
1075,True,False,False,True,-93.46875,1.0,-428.85849346483565,True,True,-497.28125,0.03125,-499.93215274752964,False,False,-94.625,1.0,-289.1347657159139
1079,True,False,False,False,-110.4375,0.96875,-237.8077257871798,True,True,-500.0,0.0,-499.3794379374523,False,True,-96.59375,1.0,-407.48865244737135
1092,True,False,False,True,-87.09375,1.0,-418.43138055291996,True,True,-441.5625,0.5,-498.35073535958946,False,True,-80.90625,1.0,-357.4542618377624
1098,True,False,False,True,-96.03125,0.96875,-444.60604142783853,True,True,-500.0,0.0,-499.7172461632896,False,True,-94.4375,1.0,-383.2133637175652
1108,True,False,False,False,-88.40625,1.0,-321.33704128667625,True,True,-500.0,0.0,-500.0,False,False,-81.09375,1.0,-299.6310752257047
1112,True,False,False,True,-88.375,1.0,-368.5350176747909,True,True,-500.0,0.0,-499.98125,False,True,-103.96875,1.0,-375.79159085168766
1113,True,False,False,False,-83.90625,1.0,-250.50036009852874,True,True,-500.0,0.0,-499.9407338745689,False,False,-89.0625,1.0,-279.093661122349
1116,True,False,False,False,-86.5,1.0,-237.84175104572702,True,True,-500.0,0.0,-500.0,False,False,-83.0,1.0,-250.18618110012966
1120,False,True,False,False,-90.84375,1.0,-301.06234644941367,False,False,-84.0,1.0,-300.1903228379972,True,True,-500.0,0.0,-499.20145092343796
1129,True,False,False,False,-86.25,1.0,-299.4655777327355,True,True,-500.0,0.0,-500.0,False,False,-81.8125,1.0,-271.893564323372
1140,True,False,False,False,-86.375,1.0,-264.4684212308581,True,True,-500.0,0.0,-500.0,False,False,-83.4375,1.0,-268.00452926842775
1142,True,True,False,True,-96.90625,1.0,-457.6154991652867,True,True,-452.84375,0.625,-498.7745364147599,True,True,-495.28125,0.03125,-499.8478079593472
1146,True,False,False,False,-85.3125,1.0,-302.4327862204091,True,True,-500.0,0.0,-499.97345654832213,False,False,-84.65625,1.0,-310.30472269346063
1161,False,True,False,False,-87.65625,1.0,-217.39809681500222,False,False,-83.4375,1.0,-161.4283231671491,True,True,-500.0,0.0,-499.9611038080415
1169,True,False,False,False,-82.0,1.0,-215.4701695584007,True,True,-500.0,0.0,-500.0,False,False,-92.0625,1.0,-227.13431096813875
1170,True,False,False,False,-97.46875,1.0,-274.50627902622153,True,True,-500.0,0.0,-499.1097810106674,False,False,-81.09375,1.0,-291.0325346636892
1171,True,False,False,False,-94.34375,1.0,-311.5547693938709,True,True,-500.0,0.0,-500.0,False,False,-83.5,1.0,-330.48573572998856
1177,True,False,False,False,-90.375,1.0,-326.3748861977511,True,True,-500.0,0.0,-500.0,False,True,-93.6875,1.0,-359.0469129902955
1183,True,False,False,False,-94.59375,1.0,-291.6878865578262,True,True,-500.0,0.0,-500.0,False,False,-91.0625,1.0,-316.6560960319186
1189,False,True,True,True,-500.0,0.0,-499.98128439627004,False,False,-90.1875,1.0,-146.25543017853317,True,True,-500.0,0.0,-500.0
1196,True,False,False,True,-94.4375,1.0,-446.98618988503307,True,True,-500.0,0.0,-500.0,False,True,-96.625,0.96875,-381.4934619082207
