update,environment_steps,batch_training_episodes,cumulative_training_episodes,training_return,training_episode_length,beta,barrier_active
1,4000,8,8,-500.0,500.0,0.0,False
2,8000,8,16,-500.0,500.0,0.0,False
3,11936,8,24,-491.875,492.0,0.0,False
4,15936,8,32,-500.0,500.0,0.0,False
5,19936,8,40,-500.0,500.0,0.0,False
6,23936,8,48,-500.0,500.0,0.0,False
7,27936,8,56,-500.0,500.0,0.0,False
8,31936,8,64,-500.0,500.0,0.0,False
9,35936,8,72,-500.0,500.0,0.0,False
10,39936,8,80,-500.0,500.0,0.0,False
11,43936,8,88,-500.0,500.0,0.0,False
12,47936,8,96,-500.0,500.0,0.0,False
13,51882,8,104,-493.125,493.25,0.0,False
14,55820,8,112,-492.125,492.25,0.0,False
15,59820,8,120,-500.0,500.0,0.0,False
16,63820,8,128,-500.0,500.0,0.0,False
17,67820,8,136,-500.0,500.0,0.0,False
18,71820,8,144,-500.0,500.0,0.0,False
19,75820,8,152,-500.0,500.0,0.0,False
20,79820,8,160,-500.0,500.0,0.0,False
21,83820,8,168,-500.0,500.0,0.0,False
22,87820,8,176,-500.0,500.0,0.0,False
23,91820,8,184,-500.0,500.0,0.0,False
24,95820,8,192,-500.0,500.0,0.0,False
25,99820,8,200,-500.0,500.0,0.0,False
26,103820,8,208,-500.0,500.0,0.0,False
27,107820,8,216,-500.0,500.0,0.0,False
28,111820,8,224,-500.0,500.0,0.0,False
29,115820,8,232,-500.0,500.0,0.0,False
30,119820,8,240,-500.0,500.0,0.0,False
31,123820,8,248,-500.0,500.0,0.0,False
32,127687,8,256,-483.25,483.375,0.0,False
33,131687,8,264,-500.0,500.0,0.0,False
34,135687,8,272,-500.0,500.0,0.0,False
35,139687,8,280,-500.0,500.0,0.0,False
36,143687,8,288,-500.0,500.0,0.0,False
37,147575,8,296,-485.875,486.0,0.0,False
38,151575,8,304,-500.0,500.0,0.0,False
39,155575,8,312,-500.0,500.0,0.0,False
40,159575,8,320,-500.0,500.0,0.0,False
41,163575,8,328,-500.0,500.0,0.0,False
42,167575,8,336,-500.0,500.0,0.0,False
43,171575,8,344,-500.0,500.0,0.0,False
44,175575,8,352,-500.0,500.0,0.0,False
45,179575,8,360,-500.0,500.0,0.0,False
46,183575,8,368,-500.0,500.0,0.0,False
47,187575,8,376,-500.0,500.0,0.0,False
48,191575,8,384,-500.0,500.0,0.0,False
49,195575,8,392,-500.0,500.0,0.0,False
50,199575,8,400,-500.0,500.0,0.0,False
51,203575,8,408,-500.0,500.0,0.0,False
52,207521,8,416,-493.125,493.25,0.0,False
53,211521,8,424,-500.0,500.0,0.0,False
54,215521,8,432,-500.0,500.0,0.0,False
55,219521,8,440,-500.0,500.0,0.0,False
56,223521,8,448,-500.0,500.0,0.0,False
57,227521,8,456,-500.0,500.0,0.0,False
58,231521,8,464,-500.0,500.0,0.0,False
59,235521,8,472,-500.0,500.0,0.0,False
60,239521,8,480,-500.0,500.0,0.0,False
61,243521,8,488,-500.0,500.0,0.0,False
62,247521,8,496,-500.0,500.0,0.0,False
63,251521,8,504,-500.0,500.0,0.0,False
64,255521,8,512,-500.0,500.0,0.0,False
65,259521,8,520,-500.0,500.0,0.0,False
66,263521,8,528,-500.0,500.0,0.0,False
67,267521,8,536,-500.0,500.0,0.0,False
68,271521,8,544,-500.0,500.0,0.0,False
69,275521,8,552,-500.0,500.0,0.0,False
70,279508,8,560,-498.25,498.375,0.0,False
71,283508,8,568,-500.0,500.0,0.0,False
72,287508,8,576,-500.0,500.0,0.0,False
73,291508,8,584,-500.0,500.0,0.0,False
74,295508,8,592,-500.0,500.0,0.0,False
75,299508,8,600,-500.0,500.0,0.0,False
76,303508,8,608,-500.0,500.0,0.0,False
77,307508,8,616,-500.0,500.0,0.0,False
78,311508,8,624,-500.0,500.0,0.0,False
79,315459,8,632,-493.75,493.875,0.0,False
80,319459,8,640,-500.0,500.0,0.0,False
81,323459,8,648,-500.0,500.0,0.0,False
82,327459,8,656,-500.0,500.0,0.0,False
83,331459,8,664,-500.0,500.0,0.0,False
84,335459,8,672,-500.0,500.0,0.0,False
85,339459,8,680,-500.0,500.0,0.0,False
86,343459,8,688,-500.0,500.0,0.0,False
87,347459,8,696,-500.0,500.0,0.0,False
88,351459,8,704,-500.0,500.0,0.0,False
89,355459,8,712,-500.0,500.0,0.0,False
90,359459,8,720,-500.0,500.0,0.0,False
91,363404,8,728,-493.0,493.125,0.0,False
92,367404,8,736,-500.0,500.0,0.0,False
93,371404,8,744,-500.0,500.0,0.0,False
94,375404,8,752,-500.0,500.0,0.0,False
95,379404,8,760,-500.0,500.0,0.0,False
96,383404,8,768,-500.0,500.0,0.0,False
97,387404,8,776,-500.0,500.0,0.0,False
98,391404,8,784,-500.0,500.0,0.0,False
99,395404,8,792,-500.0,500.0,0.0,False
100,399404,8,800,-500.0,500.0,0.0,False
101,403404,8,808,-500.0,500.0,0.0,False
102,407404,8,816,-500.0,500.0,0.0,False
103,411404,8,824,-500.0,500.0,0.0,False
104,415404,8,832,-500.0,500.0,0.0,False
105,419404,8,840,-500.0,500.0,0.0,False
106,423404,8,848,-500.0,500.0,0.0,False
107,427404,8,856,-500.0,500.0,0.0,False
108,431404,8,864,-500.0,500.0,0.0,False
109,435404,8,872,-500.0,500.0,0.0,False
110,439404,8,880,-500.0,500.0,0.0,False
111,443404,8,888,-500.0,500.0,0.0,False
112,447404,8,896,-500.0,500.0,0.0,False
113,451404,8,904,-500.0,500.0,0.0,False
114,455404,8,912,-500.0,500.0,0.0,False
115,459404,8,920,-500.0,500.0,0.0,False
116,463404,8,928,-500.0,500.0,0.0,False
117,467404,8,936,-500.0,500.0,0.0,False
118,471404,8,944,-500.0,500.0,0.0,False
119,475345,8,952,-492.5,492.625,0.0,False
120,479345,8,960,-500.0,500.0,0.0,False
121,483188,8,968,-480.25,480.375,0.0,False
122,487188,8,976,-500.0,500.0,0.0,False
123,491188,8,984,-500.0,500.0,0.0,False
124,495188,8,992,-500.0,500.0,0.0,False
125,499188,8,1000,-500.0,500.0,0.0,False
126,503091,8,1008,-487.75,487.875,0.0,False
127,507091,8,1016,-500.0,500.0,0.0,False
128,511091,8,1024,-500.0,500.0,0.0,False
129,515091,8,1032,-500.0,500.0,0.0,False
130,519091,8,1040,-500.0,500.0,0.0,False
131,522951,8,1048,-482.25,482.5,0.0,False
132,526951,8,1056,-500.0,500.0,0.0,False
133,530923,8,1064,-496.375,496.5,0.0,False
134,534923,8,1072,-500.0,500.0,0.0,False
135,538812,8,1080,-486.0,486.125,0.0,False
136,542812,8,1088,-500.0,500.0,0.0,False
137,546812,8,1096,-500.0,500.0,0.0,False
138,550812,8,1104,-500.0,500.0,0.0,False
139,554812,8,1112,-500.0,500.0,0.0,False
140,558812,8,1120,-500.0,500.0,0.0,False
141,562801,8,1128,-498.5,498.625,0.0,False
142,566801,8,1136,-500.0,500.0,0.0,False
143,570801,8,1144,-500.0,500.0,0.0,False
144,574801,8,1152,-500.0,500.0,0.0,False
145,578760,8,1160,-494.75,494.875,0.0,False
146,582760,8,1168,-500.0,500.0,0.0,False
147,586737,8,1176,-497.0,497.125,0.0,False
148,590737,8,1184,-500.0,500.0,0.0,False
149,594737,8,1192,-500.0,500.0,0.0,False
150,598737,8,1200,-500.0,500.0,0.0,False
151,602737,8,1208,-500.0,500.0,0.0,False
152,606737,8,1216,-500.0,500.0,0.0,False
153,610545,8,1224,-475.875,476.0,0.0,False
154,614520,8,1232,-496.625,496.875,0.0,False
155,618520,8,1240,-500.0,500.0,0.0,False
156,622520,8,1248,-500.0,500.0,0.0,False
157,626520,8,1256,-500.0,500.0,0.0,False
158,630307,8,1264,-473.25,473.375,0.0,False
159,634307,8,1272,-500.0,500.0,0.0,False
160,638307,8,1280,-500.0,500.0,0.0,False
161,642307,8,1288,-500.0,500.0,0.0,False
162,646166,8,1296,-482.125,482.375,0.0,False
163,650037,8,1304,-483.75,483.875,0.0,False
164,654037,8,1312,-500.0,500.0,0.0,False
165,658037,8,1320,-500.0,500.0,0.0,False
166,662020,8,1328,-497.75,497.875,0.0,False
167,666020,8,1336,-500.0,500.0,0.0,False
168,670013,8,1344,-499.0,499.125,0.0,False
169,674013,8,1352,-500.0,500.0,0.0,False
170,677983,8,1360,-496.125,496.25,0.0,False
171,681983,8,1368,-500.0,500.0,0.0,False
172,685908,8,1376,-490.5,490.625,0.0,False
173,689582,8,1384,-458.875,459.25,0.0,False
174,693582,8,1392,-500.0,500.0,0.0,False
175,697582,8,1400,-500.0,500.0,0.0,False
176,701582,8,1408,-500.0,500.0,0.0,False
177,705582,8,1416,-500.0,500.0,0.0,False
178,709582,8,1424,-500.0,500.0,0.0,False
179,713582,8,1432,-500.0,500.0,0.0,False
180,717541,8,1440,-494.75,494.875,0.0,False
181,721541,8,1448,-500.0,500.0,0.0,False
182,725541,8,1456,-500.0,500.0,0.0,False
183,729459,8,1464,-489.625,489.75,0.0,False
184,733459,8,1472,-500.0,500.0,0.0,False
185,737459,8,1480,-500.0,500.0,0.0,False
186,741208,8,1488,-468.375,468.625,0.0,False
187,745208,8,1496,-500.0,500.0,0.0,False
188,749193,8,1504,-498.0,498.125,0.0,False
189,752971,8,1512,-472.125,472.25,0.0,False
190,756910,8,1520,-492.25,492.375,0.0,False
191,760687,8,1528,-471.875,472.125,0.0,False
192,764680,8,1536,-499.0,499.125,0.0,False
193,768680,8,1544,-500.0,500.0,0.0,False
194,772680,8,1552,-500.0,500.0,0.0,False
195,776591,8,1560,-488.625,488.875,0.0,False
196,780338,8,1568,-468.125,468.375,0.0,False
197,784183,8,1576,-480.25,480.625,0.0,False
198,788107,8,1584,-490.25,490.5,0.0,False
199,791856,8,1592,-468.25,468.625,0.0,False
200,795843,8,1600,-498.25,498.375,0.0,False
201,799843,8,1608,-500.0,500.0,0.0,False
202,803839,8,1616,-499.375,499.5,0.0,False
203,807498,8,1624,-457.0,457.375,0.0,False
204,810955,8,1632,-431.625,432.125,0.0,False
205,814849,8,1640,-486.625,486.75,0.0,False
206,818576,8,1648,-465.5,465.875,0.0,False
207,822545,8,1656,-496.0,496.125,0.0,False
208,826437,8,1664,-486.375,486.5,0.0,False
209,830230,8,1672,-473.75,474.125,0.0,False
210,834096,8,1680,-482.875,483.25,0.0,False
211,838062,8,1688,-495.625,495.75,0.0,False
212,841689,8,1696,-452.875,453.375,0.0,False
213,845179,8,1704,-435.75,436.25,0.0,False
214,848809,8,1712,-453.25,453.75,0.0,False
215,852651,8,1720,-479.75,480.25,0.0,False
216,856609,8,1728,-494.625,494.75,0.0,False
217,860368,8,1736,-469.375,469.875,0.0,False
218,863851,8,1744,-434.75,435.375,0.0,False
219,867530,8,1752,-459.625,459.875,0.0,False
220,871328,8,1760,-474.25,474.75,0.0,False
221,874604,8,1768,-409.0,409.5,0.0,False
222,878191,8,1776,-447.875,448.375,0.0,False
223,881546,8,1784,-418.625,419.375,0.0,False
224,885329,8,1792,-472.25,472.875,0.0,False
225,888725,8,1800,-423.75,424.5,0.0,False
226,891508,8,1808,-346.875,347.875,0.0,False
227,894291,8,1816,-346.875,347.875,0.0,False
228,897459,8,1824,-395.25,396.0,0.0,False
229,900068,8,1832,-325.125,326.125,0.0,False
230,902879,8,1840,-350.5,351.375,0.0,False
231,905526,8,1848,-329.875,330.875,0.0,False
232,908403,8,1856,-358.625,359.625,0.0,False
233,911349,8,1864,-367.375,368.25,0.0,False
234,914341,8,1872,-373.0,374.0,0.0,False
235,916743,8,1880,-299.25,300.25,0.0,False
236,919634,8,1888,-360.625,361.375,0.0,False
237,922236,8,1896,-324.25,325.25,0.0,False
238,924362,8,1904,-264.75,265.75,0.0,False
239,926906,8,1912,-317.0,318.0,0.0,False
240,929546,8,1920,-329.125,330.0,0.0,False
241,931961,8,1928,-300.875,301.875,0.0,False
242,934347,8,1936,-297.25,298.25,0.0,False
243,936948,8,1944,-324.25,325.125,0.0,False
244,939524,8,1952,-321.0,322.0,0.0,False
245,941552,8,1960,-252.5,253.5,0.0,False
246,943917,8,1968,-294.75,295.625,0.0,False
247,946085,8,1976,-270.0,271.0,0.0,False
248,948035,8,1984,-242.75,243.75,0.0,False
249,950395,8,1992,-294.0,295.0,0.0,False
250,952627,8,2000,-278.0,279.0,0.0,False
251,954708,8,2008,-259.125,260.125,0.0,False
252,956946,8,2016,-278.75,279.75,0.0,False
253,959177,8,2024,-277.875,278.875,0.0,False
254,961379,8,2032,-274.25,275.25,0.0,False
255,963528,8,2040,-267.625,268.625,0.0,False
256,965632,8,2048,-262.125,263.0,0.0,False
257,967582,8,2056,-242.75,243.75,0.0,False
258,969637,8,2064,-255.875,256.875,0.0,False
259,971624,8,2072,-247.375,248.375,0.0,False
260,973934,8,2080,-287.75,288.75,0.0,False
261,976171,8,2088,-278.875,279.625,0.0,False
262,978140,8,2096,-245.125,246.125,0.0,False
263,979863,8,2104,-214.375,215.375,0.0,False
