environment,method,seed,update,environment_steps,deterministic_return,stochastic_return,deterministic_return_standard_deviation,stochastic_return_standard_deviation,episode_length,deterministic_termination_rate,stochastic_termination_rate,entropy,mean_min_probability,global_min_probability,barrier_value,beta,barrier_active,entropy_coefficient,entropy_bonus_active
Acrobot-v1,gpomdp_entropy_handoff,1016,0,0,-500.0,-490.75,0.0,52.32590180780452,500.0,0.0,0.03125,1.0556296110153198,0.23041720688343048,0.1638486087322235,-1.1435997486114502,0.0,False,588.8195483317652,True
Acrobot-v1,gpomdp_entropy_handoff,1016,50,199998,-500.0,-500.0,0.0,0.0,500.0,0.0,0.0,1.0928889513015747,0.30799558758735657,0.25855228304862976,-1.1041887998580933,0.0,False,588.8195483317652,True
Acrobot-v1,gpomdp_entropy_handoff,1016,100,399998,-500.0,-500.0,0.0,0.0,500.0,0.0,0.0,1.0924439430236816,0.29652783274650574,0.2422901690006256,-1.104770541191101,0.0,False,588.8195483317652,True
Acrobot-v1,gpomdp_entropy_handoff,1016,150,599790,-500.0,-495.25,0.0,26.870057685088806,500.0,0.0,0.03125,1.095105528831482,0.3025740087032318,0.24139845371246338,-1.1022428274154663,0.0,False,588.8195483317652,True
Acrobot-v1,gpomdp_entropy_handoff,1016,200,794186,-86.1875,-468.5625,27.68886756616771,60.02039303974243,87.1875,1.0,0.34375,1.0906682014465332,0.2879333198070526,0.24834133684635162,-1.1066350936889648,0.0,False,588.8195483317652,True
Acrobot-v1,gpomdp_entropy_handoff,1016,249,925340,-81.8125,-228.8125,10.084921673532737,65.49190420295498,82.8125,1.0,1.0,1.0411202907562256,0.23512673377990723,0.157996267080307,-1.15604567527771,0.0,False,588.8195483317652,True
Acrobot-v1,gpomdp_entropy_handoff,1016,250,927356,-86.96875,-240.1875,24.442802720611024,52.98109066206485,87.96875,1.0,1.0,1.0412181615829468,0.2352132946252823,0.15745164453983307,-1.1560536623001099,0.0,False,0.0,False
Acrobot-v1,gpomdp_entropy_handoff,1016,251,929103,-81.75,-225.40625,15.328657538593648,47.089386089203416,82.75,1.0,1.0,1.0417799949645996,0.2356215864419937,0.15748068690299988,-1.1555031538009644,0.0,False,0.0,False
Acrobot-v1,gpomdp_entropy_handoff,1016,300,1000361,-83.65625,-138.5625,12.009698701600543,26.863979360786708,84.65625,1.0,1.0,0.8874027729034424,0.1498718112707138,0.07563591003417969,-1.3275147676467896,0.0,False,0.0,False
Acrobot-v1,gpomdp_entropy_handoff,1016,350,1052492,-77.90625,-130.0,10.866816535347564,40.71379254289394,78.90625,1.0,1.0,0.7667874097824097,0.10897529870271683,0.04869867116212845,-1.487739086151123,0.0,False,0.0,False
Acrobot-v1,gpomdp_entropy_handoff,1016,400,1100867,-81.9375,-124.1875,18.092838540472663,74.98061577458192,82.9375,1.0,0.96875,0.6717677712440491,0.08308081328868866,0.032200805842876434,-1.643013596534729,0.0,False,0.0,False
Acrobot-v1,gpomdp_entropy_handoff,1016,450,1145650,-81.3125,-115.59375,25.71109651241984,72.47418199918928,82.3125,1.0,0.96875,0.5784563422203064,0.06647226214408875,0.022213973104953766,-1.8068394660949707,0.0,False,0.0,False
Acrobot-v1,gpomdp_entropy_handoff,1016,500,1187908,-82.78125,-98.25,12.130298975120377,19.581096875270028,83.78125,1.0,1.0,0.5181173086166382,0.05575438216328621,0.014130187220871449,-1.9480268955230713,0.0,False,0.0,False
Acrobot-v1,gpomdp_entropy_handoff,1016,550,1227286,-84.6875,-95.6875,11.200338416546229,23.89552191817403,85.6875,1.0,1.0,0.4658951163291931,0.04654577746987343,0.010454933159053326,-2.079282283782959,0.0,False,0.0,False
Acrobot-v1,gpomdp_entropy_handoff,1016,600,1266250,-83.46875,-92.75,12.939024181683623,13.807431379163997,84.46875,1.0,1.0,0.4492233991622925,0.044133260846138,0.009191303513944149,-2.121795892715454,0.0,False,0.0,False
Acrobot-v1,gpomdp_entropy_handoff,1016,650,1304785,-80.9375,-91.0,9.638422772860045,19.518394963097858,81.9375,1.0,1.0,0.4208937883377075,0.038993269205093384,0.008236945606768131,-2.1920528411865234,0.0,False,0.0,False
Acrobot-v1,gpomdp_entropy_handoff,1016,700,1343311,-83.21875,-88.59375,13.997083509581328,12.846135040698854,84.21875,1.0,1.0,0.3904167115688324,0.03630182892084122,0.006683455780148506,-2.293337345123291,0.0,False,0.0,False
Acrobot-v1,gpomdp_entropy_handoff,1016,750,1380100,-80.03125,-90.0,8.622866730105557,19.735345727089303,81.03125,1.0,1.0,0.3424732983112335,0.029424423351883888,0.004948751535266638,-2.46150803565979,0.0,False,0.0,False
Acrobot-v1,gpomdp_entropy_handoff,1016,800,1416448,-82.09375,-93.40625,7.793129211249215,27.591325629624976,83.09375,1.0,1.0,0.31814202666282654,0.027484798803925514,0.00404805364087224,-2.549327850341797,0.0,False,0.0,False
Acrobot-v1,gpomdp_entropy_handoff,1016,850,1453451,-85.0625,-93.1875,19.208428089706334,16.74945834463639,86.0625,1.0,1.0,0.29988494515419006,0.025967314839363098,0.003296300768852234,-2.6290364265441895,0.0,False,0.0,False
Acrobot-v1,gpomdp_entropy_handoff,1016,900,1488709,-90.0,-95.5,28.947115294463586,56.55086206239477,91.0,1.0,1.0,0.28268441557884216,0.0235691349953413,0.002884121146053076,-2.6946914196014404,0.0,False,0.0,False
Acrobot-v1,gpomdp_entropy_handoff,1016,950,1524575,-80.0625,-86.875,10.292300598646701,9.479179221308005,81.0625,1.0,1.0,0.27481594681739807,0.024093324318528175,0.0023379179183393717,-2.7622010707855225,0.0,False,0.0,False
Acrobot-v1,gpomdp_entropy_handoff,1016,1000,1560901,-83.90625,-86.0,13.622465730573344,21.094258506415528,84.90625,1.0,1.0,0.25294139981269836,0.022072669118642807,0.0019166573183611035,-2.8701114654541016,0.0,False,0.0,False
