environment,method,seed,update,environment_steps,deterministic_return,stochastic_return,deterministic_return_standard_deviation,stochastic_return_standard_deviation,episode_length,deterministic_termination_rate,stochastic_termination_rate,entropy,mean_min_probability,global_min_probability,barrier_value,beta,barrier_active
Acrobot-v1,gpomdp_entropy_fixed,404,0,0,-500.0,-499.125,0.0,4.949747468305833,500.0,0.0,0.03125,1.044655442237854,0.20673246681690216,0.17255328595638275,-1.1551530361175537,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,404,50,25000,-188.625,-307.40625,152.53635209246818,75.92265137582778,189.4375,0.8125,0.96875,1.0587530136108398,0.2525707483291626,0.15181627869606018,-1.1381471157073975,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,404,100,50000,-83.125,-265.96875,15.91053617230804,74.02679740385213,84.125,1.0,0.96875,1.0440962314605713,0.24009913206100464,0.14257362484931946,-1.1533502340316772,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,404,150,75000,-124.15625,-247.625,92.56318134292155,52.10891199859597,125.125,0.96875,1.0,1.045554757118225,0.2433897703886032,0.14157891273498535,-1.1515644788742065,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,404,200,100000,-81.59375,-264.65625,7.3434604438454345,77.17830606730985,82.59375,1.0,0.96875,1.050554871559143,0.24462945759296417,0.1497802883386612,-1.1466532945632935,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,404,250,125000,-86.21875,-233.03125,32.0279458366616,41.48959012462858,87.21875,1.0,1.0,1.0458492040634155,0.22883599996566772,0.1323181539773941,-1.1532925367355347,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,404,300,150000,-98.3125,-284.90625,74.11779530345706,70.08076418008379,99.28125,0.96875,1.0,1.061750054359436,0.2447137087583542,0.15784667432308197,-1.1364665031433105,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,404,350,175000,-84.15625,-237.375,20.89931218963916,70.44180851665277,85.15625,1.0,1.0,1.0373945236206055,0.22242601215839386,0.12671388685703278,-1.1624782085418701,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,404,400,200000,-88.71875,-289.625,21.89304555214708,79.22395776449802,89.71875,1.0,0.96875,1.0633002519607544,0.252800315618515,0.14913016557693481,-1.1345125436782837,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,404,450,225000,-81.96875,-231.15625,10.828529745612416,60.04144234099558,82.96875,1.0,1.0,1.0429080724716187,0.23511458933353424,0.12679125368595123,-1.1557759046554565,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,404,500,250000,-85.71875,-283.03125,24.087521029670917,71.88273801263797,86.71875,1.0,0.96875,1.0594898462295532,0.24756291508674622,0.14627793431282043,-1.1385194063186646,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,404,550,275000,-91.1875,-235.65625,19.726251544578865,64.46234678652188,92.1875,1.0,0.96875,1.0413151979446411,0.22703900933265686,0.1185394749045372,-1.1584433317184448,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,404,600,300000,-92.5625,-226.4375,25.398675987844012,48.982510045143464,93.5625,1.0,1.0,1.0376607179641724,0.22028173506259918,0.11845780164003372,-1.1634631156921387,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,404,650,325000,-81.625,-218.15625,13.231804304828966,72.60014634971475,82.625,1.0,0.96875,1.033087968826294,0.22048957645893097,0.12095558643341064,-1.167372465133667,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,404,700,350000,-80.03125,-272.4375,13.182305772658703,79.0254909874431,81.03125,1.0,0.9375,1.0534507036209106,0.24156230688095093,0.1406068503856659,-1.1447511911392212,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,404,750,375000,-94.46875,-227.3125,50.70470129949459,43.82769598648634,95.46875,1.0,1.0,1.0433250665664673,0.23565234243869781,0.12646616995334625,-1.1550225019454956,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,404,800,400000,-80.84375,-259.5625,6.682231494189309,50.24452305250985,81.84375,1.0,1.0,1.0599052906036377,0.2454569786787033,0.13215278089046478,-1.1387361288070679,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,404,850,425000,-449.53125,-236.78125,135.67370353404954,55.71166228462519,449.65625,0.125,1.0,1.0413165092468262,0.21949462592601776,0.1150115355849266,-1.1606025695800781,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,404,900,450000,-85.40625,-243.59375,37.530082020315554,57.112712202812524,86.40625,1.0,1.0,1.0433651208877563,0.2283267229795456,0.11328744888305664,-1.1573398113250732,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,404,950,475000,-85.21875,-239.0,19.353643276254633,65.96626703927375,86.21875,1.0,1.0,1.0429538488388062,0.2315381020307541,0.11559518426656723,-1.1569485664367676,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,404,1000,500000,-128.25,-261.5,124.21105867342969,50.63850377446128,129.15625,0.90625,1.0,1.054961085319519,0.250924676656723,0.1422864943742752,-1.1423457860946655,0.0,False
