update,environment_steps,batch_training_episodes,cumulative_training_episodes,training_return,training_episode_length,beta,barrier_active
1,4000,8,8,-500.0,500.0,0.0,False
2,8000,8,16,-500.0,500.0,0.0,False
3,11859,8,24,-482.25,482.375,0.0,False
4,15795,8,32,-491.875,492.0,0.0,False
5,19795,8,40,-500.0,500.0,0.0,False
6,23566,8,48,-471.0,471.375,0.0,False
7,27563,8,56,-499.5,499.625,0.0,False
8,31563,8,64,-500.0,500.0,0.0,False
9,35560,8,72,-499.5,499.625,0.0,False
10,39473,8,80,-489.0,489.125,0.0,False
11,43353,8,88,-484.875,485.0,0.0,False
12,47145,8,96,-473.625,474.0,0.0,False
13,50788,8,104,-455.0,455.375,0.0,False
14,54532,8,112,-467.5,468.0,0.0,False
15,58252,8,120,-464.75,465.0,0.0,False
16,62201,8,128,-493.375,493.625,0.0,False
17,66187,8,136,-498.125,498.25,0.0,False
18,69803,8,144,-451.5,452.0,0.0,False
19,73549,8,152,-467.875,468.25,0.0,False
20,77529,8,160,-497.375,497.5,0.0,False
21,81061,8,168,-440.875,441.5,0.0,False
22,84668,8,176,-450.375,450.875,0.0,False
23,88521,8,184,-481.375,481.625,0.0,False
24,92304,8,192,-472.75,472.875,0.0,False
25,96147,8,200,-480.0,480.375,0.0,False
26,99636,8,208,-435.375,436.125,0.0,False
27,103268,8,216,-453.5,454.0,0.0,False
28,107126,8,224,-481.875,482.25,0.0,False
29,110469,8,232,-417.375,417.875,0.0,False
30,113453,8,240,-372.125,373.0,0.0,False
31,116737,8,248,-409.75,410.5,0.0,False
32,119977,8,256,-404.375,405.0,0.0,False
33,123238,8,264,-406.875,407.625,0.0,False
34,126476,8,272,-404.125,404.75,0.0,False
35,129887,8,280,-425.75,426.375,0.0,False
36,133064,8,288,-396.25,397.125,0.0,False
37,135375,8,296,-287.875,288.875,0.0,False
38,138877,8,304,-437.125,437.75,0.0,False
39,142208,8,312,-415.5,416.375,0.0,False
40,145652,8,320,-429.625,430.5,0.0,False
41,148288,8,328,-328.625,329.5,0.0,False
42,151388,8,336,-386.5,387.5,0.0,False
43,154227,8,344,-354.0,354.875,0.0,False
44,157112,8,352,-359.625,360.625,0.0,False
45,159341,8,360,-277.625,278.625,0.0,False
46,162153,8,368,-350.75,351.5,0.0,False
47,164776,8,376,-326.875,327.875,0.0,False
48,167667,8,384,-360.5,361.375,0.0,False
49,170208,8,392,-316.625,317.625,0.0,False
50,172771,8,400,-319.375,320.375,0.0,False
51,175355,8,408,-322.0,323.0,0.0,False
52,177629,8,416,-283.25,284.25,0.0,False
53,179901,8,424,-283.0,284.0,0.0,False
54,182685,8,432,-347.25,348.0,0.0,False
55,185402,8,440,-338.625,339.625,0.0,False
56,187793,8,448,-297.875,298.875,0.0,False
57,189978,8,456,-272.125,273.125,0.0,False
58,192285,8,464,-287.375,288.375,0.0,False
59,194506,8,472,-276.625,277.625,0.0,False
60,197229,8,480,-339.375,340.375,0.0,False
61,199666,8,488,-303.75,304.625,0.0,False
62,202052,8,496,-297.25,298.25,0.0,False
63,204415,8,504,-294.375,295.375,0.0,False
64,206747,8,512,-290.5,291.5,0.0,False
65,208922,8,520,-270.875,271.875,0.0,False
66,211337,8,528,-300.875,301.875,0.0,False
67,213622,8,536,-284.75,285.625,0.0,False
68,215701,8,544,-258.875,259.875,0.0,False
69,218028,8,552,-289.875,290.875,0.0,False
70,219952,8,560,-239.5,240.5,0.0,False
71,221811,8,568,-231.375,232.375,0.0,False
72,223759,8,576,-242.5,243.5,0.0,False
73,225922,8,584,-269.375,270.375,0.0,False
74,227947,8,592,-252.125,253.125,0.0,False
75,230087,8,600,-266.5,267.5,0.0,False
76,232175,8,608,-260.0,261.0,0.0,False
77,234466,8,616,-285.375,286.375,0.0,False
78,236299,8,624,-228.125,229.125,0.0,False
79,238399,8,632,-261.5,262.5,0.0,False
80,240280,8,640,-234.125,235.125,0.0,False
81,242172,8,648,-235.5,236.5,0.0,False
82,243819,8,656,-204.875,205.875,0.0,False
83,245660,8,664,-229.125,230.125,0.0,False
84,247679,8,672,-251.375,252.375,0.0,False
85,249608,8,680,-240.125,241.125,0.0,False
86,251580,8,688,-245.5,246.5,0.0,False
87,253418,8,696,-228.75,229.75,0.0,False
88,255338,8,704,-239.0,240.0,0.0,False
89,257068,8,712,-215.25,216.25,0.0,False
90,259079,8,720,-250.375,251.375,0.0,False
91,260963,8,728,-234.5,235.5,0.0,False
92,262548,8,736,-197.125,198.125,0.0,False
93,264540,8,744,-248.0,249.0,0.0,False
94,266595,8,752,-255.875,256.875,0.0,False
95,268357,8,760,-219.25,220.25,0.0,False
96,270193,8,768,-228.5,229.5,0.0,False
97,272035,8,776,-229.25,230.25,0.0,False
98,274187,8,784,-268.0,269.0,0.0,False
99,275990,8,792,-224.375,225.375,0.0,False
100,277973,8,800,-246.875,247.875,0.0,False
101,279828,8,808,-230.875,231.875,0.0,False
102,281896,8,816,-257.5,258.5,0.0,False
103,283987,8,824,-260.375,261.375,0.0,False
104,285927,8,832,-241.625,242.5,0.0,False
105,288558,8,840,-328.0,328.875,0.0,False
106,290762,8,848,-274.625,275.5,0.0,False
107,292680,8,856,-238.75,239.75,0.0,False
108,294814,8,864,-265.75,266.75,0.0,False
109,296672,8,872,-231.25,232.25,0.0,False
110,298957,8,880,-284.625,285.625,0.0,False
111,300978,8,888,-251.625,252.625,0.0,False
112,302931,8,896,-243.125,244.125,0.0,False
113,304650,8,904,-213.875,214.875,0.0,False
114,306406,8,912,-218.5,219.5,0.0,False
115,308282,8,920,-233.5,234.5,0.0,False
116,310383,8,928,-261.625,262.625,0.0,False
117,312487,8,936,-262.125,263.0,0.0,False
118,314209,8,944,-214.25,215.25,0.0,False
119,316151,8,952,-241.75,242.75,0.0,False
120,317909,8,960,-218.75,219.75,0.0,False
121,320162,8,968,-280.625,281.625,0.0,False
122,322118,8,976,-243.5,244.5,0.0,False
123,324405,8,984,-284.875,285.875,0.0,False
124,326389,8,992,-247.0,248.0,0.0,False
125,328359,8,1000,-245.25,246.25,0.0,False
126,330015,8,1008,-206.0,207.0,0.0,False
127,332002,8,1016,-247.375,248.375,0.0,False
128,333771,8,1024,-220.125,221.125,0.0,False
129,335577,8,1032,-224.75,225.75,0.0,False
130,337581,8,1040,-249.5,250.5,0.0,False
131,339456,8,1048,-233.375,234.375,0.0,False
132,341483,8,1056,-252.375,253.375,0.0,False
133,343398,8,1064,-238.375,239.375,0.0,False
134,345292,8,1072,-235.75,236.75,0.0,False
135,347440,8,1080,-267.5,268.5,0.0,False
136,349533,8,1088,-260.625,261.625,0.0,False
137,351495,8,1096,-244.25,245.25,0.0,False
138,353662,8,1104,-270.0,270.875,0.0,False
139,355568,8,1112,-237.25,238.25,0.0,False
140,357974,8,1120,-299.75,300.75,0.0,False
141,360532,8,1128,-319.0,319.75,0.0,False
142,362497,8,1136,-244.625,245.625,0.0,False
143,364607,8,1144,-262.75,263.75,0.0,False
144,366636,8,1152,-252.625,253.625,0.0,False
145,368697,8,1160,-256.625,257.625,0.0,False
146,371041,8,1168,-292.0,293.0,0.0,False
147,372727,8,1176,-209.75,210.75,0.0,False
148,374993,8,1184,-282.25,283.25,0.0,False
149,376811,8,1192,-226.25,227.25,0.0,False
150,378899,8,1200,-260.0,261.0,0.0,False
151,380804,8,1208,-237.125,238.125,0.0,False
152,382711,8,1216,-237.375,238.375,0.0,False
153,384893,8,1224,-271.75,272.75,0.0,False
154,386881,8,1232,-247.5,248.5,0.0,False
155,388930,8,1240,-255.125,256.125,0.0,False
156,391033,8,1248,-262.0,262.875,0.0,False
157,392787,8,1256,-218.25,219.25,0.0,False
158,394636,8,1264,-230.125,231.125,0.0,False
159,396633,8,1272,-248.625,249.625,0.0,False
160,398542,8,1280,-237.625,238.625,0.0,False
161,400325,8,1288,-221.875,222.875,0.0,False
162,402165,8,1296,-229.0,230.0,0.0,False
163,404444,8,1304,-283.875,284.875,0.0,False
164,406509,8,1312,-257.125,258.125,0.0,False
165,408526,8,1320,-251.125,252.125,0.0,False
166,410640,8,1328,-263.25,264.25,0.0,False
167,412756,8,1336,-263.5,264.5,0.0,False
168,414893,8,1344,-266.125,267.125,0.0,False
169,416762,8,1352,-232.625,233.625,0.0,False
170,419103,8,1360,-291.75,292.625,0.0,False
171,420835,8,1368,-215.5,216.5,0.0,False
172,422821,8,1376,-247.25,248.25,0.0,False
173,424735,8,1384,-238.25,239.25,0.0,False
174,426810,8,1392,-258.375,259.375,0.0,False
175,428875,8,1400,-257.125,258.125,0.0,False
176,430472,8,1408,-198.625,199.625,0.0,False
177,432556,8,1416,-259.5,260.5,0.0,False
178,434355,8,1424,-223.875,224.875,0.0,False
179,436482,8,1432,-265.0,265.875,0.0,False
180,438734,8,1440,-280.625,281.5,0.0,False
181,440678,8,1448,-242.0,243.0,0.0,False
182,442461,8,1456,-221.875,222.875,0.0,False
183,444379,8,1464,-238.75,239.75,0.0,False
184,446060,8,1472,-209.125,210.125,0.0,False
185,448085,8,1480,-252.125,253.125,0.0,False
186,450360,8,1488,-283.5,284.375,0.0,False
187,452086,8,1496,-214.75,215.75,0.0,False
188,454004,8,1504,-238.75,239.75,0.0,False
189,455871,8,1512,-232.375,233.375,0.0,False
190,458042,8,1520,-270.375,271.375,0.0,False
191,459957,8,1528,-238.375,239.375,0.0,False
192,462208,8,1536,-280.375,281.375,0.0,False
193,464236,8,1544,-252.5,253.5,0.0,False
194,466457,8,1552,-276.625,277.625,0.0,False
195,468324,8,1560,-232.375,233.375,0.0,False
196,470429,8,1568,-262.125,263.125,0.0,False
197,472500,8,1576,-257.875,258.875,0.0,False
198,474700,8,1584,-274.0,275.0,0.0,False
199,476917,8,1592,-276.25,277.125,0.0,False
200,478810,8,1600,-235.625,236.625,0.0,False
201,480904,8,1608,-260.75,261.75,0.0,False
202,482657,8,1616,-218.125,219.125,0.0,False
203,484490,8,1624,-228.125,229.125,0.0,False
204,486681,8,1632,-272.875,273.875,0.0,False
205,488627,8,1640,-242.25,243.25,0.0,False
206,490576,8,1648,-242.625,243.625,0.0,False
207,493266,8,1656,-335.375,336.25,0.0,False
208,495443,8,1664,-271.25,272.125,0.0,False
209,497572,8,1672,-265.125,266.125,0.0,False
210,500033,8,1680,-306.75,307.625,0.0,False
211,502020,8,1688,-247.375,248.375,0.0,False
212,504255,8,1696,-278.375,279.375,0.0,False
213,506409,8,1704,-268.375,269.25,0.0,False
214,508634,8,1712,-277.125,278.125,0.0,False
215,510608,8,1720,-245.75,246.75,0.0,False
216,512812,8,1728,-274.625,275.5,0.0,False
217,514479,8,1736,-207.375,208.375,0.0,False
218,516377,8,1744,-236.25,237.25,0.0,False
219,518362,8,1752,-247.125,248.125,0.0,False
220,520144,8,1760,-221.75,222.75,0.0,False
221,522112,8,1768,-245.0,246.0,0.0,False
222,523751,8,1776,-203.875,204.875,0.0,False
223,525594,8,1784,-229.375,230.375,0.0,False
224,527416,8,1792,-226.75,227.75,0.0,False
225,529249,8,1800,-228.125,229.125,0.0,False
226,531079,8,1808,-227.75,228.75,0.0,False
227,532916,8,1816,-228.625,229.625,0.0,False
228,534708,8,1824,-223.0,224.0,0.0,False
229,536495,8,1832,-222.375,223.375,0.0,False
230,538368,8,1840,-233.125,234.125,0.0,False
231,539934,8,1848,-194.75,195.75,0.0,False
232,541929,8,1856,-248.5,249.375,0.0,False
233,543906,8,1864,-246.125,247.125,0.0,False
234,545627,8,1872,-214.125,215.125,0.0,False
235,547299,8,1880,-208.0,209.0,0.0,False
236,549138,8,1888,-228.875,229.875,0.0,False
237,551064,8,1896,-239.875,240.75,0.0,False
238,553271,8,1904,-274.875,275.875,0.0,False
239,555078,8,1912,-224.875,225.875,0.0,False
240,556775,8,1920,-211.125,212.125,0.0,False
241,558752,8,1928,-246.125,247.125,0.0,False
242,560759,8,1936,-250.0,250.875,0.0,False
243,562662,8,1944,-236.875,237.875,0.0,False
244,564818,8,1952,-268.5,269.5,0.0,False
245,566997,8,1960,-271.375,272.375,0.0,False
246,568805,8,1968,-225.0,226.0,0.0,False
247,570860,8,1976,-255.875,256.875,0.0,False
248,572732,8,1984,-233.0,234.0,0.0,False
249,574494,8,1992,-219.375,220.25,0.0,False
250,576309,8,2000,-225.875,226.875,0.0,False
251,578099,8,2008,-222.75,223.75,0.0,False
252,580245,8,2016,-267.25,268.25,0.0,False
253,582100,8,2024,-230.875,231.875,0.0,False
254,584365,8,2032,-282.125,283.125,0.0,False
255,586465,8,2040,-261.5,262.5,0.0,False
256,588071,8,2048,-199.75,200.75,0.0,False
257,590017,8,2056,-242.25,243.25,0.0,False
258,592407,8,2064,-297.875,298.75,0.0,False
259,594212,8,2072,-224.625,225.625,0.0,False
260,596011,8,2080,-223.875,224.875,0.0,False
261,597845,8,2088,-228.25,229.25,0.0,False
262,600234,8,2096,-297.625,298.625,0.0,False
263,601980,8,2104,-217.25,218.25,0.0,False
