environment,method,seed,update,environment_steps,deterministic_return,stochastic_return,deterministic_return_standard_deviation,stochastic_return_standard_deviation,episode_length,deterministic_termination_rate,stochastic_termination_rate,entropy,mean_min_probability,global_min_probability,barrier_value,beta,barrier_active
Acrobot-v1,gpomdp_logbarrier_fixed,403,0,0,-500.0,-500.0,0.0,0.0,500.0,0.0,0.0,1.0794130563735962,0.24599295854568481,0.21149347722530365,-1.118955373764038,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,403,50,25000,-500.0,-498.21875,0.0,7.065291697742815,500.0,0.0,0.0625,1.086946725845337,0.26833784580230713,0.228970006108284,-1.110672950744629,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,403,100,50000,-500.0,-499.3125,0.0,3.8890872965260113,500.0,0.0,0.03125,1.0961427688598633,0.3060843050479889,0.2628245949745178,-1.101112723350525,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,403,150,75000,-500.0,-498.28125,0.0,9.722718241315029,500.0,0.0,0.03125,1.0964624881744385,0.3099765479564667,0.2700682282447815,-1.1007665395736694,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,403,200,100000,-500.0,-491.875,0.0,35.52804435208714,500.0,0.0,0.0625,1.0971386432647705,0.3142220377922058,0.2603282630443573,-1.1001009941101074,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,403,250,125000,-97.625,-493.59375,21.185433218255447,23.743059257459343,98.625,1.0,0.125,1.0962787866592407,0.3131665289402008,0.25268271565437317,-1.1009286642074585,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,403,300,150000,-199.34375,-414.125,177.41524271260965,77.82186026743302,200.125,0.78125,0.75,1.0875040292739868,0.28433510661125183,0.21288228034973145,-1.1098467111587524,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,403,350,175000,-124.84375,-245.78125,106.5930184044933,60.86088546046843,125.78125,0.9375,1.0,1.0418846607208252,0.22421209514141083,0.14217877388000488,-1.157374382019043,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,403,400,200000,-90.09375,-235.53125,19.452770554809526,35.74008716616625,91.09375,1.0,1.0,1.0446174144744873,0.235270693898201,0.15194809436798096,-1.1529841423034668,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,403,450,225000,-80.75,-205.09375,16.317415987714753,37.315014166660376,81.75,1.0,1.0,1.034561038017273,0.22220389544963837,0.13412538170814514,-1.1649751663208008,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,403,500,250000,-90.40625,-267.96875,46.19025129306107,67.34575417083626,91.40625,1.0,1.0,1.0505993366241455,0.24049513041973114,0.15106317400932312,-1.1470433473587036,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,403,550,275000,-77.5625,-253.90625,9.577990563046429,63.57081871374226,78.5625,1.0,1.0,1.0541927814483643,0.2416577935218811,0.14411838352680206,-1.144469141960144,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,403,600,300000,-79.6875,-232.8125,13.039487175746277,64.44774702636387,80.6875,1.0,0.96875,1.0478407144546509,0.2335899919271469,0.13673460483551025,-1.1512773036956787,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,403,650,325000,-97.375,-211.0,38.60365184129438,39.228034741462885,98.375,1.0,1.0,1.0359922647476196,0.2274668663740158,0.12686830759048462,-1.1631628274917603,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,403,700,350000,-87.53125,-233.125,15.965657447845219,46.05379042927114,88.53125,1.0,1.0,1.0459928512573242,0.2336530089378357,0.1370985507965088,-1.1530239582061768,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,403,750,375000,-80.375,-208.125,10.682364121570021,34.740280608742836,81.375,1.0,1.0,1.0359325408935547,0.23006269335746765,0.14149110019207,-1.1621323823928833,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,403,800,400000,-82.71875,-265.5,14.891509542407475,91.45561236063135,83.71875,1.0,0.9375,1.046018123626709,0.238474503159523,0.14924006164073944,-1.151332139968872,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,403,850,425000,-84.0,-237.5625,8.680716485963439,54.054296179710555,85.0,1.0,1.0,1.0536543130874634,0.2464289367198944,0.15730033814907074,-1.1435506343841553,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,403,900,450000,-199.34375,-247.3125,184.51778642739166,69.65464924389701,200.09375,0.75,0.96875,1.0489928722381592,0.2402682602405548,0.15891879796981812,-1.148296594619751,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,403,950,475000,-86.875,-231.1875,24.464259645450134,38.393075232474565,87.875,1.0,1.0,1.0377295017242432,0.22951640188694,0.14153969287872314,-1.160697102546692,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,403,1000,500000,-87.5,-234.34375,21.648213812929754,48.351274710487544,88.5,1.0,1.0,1.0516008138656616,0.2400757521390915,0.1457459181547165,-1.1468309164047241,546.4135158976487,True
