update,environment_steps,batch_training_episodes,cumulative_training_episodes,training_return,training_episode_length,beta,barrier_active
1,4000,8,8,-500.0,500.0,546.4135158976487,True
2,8000,8,16,-500.0,500.0,546.4135158976487,True
3,12000,8,24,-500.0,500.0,546.4135158976487,True
4,16000,8,32,-500.0,500.0,546.4135158976487,True
5,20000,8,40,-500.0,500.0,546.4135158976487,True
6,24000,8,48,-500.0,500.0,546.4135158976487,True
7,28000,8,56,-500.0,500.0,546.4135158976487,True
8,31762,8,64,-470.125,470.25,546.4135158976487,True
9,35762,8,72,-500.0,500.0,546.4135158976487,True
10,39597,8,80,-479.25,479.375,546.4135158976487,True
11,43597,8,88,-500.0,500.0,546.4135158976487,True
12,47597,8,96,-500.0,500.0,546.4135158976487,True
13,51597,8,104,-500.0,500.0,546.4135158976487,True
14,55597,8,112,-500.0,500.0,546.4135158976487,True
15,59597,8,120,-500.0,500.0,546.4135158976487,True
16,63597,8,128,-500.0,500.0,546.4135158976487,True
17,67597,8,136,-500.0,500.0,546.4135158976487,True
18,71597,8,144,-500.0,500.0,546.4135158976487,True
19,75597,8,152,-500.0,500.0,546.4135158976487,True
20,79597,8,160,-500.0,500.0,546.4135158976487,True
21,83597,8,168,-500.0,500.0,546.4135158976487,True
22,87580,8,176,-497.75,497.875,546.4135158976487,True
23,91580,8,184,-500.0,500.0,546.4135158976487,True
24,95580,8,192,-500.0,500.0,546.4135158976487,True
25,99580,8,200,-500.0,500.0,546.4135158976487,True
26,103580,8,208,-500.0,500.0,546.4135158976487,True
27,107580,8,216,-500.0,500.0,546.4135158976487,True
28,111580,8,224,-500.0,500.0,546.4135158976487,True
29,115580,8,232,-500.0,500.0,546.4135158976487,True
30,119580,8,240,-500.0,500.0,546.4135158976487,True
31,123580,8,248,-500.0,500.0,546.4135158976487,True
32,127501,8,256,-490.0,490.125,546.4135158976487,True
33,131421,8,264,-489.875,490.0,546.4135158976487,True
34,135421,8,272,-500.0,500.0,546.4135158976487,True
35,139421,8,280,-500.0,500.0,546.4135158976487,True
36,143421,8,288,-500.0,500.0,546.4135158976487,True
37,147421,8,296,-500.0,500.0,546.4135158976487,True
38,151421,8,304,-500.0,500.0,546.4135158976487,True
39,155421,8,312,-500.0,500.0,546.4135158976487,True
40,159421,8,320,-500.0,500.0,546.4135158976487,True
41,163421,8,328,-500.0,500.0,546.4135158976487,True
42,167421,8,336,-500.0,500.0,546.4135158976487,True
43,171421,8,344,-500.0,500.0,546.4135158976487,True
44,175421,8,352,-500.0,500.0,546.4135158976487,True
45,179421,8,360,-500.0,500.0,546.4135158976487,True
46,183421,8,368,-500.0,500.0,546.4135158976487,True
47,187421,8,376,-500.0,500.0,546.4135158976487,True
48,191421,8,384,-500.0,500.0,546.4135158976487,True
49,195421,8,392,-500.0,500.0,546.4135158976487,True
50,199421,8,400,-500.0,500.0,546.4135158976487,True
51,203421,8,408,-500.0,500.0,546.4135158976487,True
52,207421,8,416,-500.0,500.0,546.4135158976487,True
53,211421,8,424,-500.0,500.0,546.4135158976487,True
54,215421,8,432,-500.0,500.0,546.4135158976487,True
55,219321,8,440,-487.375,487.5,546.4135158976487,True
56,223321,8,448,-500.0,500.0,546.4135158976487,True
57,227321,8,456,-500.0,500.0,546.4135158976487,True
58,231321,8,464,-500.0,500.0,546.4135158976487,True
59,235321,8,472,-500.0,500.0,546.4135158976487,True
60,239321,8,480,-500.0,500.0,546.4135158976487,True
61,243321,8,488,-500.0,500.0,546.4135158976487,True
62,247321,8,496,-500.0,500.0,546.4135158976487,True
63,251321,8,504,-500.0,500.0,546.4135158976487,True
64,255321,8,512,-500.0,500.0,546.4135158976487,True
65,259321,8,520,-500.0,500.0,546.4135158976487,True
66,263321,8,528,-500.0,500.0,546.4135158976487,True
67,267321,8,536,-500.0,500.0,546.4135158976487,True
68,271321,8,544,-500.0,500.0,546.4135158976487,True
69,275285,8,552,-495.375,495.5,546.4135158976487,True
70,279285,8,560,-500.0,500.0,546.4135158976487,True
71,283285,8,568,-500.0,500.0,546.4135158976487,True
72,287285,8,576,-500.0,500.0,546.4135158976487,True
73,291285,8,584,-500.0,500.0,546.4135158976487,True
74,295285,8,592,-500.0,500.0,546.4135158976487,True
75,299285,8,600,-500.0,500.0,546.4135158976487,True
76,303285,8,608,-500.0,500.0,546.4135158976487,True
77,307285,8,616,-500.0,500.0,546.4135158976487,True
78,311285,8,624,-500.0,500.0,546.4135158976487,True
79,315285,8,632,-500.0,500.0,546.4135158976487,True
80,319285,8,640,-500.0,500.0,546.4135158976487,True
81,323285,8,648,-500.0,500.0,546.4135158976487,True
82,327285,8,656,-500.0,500.0,546.4135158976487,True
83,331285,8,664,-500.0,500.0,546.4135158976487,True
84,335285,8,672,-500.0,500.0,546.4135158976487,True
85,339285,8,680,-500.0,500.0,546.4135158976487,True
86,343285,8,688,-500.0,500.0,546.4135158976487,True
87,347285,8,696,-500.0,500.0,546.4135158976487,True
88,351285,8,704,-500.0,500.0,546.4135158976487,True
89,355285,8,712,-500.0,500.0,546.4135158976487,True
90,359285,8,720,-500.0,500.0,546.4135158976487,True
91,363285,8,728,-500.0,500.0,546.4135158976487,True
92,367285,8,736,-500.0,500.0,546.4135158976487,True
93,371285,8,744,-500.0,500.0,546.4135158976487,True
94,375285,8,752,-500.0,500.0,546.4135158976487,True
95,379285,8,760,-500.0,500.0,546.4135158976487,True
96,383285,8,768,-500.0,500.0,546.4135158976487,True
97,387285,8,776,-500.0,500.0,546.4135158976487,True
98,391285,8,784,-500.0,500.0,546.4135158976487,True
99,395285,8,792,-500.0,500.0,546.4135158976487,True
100,399285,8,800,-500.0,500.0,546.4135158976487,True
101,403285,8,808,-500.0,500.0,546.4135158976487,True
102,407285,8,816,-500.0,500.0,546.4135158976487,True
103,411285,8,824,-500.0,500.0,546.4135158976487,True
104,415285,8,832,-500.0,500.0,546.4135158976487,True
105,419285,8,840,-500.0,500.0,546.4135158976487,True
106,423285,8,848,-500.0,500.0,546.4135158976487,True
107,427285,8,856,-500.0,500.0,546.4135158976487,True
108,431285,8,864,-500.0,500.0,546.4135158976487,True
109,435285,8,872,-500.0,500.0,546.4135158976487,True
110,439285,8,880,-500.0,500.0,546.4135158976487,True
111,443285,8,888,-500.0,500.0,546.4135158976487,True
112,447285,8,896,-500.0,500.0,546.4135158976487,True
113,451285,8,904,-500.0,500.0,546.4135158976487,True
114,455285,8,912,-500.0,500.0,546.4135158976487,True
115,459285,8,920,-500.0,500.0,546.4135158976487,True
116,463285,8,928,-500.0,500.0,546.4135158976487,True
117,467285,8,936,-500.0,500.0,546.4135158976487,True
118,471285,8,944,-500.0,500.0,546.4135158976487,True
119,475285,8,952,-500.0,500.0,546.4135158976487,True
120,479285,8,960,-500.0,500.0,546.4135158976487,True
121,483285,8,968,-500.0,500.0,546.4135158976487,True
122,487285,8,976,-500.0,500.0,546.4135158976487,True
123,491285,8,984,-500.0,500.0,546.4135158976487,True
124,495285,8,992,-500.0,500.0,546.4135158976487,True
125,499285,8,1000,-500.0,500.0,546.4135158976487,True
126,503285,8,1008,-500.0,500.0,546.4135158976487,True
127,507285,8,1016,-500.0,500.0,546.4135158976487,True
