environment,method,seed,update,environment_steps,deterministic_return,stochastic_return,deterministic_return_standard_deviation,stochastic_return_standard_deviation,episode_length,deterministic_termination_rate,stochastic_termination_rate,entropy,mean_min_probability,global_min_probability,barrier_value,beta,barrier_active
Acrobot-v1,gpomdp_logbarrier_handoff,404,0,0,-500.0,-499.125,0.0,4.949747468305833,500.0,0.0,0.03125,1.044655442237854,0.20673246681690216,0.17255328595638275,-1.1551530361175537,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_handoff,404,50,25000,-140.84375,-321.90625,97.28213355012582,77.88053687663914,141.78125,0.9375,0.96875,1.0497781038284302,0.2588632106781006,0.1593974083662033,-1.146535038948059,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_handoff,404,100,50000,-82.34375,-259.65625,20.144012758137343,54.68420151342882,83.34375,1.0,1.0,1.0543254613876343,0.2499610185623169,0.15228109061717987,-1.1428085565567017,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_handoff,404,150,75000,-78.75,-233.40625,7.295601856708801,66.32270052432055,79.75,1.0,0.96875,1.040389895439148,0.2358672171831131,0.1369621753692627,-1.1577335596084595,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_handoff,404,200,100000,-271.8125,-247.5,204.67305754268432,69.48427531556354,272.375,0.5625,0.96875,1.050381064414978,0.23609046638011932,0.14479607343673706,-1.147871971130371,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_handoff,404,249,124500,-81.09375,-248.3125,6.092615175556335,60.008299157216044,82.09375,1.0,1.0,1.0521888732910156,0.2482309490442276,0.1567937582731247,-1.1446577310562134,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_handoff,404,250,125000,-84.8125,-266.9375,16.824401441684863,67.02331683824667,85.8125,1.0,0.96875,1.0490068197250366,0.2443789839744568,0.1545238047838211,-1.1480070352554321,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,404,251,125500,-85.03125,-254.03125,18.84484078451045,72.44463264029362,86.03125,1.0,0.96875,1.0486727952957153,0.2438369244337082,0.15384645760059357,-1.1483885049819946,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,404,300,150000,-83.75,-140.03125,12.623582641614757,63.46778932858828,84.75,1.0,1.0,0.8094555139541626,0.12491682916879654,0.04763466864824295,-1.4355722665786743,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,404,350,175000,-84.28125,-112.40625,17.193836808390046,40.724772024550525,85.28125,1.0,1.0,0.6567245125770569,0.08603024482727051,0.021596286445856094,-1.6877317428588867,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,404,400,200000,-85.375,-105.28125,14.41940896287742,39.198612858110174,86.375,1.0,1.0,0.5437479019165039,0.06200985983014107,0.013914349488914013,-1.9045573472976685,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,404,450,225000,-87.65625,-101.09375,28.843973346040535,31.523017064340614,88.65625,1.0,1.0,0.4646393954753876,0.04746519401669502,0.009037633426487446,-2.099961519241333,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,404,500,250000,-84.90625,-103.0625,12.776892890506826,74.14803740904343,85.90625,1.0,0.96875,0.38969677686691284,0.03909212723374367,0.005816461052745581,-2.3157670497894287,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,404,550,275000,-79.53125,-88.46875,11.08321711475974,20.849668327214193,80.53125,1.0,1.0,0.3762296140193939,0.03659657761454582,0.004997315816581249,-2.3659987449645996,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,404,600,300000,-89.84375,-91.3125,29.966765865732206,29.99186717718978,90.84375,1.0,1.0,0.3418046832084656,0.0333484411239624,0.003745867870748043,-2.501471757888794,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,404,650,325000,-81.1875,-84.40625,18.539300018104523,11.815406495130047,82.1875,1.0,1.0,0.3187709152698517,0.03197358176112175,0.00251743639819324,-2.654324769973755,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,404,700,350000,-80.53125,-85.90625,13.065552776474432,21.171129725901917,81.53125,1.0,1.0,0.278352826833725,0.025571340695023537,0.0018795867217704654,-2.821070432662964,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,404,750,375000,-87.1875,-107.375,19.038903295874935,84.61554421370015,88.1875,1.0,0.96875,0.241024911403656,0.019079292193055153,0.0015989625826478004,-2.983830213546753,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,404,800,400000,-86.75,-90.8125,17.288817941272086,29.94989094707918,87.75,1.0,1.0,0.2189662605524063,0.018264692276716232,0.0011825955007225275,-3.0907914638519287,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,404,850,425000,-81.71875,-83.53125,15.911518195644392,15.110313450774115,82.71875,1.0,1.0,0.23451751470565796,0.020820287987589836,0.001149781048297882,-3.0439512729644775,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,404,900,450000,-141.375,-85.21875,131.0638234084891,13.243950231782641,142.28125,0.90625,1.0,0.2302655577659607,0.020619353279471397,0.0009638045448809862,-3.1055192947387695,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,404,950,475000,-87.625,-87.125,23.13181024393228,32.28976668014287,88.625,1.0,1.0,0.1959119439125061,0.016905352473258972,0.0007672699866816401,-3.27138352394104,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,404,1000,500000,-87.53125,-78.21875,15.896813182359498,12.530567463915668,88.53125,1.0,1.0,0.20485299825668335,0.018593640998005867,0.0007225876906886697,-3.2544023990631104,0.0,False
