update,environment_steps,batch_training_episodes,cumulative_training_episodes,training_return,training_episode_length,beta,barrier_active
1,4000,8,8,-500.0,500.0,0.0,False
2,7982,8,16,-497.625,497.75,0.0,False
3,11982,8,24,-500.0,500.0,0.0,False
4,15980,8,32,-499.625,499.75,0.0,False
5,19980,8,40,-500.0,500.0,0.0,False
6,23955,8,48,-496.75,496.875,0.0,False
7,27591,8,56,-454.125,454.5,0.0,False
8,31555,8,64,-495.375,495.5,0.0,False
9,35555,8,72,-500.0,500.0,0.0,False
10,39444,8,80,-486.0,486.125,0.0,False
11,43440,8,88,-499.375,499.5,0.0,False
12,47333,8,96,-486.5,486.625,0.0,False
13,51333,8,104,-500.0,500.0,0.0,False
14,55331,8,112,-499.625,499.75,0.0,False
15,59171,8,120,-479.75,480.0,0.0,False
16,63171,8,128,-500.0,500.0,0.0,False
17,67124,8,136,-494.0,494.125,0.0,False
18,71101,8,144,-497.0,497.125,0.0,False
19,75077,8,152,-496.875,497.0,0.0,False
20,79077,8,160,-500.0,500.0,0.0,False
21,82847,8,168,-471.0,471.25,0.0,False
22,86560,8,176,-463.875,464.125,0.0,False
23,90560,8,184,-500.0,500.0,0.0,False
24,94469,8,192,-488.5,488.625,0.0,False
25,98433,8,200,-495.375,495.5,0.0,False
26,102263,8,208,-478.375,478.75,0.0,False
27,106263,8,216,-500.0,500.0,0.0,False
28,110263,8,224,-500.0,500.0,0.0,False
29,113925,8,232,-457.375,457.75,0.0,False
30,117925,8,240,-500.0,500.0,0.0,False
31,121925,8,248,-500.0,500.0,0.0,False
32,125574,8,256,-455.625,456.125,0.0,False
33,129030,8,264,-431.5,432.0,0.0,False
34,132973,8,272,-492.75,492.875,0.0,False
35,136817,8,280,-480.25,480.5,0.0,False
36,140707,8,288,-486.125,486.25,0.0,False
37,144527,8,296,-477.125,477.5,0.0,False
38,148401,8,304,-484.0,484.25,0.0,False
39,152126,8,312,-465.25,465.625,0.0,False
40,155744,8,320,-451.875,452.25,0.0,False
41,159690,8,328,-493.0,493.25,0.0,False
42,163436,8,336,-468.125,468.25,0.0,False
43,167047,8,344,-450.75,451.375,0.0,False
44,170910,8,352,-482.625,482.875,0.0,False
45,174567,8,360,-456.75,457.125,0.0,False
46,178313,8,368,-468.0,468.25,0.0,False
47,182045,8,376,-466.25,466.5,0.0,False
48,185593,8,384,-443.125,443.5,0.0,False
49,189533,8,392,-492.25,492.5,0.0,False
50,192710,8,400,-396.375,397.125,0.0,False
51,196267,8,408,-444.125,444.625,0.0,False
52,199658,8,416,-423.25,423.875,0.0,False
53,202730,8,424,-383.0,384.0,0.0,False
54,206138,8,432,-425.25,426.0,0.0,False
55,209521,8,440,-422.125,422.875,0.0,False
56,212996,8,448,-433.5,434.375,0.0,False
57,216635,8,456,-454.5,454.875,0.0,False
58,219704,8,464,-382.75,383.625,0.0,False
59,222866,8,472,-394.375,395.25,0.0,False
60,225516,8,480,-330.25,331.25,0.0,False
61,228351,8,488,-353.625,354.375,0.0,False
62,231308,8,496,-368.625,369.625,0.0,False
63,234559,8,504,-405.5,406.375,0.0,False
64,237167,8,512,-325.125,326.0,0.0,False
65,239781,8,520,-325.75,326.75,0.0,False
66,242187,8,528,-299.75,300.75,0.0,False
67,244745,8,536,-318.875,319.75,0.0,False
68,247100,8,544,-293.375,294.375,0.0,False
69,249867,8,552,-345.0,345.875,0.0,False
70,252436,8,560,-320.125,321.125,0.0,False
71,254859,8,568,-301.875,302.875,0.0,False
72,257186,8,576,-289.875,290.875,0.0,False
73,259310,8,584,-264.5,265.5,0.0,False
74,261503,8,592,-273.125,274.125,0.0,False
75,263472,8,600,-245.125,246.125,0.0,False
76,265527,8,608,-255.875,256.875,0.0,False
77,267638,8,616,-263.0,263.875,0.0,False
78,269451,8,624,-225.625,226.625,0.0,False
79,271377,8,632,-239.875,240.75,0.0,False
80,273206,8,640,-227.625,228.625,0.0,False
81,275573,8,648,-295.125,295.875,0.0,False
82,277109,8,656,-191.0,192.0,0.0,False
83,279141,8,664,-253.125,254.0,0.0,False
84,280693,8,672,-193.0,194.0,0.0,False
85,282250,8,680,-193.625,194.625,0.0,False
86,284061,8,688,-225.5,226.375,0.0,False
87,285474,8,696,-175.625,176.625,0.0,False
88,287148,8,704,-208.25,209.25,0.0,False
89,288936,8,712,-222.625,223.5,0.0,False
90,290369,8,720,-178.125,179.125,0.0,False
91,291805,8,728,-178.5,179.5,0.0,False
92,293204,8,736,-173.875,174.875,0.0,False
93,294703,8,744,-186.375,187.375,0.0,False
94,296235,8,752,-190.5,191.5,0.0,False
95,297711,8,760,-183.5,184.5,0.0,False
96,299109,8,768,-173.75,174.75,0.0,False
97,300654,8,776,-192.125,193.125,0.0,False
98,302570,8,784,-238.5,239.5,0.0,False
99,303894,8,792,-164.5,165.5,0.0,False
100,305313,8,800,-176.375,177.375,0.0,False
101,306642,8,808,-165.125,166.125,0.0,False
102,308100,8,816,-181.25,182.25,0.0,False
103,309742,8,824,-204.25,205.25,0.0,False
104,310962,8,832,-151.5,152.5,0.0,False
105,312241,8,840,-158.875,159.875,0.0,False
106,313599,8,848,-168.75,169.75,0.0,False
107,315015,8,856,-176.0,177.0,0.0,False
108,316256,8,864,-154.125,155.125,0.0,False
109,317608,8,872,-168.0,169.0,0.0,False
110,318899,8,880,-160.375,161.375,0.0,False
111,320201,8,888,-161.75,162.75,0.0,False
112,321558,8,896,-168.625,169.625,0.0,False
113,322752,8,904,-148.25,149.25,0.0,False
114,323938,8,912,-147.25,148.25,0.0,False
115,325108,8,920,-145.25,146.25,0.0,False
116,326466,8,928,-168.75,169.75,0.0,False
117,327619,8,936,-143.125,144.125,0.0,False
118,328719,8,944,-136.5,137.5,0.0,False
119,329838,8,952,-138.875,139.875,0.0,False
120,330774,8,960,-116.0,117.0,0.0,False
121,331912,8,968,-141.25,142.25,0.0,False
122,332984,8,976,-133.0,134.0,0.0,False
123,334075,8,984,-135.375,136.375,0.0,False
124,335126,8,992,-130.375,131.375,0.0,False
125,336203,8,1000,-133.625,134.625,0.0,False
126,337519,8,1008,-163.5,164.5,0.0,False
127,338906,8,1016,-172.5,173.375,0.0,False
128,340055,8,1024,-142.625,143.625,0.0,False
129,341049,8,1032,-123.25,124.25,0.0,False
130,342215,8,1040,-144.75,145.75,0.0,False
131,343348,8,1048,-140.625,141.625,0.0,False
132,344292,8,1056,-117.0,118.0,0.0,False
133,345345,8,1064,-130.625,131.625,0.0,False
134,346386,8,1072,-129.125,130.125,0.0,False
135,347443,8,1080,-131.125,132.125,0.0,False
136,348506,8,1088,-131.875,132.875,0.0,False
137,349541,8,1096,-128.375,129.375,0.0,False
138,350567,8,1104,-127.25,128.25,0.0,False
139,351556,8,1112,-122.625,123.625,0.0,False
140,352620,8,1120,-132.0,133.0,0.0,False
141,353626,8,1128,-124.75,125.75,0.0,False
