environment,method,seed,update,environment_steps,deterministic_return,stochastic_return,deterministic_return_standard_deviation,stochastic_return_standard_deviation,episode_length,deterministic_termination_rate,stochastic_termination_rate,entropy,mean_min_probability,global_min_probability,barrier_value,beta,barrier_active
Acrobot-v1,gpomdp_reward_only,405,0,0,-500.0,-500.0,0.0,0.0,500.0,0.0,0.0,1.0520427227020264,0.2561340034008026,0.20082730054855347,-1.1435422897338867,0.0,False
Acrobot-v1,gpomdp_reward_only,405,50,25000,-500.0,-475.625,0.0,41.487464099645265,500.0,0.0,0.34375,1.0627977848052979,0.2546144425868988,0.15819023549556732,-1.133955717086792,0.0,False
Acrobot-v1,gpomdp_reward_only,405,100,50000,-289.8125,-223.03125,157.37021021945714,42.174357271810585,290.46875,0.65625,1.0,0.9829992651939392,0.1597243845462799,0.08002975583076477,-1.233173131942749,0.0,False
Acrobot-v1,gpomdp_reward_only,405,150,75000,-103.9375,-128.4375,79.54667426798417,22.9134944040941,104.90625,0.96875,1.0,0.8351667523384094,0.10129451006650925,0.03233135864138603,-1.4565062522888184,0.0,False
Acrobot-v1,gpomdp_reward_only,405,200,100000,-125.4375,-120.6875,123.18644078610433,26.76111466408894,126.34375,0.90625,1.0,0.7476967573165894,0.07945355027914047,0.021158842369914055,-1.6067713499069214,0.0,False
Acrobot-v1,gpomdp_reward_only,405,250,125000,-85.40625,-113.3125,21.668855865414976,21.984507008052212,86.40625,1.0,1.0,0.6645528078079224,0.06488222628831863,0.013189058750867844,-1.7669254541397095,0.0,False
Acrobot-v1,gpomdp_reward_only,405,300,150000,-257.1875,-116.78125,204.44518746456066,73.2497866891092,257.78125,0.59375,0.96875,0.5719192624092102,0.05006680265069008,0.007256462704390287,-1.9680452346801758,0.0,False
Acrobot-v1,gpomdp_reward_only,405,350,175000,-83.09375,-97.3125,9.887624637279771,22.021159179591415,84.09375,1.0,1.0,0.5211150050163269,0.04768741503357887,0.0053107114508748055,-2.084728479385376,0.0,False
Acrobot-v1,gpomdp_reward_only,405,400,200000,-82.46875,-104.8125,10.398462587976569,35.01837075482783,83.46875,1.0,1.0,0.4840749502182007,0.03893560916185379,0.004809374455362558,-2.1884922981262207,0.0,False
Acrobot-v1,gpomdp_reward_only,405,450,225000,-78.8125,-90.53125,8.483142676945812,9.058891105677125,79.8125,1.0,1.0,0.4495724141597748,0.037808652967214584,0.0030039148405194283,-2.315673589706421,0.0,False
Acrobot-v1,gpomdp_reward_only,405,500,250000,-80.625,-95.59375,10.146507423898424,37.86210921906133,81.625,1.0,1.0,0.37909841537475586,0.03007092885673046,0.001906347693875432,-2.5467257499694824,0.0,False
Acrobot-v1,gpomdp_reward_only,405,550,275000,-108.375,-88.875,83.43889013581601,14.738035059646005,109.34375,0.96875,1.0,0.35839155316352844,0.029440827667713165,0.001534400274977088,-2.625369071960449,0.0,False
Acrobot-v1,gpomdp_reward_only,405,600,300000,-93.96875,-94.40625,35.20216669926129,21.31160425229531,94.96875,1.0,1.0,0.33475419878959656,0.027154743671417236,0.001342375879175961,-2.72432804107666,0.0,False
Acrobot-v1,gpomdp_reward_only,405,650,325000,-87.5,-88.28125,25.588555909788795,18.963861004382743,88.5,1.0,1.0,0.334087997674942,0.029524406418204308,0.0011685258941724896,-2.7509663105010986,0.0,False
Acrobot-v1,gpomdp_reward_only,405,700,350000,-81.3125,-91.21875,11.191694789354493,24.074795245838175,82.3125,1.0,1.0,0.2986832559108734,0.02440231665968895,0.0008197907009162009,-2.916229724884033,0.0,False
Acrobot-v1,gpomdp_reward_only,405,750,375000,-80.84375,-104.90625,10.261451117276643,57.74155957032078,81.84375,1.0,1.0,0.2760057747364044,0.022514307871460915,0.0006588079268112779,-3.0536446571350098,0.0,False
Acrobot-v1,gpomdp_reward_only,405,800,400000,-76.75,-82.8125,9.794666092877682,12.890200078529276,77.75,1.0,1.0,0.2621735632419586,0.021603278815746307,0.00046611163998022676,-3.1550817489624023,0.0,False
Acrobot-v1,gpomdp_reward_only,405,850,425000,-99.375,-96.4375,76.49952561522744,25.818145032190554,100.34375,0.96875,1.0,0.2172609567642212,0.016708703711628914,0.0003780078259296715,-3.40600323677063,0.0,False
Acrobot-v1,gpomdp_reward_only,405,900,450000,-88.84375,-84.59375,24.84417160831139,13.630751227729823,89.84375,1.0,1.0,0.21780794858932495,0.016844172030687332,0.00027141885948367417,-3.4705679416656494,0.0,False
Acrobot-v1,gpomdp_reward_only,405,950,475000,-84.4375,-84.5,24.891943896926612,18.001792025491024,85.4375,1.0,1.0,0.20771735906600952,0.01607327349483967,0.00025200509116984904,-3.5410141944885254,0.0,False
Acrobot-v1,gpomdp_reward_only,405,1000,500000,-82.84375,-87.28125,13.704506852291917,24.98416837428932,83.84375,1.0,1.0,0.21243178844451904,0.01828688383102417,0.0002383627725066617,-3.5286333560943604,0.0,False
