update,environment_steps,reward_gradient_norm,barrier_gradient_norm,regularizer_gradient_norm,reward_regularizer_cosine,cosine_defined,beta
0,0,200.47787475585938,0.2579931318759918,0.0,nan,False,0.0
1,4000,423.2683410644531,0.2658422589302063,0.0,nan,False,0.0
2,8000,155.81898498535156,0.26746705174446106,0.0,nan,False,0.0
3,12000,195.64967346191406,0.262760192155838,0.0,nan,False,0.0
4,16000,269.3551940917969,0.25803089141845703,0.0,nan,False,0.0
5,20000,279.3562316894531,0.2528759241104126,0.0,nan,False,0.0
6,24000,154.66871643066406,0.24639329314231873,0.0,nan,False,0.0
7,28000,214.1016082763672,0.24219903349876404,0.0,nan,False,0.0
8,32000,146.67298889160156,0.23703432083129883,0.0,nan,False,0.0
9,36000,108.39505004882812,0.23289242386817932,0.0,nan,False,0.0
10,40000,300.1815185546875,0.22963868081569672,0.0,nan,False,0.0
11,44000,202.6058349609375,0.223791241645813,0.0,nan,False,0.0
12,48000,222.00338745117188,0.2202414572238922,0.0,nan,False,0.0
13,52000,240.4281463623047,0.21650618314743042,0.0,nan,False,0.0
14,56000,334.0258483886719,0.21528354287147522,0.0,nan,False,0.0
15,60000,325.7277526855469,0.21163155138492584,0.0,nan,False,0.0
16,64000,256.5043029785156,0.20880453288555145,0.0,nan,False,0.0
17,68000,245.88182067871094,0.20920519530773163,0.0,nan,False,0.0
18,72000,147.8111572265625,0.20556241273880005,0.0,nan,False,0.0
19,75933,161.4342803955078,0.20330214500427246,0.0,nan,False,0.0
20,79933,204.79225158691406,0.19964997470378876,0.0,nan,False,0.0
21,83933,309.3697814941406,0.19836106896400452,0.0,nan,False,0.0
22,87933,296.9606628417969,0.19971828162670135,0.0,nan,False,0.0
23,91933,275.0645751953125,0.2035313993692398,0.0,nan,False,0.0
24,95895,226.5855255126953,0.2058844119310379,0.0,nan,False,0.0
25,99895,256.9870910644531,0.20585528016090393,0.0,nan,False,0.0
26,103895,237.95379638671875,0.20867888629436493,0.0,nan,False,0.0
27,107895,196.81143188476562,0.20610438287258148,0.0,nan,False,0.0
28,111895,220.78208923339844,0.21054093539714813,0.0,nan,False,0.0
29,115859,313.20745849609375,0.20742690563201904,0.0,nan,False,0.0
30,119785,266.9577331542969,0.20889827609062195,0.0,nan,False,0.0
31,123537,215.1748809814453,0.20551636815071106,0.0,nan,False,0.0
32,127537,413.1827392578125,0.20348410308361053,0.0,nan,False,0.0
33,131380,226.41246032714844,0.20289233326911926,0.0,nan,False,0.0
34,135306,253.39385986328125,0.211957186460495,0.0,nan,False,0.0
35,139306,274.3583679199219,0.20255276560783386,0.0,nan,False,0.0
36,143306,155.1508331298828,0.2127733677625656,0.0,nan,False,0.0
37,147168,243.69700622558594,0.21064941585063934,0.0,nan,False,0.0
38,151093,212.1326446533203,0.21009138226509094,0.0,nan,False,0.0
39,155093,260.31634521484375,0.20621657371520996,0.0,nan,False,0.0
40,159093,193.2233123779297,0.2115228772163391,0.0,nan,False,0.0
41,163093,270.3616943359375,0.20412111282348633,0.0,nan,False,0.0
42,167093,350.8550720214844,0.20649133622646332,0.0,nan,False,0.0
43,171093,253.70037841796875,0.21211637556552887,0.0,nan,False,0.0
44,174852,135.4193572998047,0.21148823201656342,0.0,nan,False,0.0
45,178852,287.6716003417969,0.21347598731517792,0.0,nan,False,0.0
46,182689,332.37518310546875,0.19660063087940216,0.0,nan,False,0.0
47,186552,323.2776184082031,0.22074629366397858,0.0,nan,False,0.0
48,190164,275.1688232421875,0.19041411578655243,0.0,nan,False,0.0
49,194164,361.8887023925781,0.21035529673099518,0.0,nan,False,0.0
50,197915,335.82861328125,0.20845161378383636,0.0,nan,False,0.0
51,201748,366.3392028808594,0.2094496637582779,0.0,nan,False,0.0
52,205741,287.3268737792969,0.1972411870956421,0.0,nan,False,0.0
53,209662,207.2726287841797,0.18444925546646118,0.0,nan,False,0.0
54,213467,243.76622009277344,0.19625815749168396,0.0,nan,False,0.0
55,217454,360.89453125,0.20159074664115906,0.0,nan,False,0.0
56,221281,183.2217254638672,0.2027393877506256,0.0,nan,False,0.0
57,225105,379.9374084472656,0.18472711741924286,0.0,nan,False,0.0
58,228870,457.3247375488281,0.18293984234333038,0.0,nan,False,0.0
59,232809,441.4178466796875,0.18412156403064728,0.0,nan,False,0.0
60,236341,319.90142822265625,0.18180571496486664,0.0,nan,False,0.0
61,239867,329.3720703125,0.17695151269435883,0.0,nan,False,0.0
62,243604,472.2776184082031,0.20095805823802948,0.0,nan,False,0.0
63,246993,380.8507995605469,0.1864996701478958,0.0,nan,False,0.0
64,249879,238.77490234375,0.1825350672006607,0.0,nan,False,0.0
65,253349,311.0971984863281,0.1784173548221588,0.0,nan,False,0.0
66,256973,535.498779296875,0.18639907240867615,0.0,nan,False,0.0
67,260488,233.10791015625,0.1877259910106659,0.0,nan,False,0.0
68,263739,272.3309020996094,0.19943386316299438,0.0,nan,False,0.0
69,267429,213.10806274414062,0.1900997757911682,0.0,nan,False,0.0
70,271047,213.9303741455078,0.1989288032054901,0.0,nan,False,0.0
71,273844,429.7247619628906,0.18081648647785187,0.0,nan,False,0.0
72,277112,180.31752014160156,0.19411836564540863,0.0,nan,False,0.0
73,280090,307.2731628417969,0.20350046455860138,0.0,nan,False,0.0
74,283262,278.3707580566406,0.21973545849323273,0.0,nan,False,0.0
75,286461,400.6754455566406,0.21421180665493011,0.0,nan,False,0.0
76,289701,341.4444885253906,0.22884514927864075,0.0,nan,False,0.0
77,292614,505.4623718261719,0.22169512510299683,0.0,nan,False,0.0
78,295377,247.33154296875,0.23775732517242432,0.0,nan,False,0.0
79,297595,220.80380249023438,0.24151939153671265,0.0,nan,False,0.0
80,300123,390.4701232910156,0.23318898677825928,0.0,nan,False,0.0
81,302421,258.37628173828125,0.2577609121799469,0.0,nan,False,0.0
82,304638,293.70556640625,0.26458585262298584,0.0,nan,False,0.0
83,306964,208.69915771484375,0.25429248809814453,0.0,nan,False,0.0
84,309549,255.8546905517578,0.27862703800201416,0.0,nan,False,0.0
85,311615,219.32156372070312,0.27726811170578003,0.0,nan,False,0.0
86,313687,280.9116516113281,0.2997032105922699,0.0,nan,False,0.0
87,316059,145.10023498535156,0.31472426652908325,0.0,nan,False,0.0
88,318238,329.6499938964844,0.3028213083744049,0.0,nan,False,0.0
89,320155,154.9258575439453,0.33101049065589905,0.0,nan,False,0.0
90,321955,206.41661071777344,0.3224445581436157,0.0,nan,False,0.0
91,324443,316.34259033203125,0.32975712418556213,0.0,nan,False,0.0
92,326160,117.32292938232422,0.3365057110786438,0.0,nan,False,0.0
93,327890,204.23190307617188,0.32077890634536743,0.0,nan,False,0.0
94,329697,346.149169921875,0.3650076389312744,0.0,nan,False,0.0
95,331568,166.16944885253906,0.37874168157577515,0.0,nan,False,0.0
96,333595,197.89356994628906,0.3744816482067108,0.0,nan,False,0.0
97,335363,219.7615203857422,0.40971609950065613,0.0,nan,False,0.0
98,336925,232.01260375976562,0.3977397084236145,0.0,nan,False,0.0
99,338581,240.75816345214844,0.3991956412792206,0.0,nan,False,0.0
100,340323,323.8152160644531,0.42749616503715515,0.0,nan,False,0.0
101,342143,316.935791015625,0.42387232184410095,0.0,nan,False,0.0
102,343754,268.8357849121094,0.4105373024940491,0.0,nan,False,0.0
103,345236,292.44842529296875,0.4179191291332245,0.0,nan,False,0.0
104,346907,260.7633972167969,0.43345293402671814,0.0,nan,False,0.0
105,348447,173.0997314453125,0.42922860383987427,0.0,nan,False,0.0
106,349901,288.59979248046875,0.4335305690765381,0.0,nan,False,0.0
107,351548,187.34786987304688,0.44032031297683716,0.0,nan,False,0.0
108,352893,153.05239868164062,0.4579004645347595,0.0,nan,False,0.0
109,354468,172.78565979003906,0.5321913957595825,0.0,nan,False,0.0
110,356201,257.83367919921875,0.4839422106742859,0.0,nan,False,0.0
111,357801,184.706298828125,0.47637927532196045,0.0,nan,False,0.0
112,359153,123.86145782470703,0.49798446893692017,0.0,nan,False,0.0
113,360619,191.3510284423828,0.5139695405960083,0.0,nan,False,0.0
114,361957,188.8145751953125,0.4737902879714966,0.0,nan,False,0.0
115,363297,155.6966552734375,0.5069089531898499,0.0,nan,False,0.0
116,364631,230.19749450683594,0.5107864737510681,0.0,nan,False,0.0
117,366111,188.318603515625,0.5039456486701965,0.0,nan,False,0.0
118,367501,155.70936584472656,0.5483932495117188,0.0,nan,False,0.0
119,368845,142.0305633544922,0.543472409248352,0.0,nan,False,0.0
120,370180,266.6598205566406,0.5196183323860168,0.0,nan,False,0.0
121,371492,185.9119873046875,0.5275043845176697,0.0,nan,False,0.0
122,372783,255.55433654785156,0.5243021249771118,0.0,nan,False,0.0
123,373975,131.56231689453125,0.5411498546600342,0.0,nan,False,0.0
124,375296,119.6413803100586,0.5521878600120544,0.0,nan,False,0.0
125,376695,230.03775024414062,0.5524492859840393,0.0,nan,False,0.0
126,378113,245.62258911132812,0.5737958550453186,0.0,nan,False,0.0
127,379570,214.90672302246094,0.5735141038894653,0.0,nan,False,0.0
128,380666,275.30133056640625,0.6910502314567566,0.0,nan,False,0.0
129,382220,196.2457275390625,0.57985919713974,0.0,nan,False,0.0
130,383769,174.07203674316406,0.5834881067276001,0.0,nan,False,0.0
131,385018,119.46990203857422,0.6092938184738159,0.0,nan,False,0.0
132,386136,181.6422882080078,0.5915796160697937,0.0,nan,False,0.0
133,387366,177.9663848876953,0.6222092509269714,0.0,nan,False,0.0
134,388618,235.87538146972656,0.6029657125473022,0.0,nan,False,0.0
135,389731,99.85469055175781,0.6288124322891235,0.0,nan,False,0.0
136,390831,213.66700744628906,0.615188717842102,0.0,nan,False,0.0
137,392031,228.60079956054688,0.649867832660675,0.0,nan,False,0.0
138,393275,164.31723022460938,0.6680445671081543,0.0,nan,False,0.0
139,394372,107.63787841796875,0.6442542672157288,0.0,nan,False,0.0
140,395506,109.26998901367188,0.6657516956329346,0.0,nan,False,0.0
141,396531,172.48497009277344,0.672518789768219,0.0,nan,False,0.0
142,397629,222.1648406982422,0.6699196696281433,0.0,nan,False,0.0
143,398748,193.0103302001953,0.6851555705070496,0.0,nan,False,0.0
144,399759,138.85391235351562,0.6802224516868591,0.0,nan,False,0.0
145,400724,147.93870544433594,0.6804941296577454,0.0,nan,False,0.0
146,401730,141.41226196289062,0.709665060043335,0.0,nan,False,0.0
147,402916,140.61558532714844,0.7123288512229919,0.0,nan,False,0.0
148,404071,102.37571716308594,0.7377266883850098,0.0,nan,False,0.0
149,405119,133.71009826660156,0.7483335137367249,0.0,nan,False,0.0
150,406160,184.19482421875,0.7494052052497864,0.0,nan,False,0.0
151,407154,109.48566436767578,0.7640284895896912,0.0,nan,False,0.0
152,408135,131.78123474121094,0.7639151811599731,0.0,nan,False,0.0
153,409219,189.4736785888672,0.778035044670105,0.0,nan,False,0.0
154,410288,103.55206298828125,0.72083979845047,0.0,nan,False,0.0
155,411288,178.27145385742188,0.7888918519020081,0.0,nan,False,0.0
156,412437,157.70989990234375,0.7551723122596741,0.0,nan,False,0.0
157,413423,135.9295196533203,0.7405438423156738,0.0,nan,False,0.0
158,414571,173.5664520263672,0.8028789758682251,0.0,nan,False,0.0
159,415731,89.0060043334961,0.729499340057373,0.0,nan,False,0.0
160,416722,183.87713623046875,0.7534242868423462,0.0,nan,False,0.0
161,417719,190.50604248046875,0.7771562337875366,0.0,nan,False,0.0
162,418746,137.15696716308594,0.7706530094146729,0.0,nan,False,0.0
163,419777,97.62010192871094,0.7567905187606812,0.0,nan,False,0.0
164,420778,169.4012451171875,0.7706689238548279,0.0,nan,False,0.0
165,421760,193.15292358398438,0.7525342702865601,0.0,nan,False,0.0
166,422820,130.10035705566406,0.8898063898086548,0.0,nan,False,0.0
167,424193,133.8970947265625,0.7659052014350891,0.0,nan,False,0.0
168,425272,92.23847961425781,0.7742441892623901,0.0,nan,False,0.0
169,426316,103.04976654052734,0.7741279006004333,0.0,nan,False,0.0
170,427312,338.15667724609375,0.8917309641838074,0.0,nan,False,0.0
171,428579,206.10598754882812,0.7421219348907471,0.0,nan,False,0.0
172,429516,144.2115020751953,0.7933458089828491,0.0,nan,False,0.0
173,430543,140.70095825195312,0.7718797326087952,0.0,nan,False,0.0
174,431539,75.25614929199219,0.830348551273346,0.0,nan,False,0.0
175,432531,109.77134704589844,0.7956552505493164,0.0,nan,False,0.0
176,433600,132.8756103515625,0.800731360912323,0.0,nan,False,0.0
177,434675,133.45730590820312,0.7995379567146301,0.0,nan,False,0.0
178,435725,92.67413330078125,0.8171373009681702,0.0,nan,False,0.0
179,436762,77.0202865600586,0.7624973654747009,0.0,nan,False,0.0
180,437676,125.14594268798828,0.8024749755859375,0.0,nan,False,0.0
181,438669,93.06488037109375,0.8786312341690063,0.0,nan,False,0.0
182,439806,138.93710327148438,0.7844241857528687,0.0,nan,False,0.0
183,440818,225.60653686523438,0.744303286075592,0.0,nan,False,0.0
184,441784,134.75486755371094,0.786690354347229,0.0,nan,False,0.0
185,442709,136.0045166015625,0.8117315173149109,0.0,nan,False,0.0
