run_label,method,seed,finite,learning_rate,final_stochastic_return,final_deterministic_return,final_stochastic_termination_rate,stochastic_return_auc,environment_steps,optimizer_updates,training_episodes
reward_only,gpomdp_reward_only,401,True,0.003,-82.8125,-92.6875,1.0,-106.98203125,842127,1000,8000
entropy_fixed,gpomdp_entropy_fixed,401,True,0.003,-244.875,-86.3125,1.0,-241.84609375,1970881,1000,8000
logbarrier_fixed,gpomdp_logbarrier_fixed,401,True,0.003,-221.375,-95.1875,1.0,-243.45234375,1938947,1000,8000
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,401,True,0.003,-83.8125,-82.125,1.0,-144.34375,1134522,1000,8000
reward_only,gpomdp_reward_only,402,True,0.003,-500.0,-500.0,0.0,-499.634375,3999075,1000,8000
entropy_fixed,gpomdp_entropy_fixed,402,True,0.003,-229.375,-87.28125,1.0,-277.6828125,2198117,1000,8000
logbarrier_fixed,gpomdp_logbarrier_fixed,402,True,0.003,-253.0,-86.625,0.9375,-341.175,2757461,1000,8000
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,402,True,0.003,-105.3125,-88.625,1.0,-413.528125,3332249,1000,8000
reward_only,gpomdp_reward_only,403,True,0.003,-87.59375,-80.4375,1.0,-127.66328125,1026209,1000,8000
entropy_fixed,gpomdp_entropy_fixed,403,True,0.003,-241.96875,-86.125,1.0,-308.55546875,2520375,1000,8000
logbarrier_fixed,gpomdp_logbarrier_fixed,403,True,0.003,-234.34375,-87.5,1.0,-316.87421875,2519734,1000,8000
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,403,True,0.003,-86.25,-81.625,1.0,-213.706390625,1727327,1000,8000
reward_only,gpomdp_reward_only,404,True,0.003,-84.46875,-84.5625,1.0,-124.79609375,996617,1000,8000
entropy_fixed,gpomdp_entropy_fixed,404,True,0.003,-261.5,-128.25,1.0,-259.2015625,2041989,1000,8000
logbarrier_fixed,gpomdp_logbarrier_fixed,404,True,0.003,-243.78125,-140.8125,0.96875,-250.70546875,1998328,1000,8000
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,404,True,0.003,-78.21875,-87.53125,1.0,-148.490359375,1180996,1000,8000
reward_only,gpomdp_reward_only,405,True,0.003,-87.28125,-82.84375,1.0,-133.78984375,1071744,1000,8000
entropy_fixed,gpomdp_entropy_fixed,405,True,0.003,-256.5,-82.09375,0.96875,-264.0375,2164741,1000,8000
logbarrier_fixed,gpomdp_logbarrier_fixed,405,True,0.003,-304.09375,-104.40625,0.9375,-321.35859375,2551602,1000,8000
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,405,True,0.003,-86.4375,-87.09375,1.0,-236.437140625,1923563,1000,8000
