run_label,method,seed,finite,learning_rate,final_stochastic_return,final_deterministic_return,final_stochastic_termination_rate,stochastic_return_auc,environment_steps,optimizer_updates,training_episodes,environment_step_return_auc,failure
reward_only,gpomdp_reward_only,501,True,0.003,-82.9375,-84.90625,1.0,-191.84375,1515586,1000,8000,-327.58944294071733,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,501,True,0.003,-84.9375,-80.03125,1.0,-153.51840625,1218816,1000,8000,-220.31156446091944,False
reward_only,gpomdp_reward_only,502,True,0.003,-87.59375,-82.0,1.0,-158.6921875,1276622,1000,8000,-275.4414126572901,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,502,True,0.003,-82.96875,-82.625,1.0,-168.857734375,1359904,1000,8000,-267.3117711686818,False
reward_only,gpomdp_reward_only,503,True,0.003,-99.5,-91.1875,1.0,-174.70390625,1413585,1000,8000,-303.8050906692912,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,503,True,0.003,-97.46875,-84.53125,1.0,-196.549390625,1566968,1000,8000,-331.74191580691183,False
reward_only,gpomdp_reward_only,504,True,0.003,-89.78125,-88.90625,1.0,-110.3390625,884994,1000,8000,-141.17563125781078,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,504,True,0.003,-91.96875,-93.40625,1.0,-144.700515625,1164830,1000,8000,-188.13913992546122,False
reward_only,gpomdp_reward_only,505,True,0.003,-84.5,-87.625,1.0,-109.26484375,848686,1000,8000,-129.37933556256377,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,505,True,0.003,-93.09375,-96.21875,0.96875,-141.348171875,1158976,1000,8000,-189.06433693946207,False
reward_only,gpomdp_reward_only,506,True,0.003,-88.90625,-94.4375,1.0,-269.25546875,2147903,1000,8000,-404.5721343896233,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,506,True,0.003,-95.15625,-82.96875,1.0,-158.581015625,1257442,1000,8000,-228.7992166089967,False
reward_only,gpomdp_reward_only,507,True,0.003,-84.875,-91.0,1.0,-133.384375,1087033,1000,8000,-212.5079170779544,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,507,True,0.003,-86.71875,-89.96875,1.0,-147.767671875,1194157,1000,8000,-200.90862693829203,False
reward_only,gpomdp_reward_only,508,True,0.003,-101.625,-98.6875,1.0,-433.7734375,3492235,1000,8000,-477.7070780647995,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,508,True,0.003,-82.71875,-82.9375,1.0,-218.539875,1757436,1000,8000,-358.99526110943725,False
reward_only,gpomdp_reward_only,509,True,0.003,-83.0,-79.40625,1.0,-105.2671875,836811,1000,8000,-119.5413202996256,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,509,True,0.003,-86.09375,-87.25,1.0,-143.72371875,1118294,1000,8000,-180.592711769557,False
reward_only,gpomdp_reward_only,510,True,0.003,-87.15625,-98.875,1.0,-288.79609375,2329344,1000,8000,-416.09580468256297,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,510,True,0.003,-95.53125,-95.09375,1.0,-395.682703125,3188378,1000,8000,-465.4905104178363,False
reward_only,gpomdp_reward_only,511,True,0.003,-85.6875,-88.28125,1.0,-186.85,1489123,1000,8000,-326.8686691659285,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,511,True,0.003,-102.84375,-84.46875,1.0,-181.19021875,1445039,1000,8000,-296.4756152666987,False
reward_only,gpomdp_reward_only,512,True,0.003,-500.0,-500.0,0.0,-499.990625,3999994,1000,8000,-499.9906252671879,True
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,512,True,0.003,-87.59375,-85.25,1.0,-194.39596875,1577792,1000,8000,-324.1262236542428,False
reward_only,gpomdp_reward_only,513,True,0.003,-88.21875,-81.1875,1.0,-124.85546875,981038,1000,8000,-187.46473343157962,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,513,True,0.003,-95.84375,-84.78125,1.0,-169.884171875,1355749,1000,8000,-271.0150038949872,False
reward_only,gpomdp_reward_only,514,True,0.003,-81.25,-84.78125,1.0,-154.51640625,1275230,1000,8000,-265.22271199362075,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,514,True,0.003,-85.84375,-85.875,1.0,-165.91178125,1351386,1000,8000,-260.76942773937276,False
reward_only,gpomdp_reward_only,515,True,0.003,-86.25,-108.25,1.0,-120.38125,969895,1000,8000,-162.52687202931762,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,515,True,0.003,-83.375,-82.09375,1.0,-147.67934375,1168469,1000,8000,-192.4374286994349,False
reward_only,gpomdp_reward_only,516,True,0.003,-82.90625,-85.5625,1.0,-103.090625,817106,1000,8000,-119.73181352082838,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,516,True,0.003,-91.125,-84.375,1.0,-141.77865625,1135641,1000,8000,-178.48578601479252,False
reward_only,gpomdp_reward_only,517,True,0.003,-500.0,-500.0,0.0,-500.0,4000000,1000,8000,-500.0,True
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,517,True,0.003,-82.34375,-89.6875,1.0,-202.76696875,1640209,1000,8000,-338.5912048308325,False
reward_only,gpomdp_reward_only,518,True,0.003,-93.1875,-133.65625,1.0,-107.80546875,836613,1000,8000,-128.4267546830195,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,518,True,0.003,-83.65625,-86.625,1.0,-138.32953125,1140041,1000,8000,-177.83536151331398,False
reward_only,gpomdp_reward_only,519,True,0.003,-81.71875,-81.96875,1.0,-113.7171875,923924,1000,8000,-148.68214028561874,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,519,True,0.003,-89.59375,-88.03125,1.0,-167.152796875,1321551,1000,8000,-256.3117580687389,False
reward_only,gpomdp_reward_only,520,True,0.003,-98.21875,-83.0625,1.0,-376.54765625,3026349,1000,8000,-456.7161519179133,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,520,True,0.003,-89.78125,-81.84375,1.0,-168.728765625,1375870,1000,8000,-273.3620489558425,False
reward_only,gpomdp_reward_only,521,True,0.003,-91.65625,-85.125,1.0,-119.571875,952637,1000,8000,-171.07848884202483,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,521,True,0.003,-84.84375,-80.40625,1.0,-170.48628125,1389342,1000,8000,-277.66784016507455,False
reward_only,gpomdp_reward_only,522,True,0.003,-85.5625,-83.5625,1.0,-132.6046875,1075328,1000,8000,-215.284691624323,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,522,True,0.003,-94.28125,-92.0,1.0,-156.62775,1226893,1000,8000,-225.3751410957394,False
reward_only,gpomdp_reward_only,523,True,0.003,-77.53125,-81.75,1.0,-111.69453125,932510,1000,8000,-154.69067139695554,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,523,True,0.003,-93.71875,-88.6875,1.0,-145.06765625,1174441,1000,8000,-194.63315713869406,False
reward_only,gpomdp_reward_only,524,True,0.003,-81.15625,-84.34375,1.0,-116.93515625,966989,1000,8000,-159.5158776366639,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,524,True,0.003,-83.0625,-82.6875,1.0,-173.6546875,1399040,1000,8000,-276.72520227039615,False
reward_only,gpomdp_reward_only,525,True,0.003,-84.46875,-89.90625,1.0,-108.65703125,844944,1000,8000,-127.29075545613082,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,525,True,0.003,-80.34375,-82.75,1.0,-146.70196875,1148978,1000,8000,-184.7329237102451,False
reward_only,gpomdp_reward_only,526,True,0.003,-81.84375,-87.625,1.0,-106.2359375,861761,1000,8000,-133.51002944479387,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,526,True,0.003,-86.09375,-79.375,1.0,-162.505390625,1289002,1000,8000,-248.97381711054365,False
reward_only,gpomdp_reward_only,527,True,0.003,-85.46875,-78.96875,1.0,-189.13203125,1523586,1000,8000,-328.4130747603844,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,527,True,0.003,-91.59375,-85.34375,1.0,-160.57071875,1297543,1000,8000,-237.12303857656354,False
