seed,outcome_group,run_label,failure,final_stochastic_return,final_deterministic_return,final_stochastic_termination_rate,environment_step_return_auc,first_deterministic_return_ge_minus300_update,first_deterministic_return_ge_minus100_update,first_stochastic_return_ge_minus300_update,first_stochastic_return_ge_minus100_update,reference_entropy_mean_at_handoff,reference_entropy_q10_at_handoff,reference_entropy_q50_at_handoff,reference_entropy_q90_at_handoff,reference_action_margin_mean_at_handoff,paired_reference_greedy_action_agreement,paired_reference_disagreement_state_count,reference_state_count,visitation_frequency_of_paired_disagreement_region,stochastic_return_u0000,deterministic_return_u0000,stochastic_return_u0050,deterministic_return_u0050,stochastic_return_u0100,deterministic_return_u0100,stochastic_return_u0150,deterministic_return_u0150,stochastic_return_u0200,deterministic_return_u0200,stochastic_return_u0249,deterministic_return_u0249,stochastic_return_u0250,deterministic_return_u0250,stochastic_return_u0251,deterministic_return_u0251,stochastic_return_u0300,deterministic_return_u0300,stochastic_return_u0350,deterministic_return_u0350,stochastic_return_u0400,deterministic_return_u0400,stochastic_return_u0450,deterministic_return_u0450,stochastic_return_u0500,deterministic_return_u0500,stochastic_return_u0550,deterministic_return_u0550,stochastic_return_u0750,deterministic_return_u0750,stochastic_return_u0850,deterministic_return_u0850,stochastic_return_u1000,deterministic_return_u1000
512,reward_failed_handoff_succeeded,logbarrier_handoff_h25,False,-87.59375,-85.25,1.0,-324.1262236542428,0,251,249,550,1.0560195446014404,0.9860198497772217,1.0692144632339478,1.0964646339416504,0.12552231550216675,0.01953125,251,256,0.9921875,-499.625,-287.21875,-500.0,-500.0,-500.0,-500.0,-498.03125,-500.0,-454.71875,-212.75,-228.96875,-107.0625,-245.59375,-103.96875,-239.78125,-91.53125,-146.09375,-82.0625,-123.21875,-82.84375,-106.78125,-86.0625,-110.03125,-81.1875,-101.59375,-85.0,-99.375,-96.375,-95.28125,-84.375,-95.5625,-85.40625,-87.59375,-85.25
512,reward_failed_handoff_succeeded,reward_only,True,-500.0,-500.0,0.0,-499.9906252671879,0,,,,1.0282132625579834,0.9671883583068848,1.0303435325622559,1.08795166015625,0.04714047908782959,0.01953125,251,256,1.0,-499.625,-287.21875,-500.0,-500.0,-500.0,-500.0,-500.0,-217.40625,-500.0,-500.0,,,-500.0,-500.0,,,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0
517,reward_failed_handoff_succeeded,logbarrier_handoff_h25,False,-82.34375,-89.6875,1.0,-338.5912048308325,249,250,300,550,1.0752060413360596,1.0417346954345703,1.0839574337005615,1.0962328910827637,0.09566725790500641,0.29296875,181,256,0.6611328125,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-494.15625,-500.0,-361.5625,-100.1875,-314.9375,-89.78125,-308.53125,-91.21875,-161.15625,-80.78125,-124.625,-93.375,-126.46875,-84.28125,-102.21875,-81.9375,-102.5625,-85.78125,-93.1875,-81.28125,-89.71875,-81.125,-92.3125,-84.09375,-82.34375,-89.6875
517,reward_failed_handoff_succeeded,reward_only,True,-500.0,-500.0,0.0,-500.0,,,,,0.981724739074707,0.8246607780456543,0.9978371858596802,1.0942330360412598,0.2874372601509094,0.29296875,181,256,0.59716796875,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,,,-500.0,-500.0,,,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0
532,reward_failed_handoff_succeeded,logbarrier_handoff_h25,False,-89.5,-79.1875,1.0,-375.83793199704706,350,400,350,550,1.0928672552108765,1.0865724086761475,1.0942842960357666,1.0975515842437744,0.0540899932384491,0.921875,20,256,0.08984375,-500.0,-500.0,-500.0,-500.0,-498.53125,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-222.21875,-212.375,-125.875,-95.3125,-113.125,-118.375,-101.53125,-92.1875,-92.53125,-81.78125,-88.53125,-79.9375,-93.53125,-156.40625,-89.5,-79.1875
532,reward_failed_handoff_succeeded,reward_only,True,-500.0,-500.0,0.0,-499.7659839508812,,,,,1.0503519773483276,0.9795302152633667,1.0715343952178955,1.0952813625335693,0.1371217966079712,0.921875,20,256,0.07568359375,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,,,-500.0,-500.0,,,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0
538,reward_failed_handoff_succeeded,logbarrier_handoff_h25,False,-87.03125,-88.75,1.0,-354.7632865299968,249,300,300,450,1.09565269947052,1.0922099351882935,1.0963869094848633,1.0976791381835938,0.03104603849351406,0.109375,228,256,0.904296875,-496.125,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-498.28125,-500.0,-349.5,-481.6875,-105.15625,-492.0625,-191.25,-481.46875,-148.9375,-182.96875,-79.53125,-115.53125,-81.84375,-110.53125,-82.125,-93.34375,-81.9375,-96.59375,-175.40625,-98.40625,-128.65625,-99.28125,-81.5,-88.9375,-85.9375,-87.03125,-88.75
538,reward_failed_handoff_succeeded,reward_only,True,-500.0,-500.0,0.0,-499.903125,,,,,1.0570101737976074,0.9896209239959717,1.0694563388824463,1.0950756072998047,0.10924552381038666,0.109375,228,256,0.91162109375,-496.125,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,,,-500.0,-500.0,,,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0
542,reward_failed_handoff_succeeded,logbarrier_handoff_h25,False,-89.25,-82.9375,1.0,-322.09336084486887,249,249,249,550,1.0595910549163818,1.0071015357971191,1.072615385055542,1.0962352752685547,0.0960516408085823,0.1015625,230,256,0.8994140625,-498.46875,-500.0,-500.0,-500.0,-500.0,-500.0,-498.90625,-463.40625,-412.8125,-345.15625,-247.5,-89.125,-245.375,-94.9375,-251.375,-87.21875,-124.90625,-85.5625,-119.3125,-348.46875,-112.3125,-94.28125,-117.40625,-101.125,-104.21875,-85.28125,-99.28125,-89.375,-89.90625,-84.03125,-98.125,-82.375,-89.25,-82.9375
542,reward_failed_handoff_succeeded,reward_only,True,-500.0,-500.0,0.0,-499.9228315975661,,,,,0.8540067672729492,0.7968894839286804,0.8365563154220581,0.9448378086090088,0.4433896541595459,0.1015625,230,256,0.83349609375,-498.46875,-500.0,-500.0,-500.0,-499.21875,-500.0,-500.0,-500.0,-500.0,-500.0,,,-500.0,-500.0,,,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0
