seed,stage,reward_only_failure,reward_only_final_return,reward_only_termination_rate,reward_only_environment_step_auc,logbarrier_handoff_h25_failure,logbarrier_handoff_h25_final_return,logbarrier_handoff_h25_termination_rate,logbarrier_handoff_h25_environment_step_auc,discordant
501,conf_20,False,-82.938,1.0,-327.589,False,-84.938,1.0,-220.312,False
502,conf_20,False,-87.594,1.0,-275.441,False,-82.969,1.0,-267.312,False
503,conf_20,False,-99.5,1.0,-303.805,False,-97.469,1.0,-331.742,False
504,conf_20,False,-89.781,1.0,-141.176,False,-91.969,1.0,-188.139,False
505,conf_20,False,-84.5,1.0,-129.379,False,-93.094,0.9688,-189.064,False
506,conf_20,False,-88.906,1.0,-404.572,False,-95.156,1.0,-228.799,False
507,conf_20,False,-84.875,1.0,-212.508,False,-86.719,1.0,-200.909,False
508,conf_20,False,-101.625,1.0,-477.707,False,-82.719,1.0,-358.995,False
509,conf_20,False,-83.0,1.0,-119.541,False,-86.094,1.0,-180.593,False
510,conf_20,False,-87.156,1.0,-416.096,False,-95.531,1.0,-465.491,False
511,conf_20,False,-85.688,1.0,-326.869,False,-102.844,1.0,-296.476,False
512,conf_20,True,-500.0,0.0,-499.991,False,-87.594,1.0,-324.126,True
513,conf_20,False,-88.219,1.0,-187.465,False,-95.844,1.0,-271.015,False
514,conf_20,False,-81.25,1.0,-265.223,False,-85.844,1.0,-260.769,False
515,conf_20,False,-86.25,1.0,-162.527,False,-83.375,1.0,-192.437,False
516,conf_20,False,-82.906,1.0,-119.732,False,-91.125,1.0,-178.486,False
517,conf_20,True,-500.0,0.0,-500.0,False,-82.344,1.0,-338.591,True
518,conf_20,False,-93.188,1.0,-128.427,False,-83.656,1.0,-177.835,False
519,conf_20,False,-81.719,1.0,-148.682,False,-89.594,1.0,-256.312,False
520,conf_20,False,-98.219,1.0,-456.716,False,-89.781,1.0,-273.362,False
521,reliability_extension_60_total,False,-91.656,1.0,-171.078,False,-84.844,1.0,-277.668,False
522,reliability_extension_60_total,False,-85.562,1.0,-215.285,False,-94.281,1.0,-225.375,False
523,reliability_extension_60_total,False,-77.531,1.0,-154.691,False,-93.719,1.0,-194.633,False
524,reliability_extension_60_total,False,-81.156,1.0,-159.516,False,-83.062,1.0,-276.725,False
525,reliability_extension_60_total,False,-84.469,1.0,-127.291,False,-80.344,1.0,-184.733,False
526,reliability_extension_60_total,False,-81.844,1.0,-133.51,False,-86.094,1.0,-248.974,False
527,reliability_extension_60_total,False,-85.469,1.0,-328.413,False,-91.594,1.0,-237.123,False
528,reliability_extension_60_total,False,-79.969,1.0,-359.616,False,-88.0,1.0,-332.696,False
