environment,method,seed,update,environment_steps,deterministic_return,stochastic_return,deterministic_return_standard_deviation,stochastic_return_standard_deviation,episode_length,deterministic_termination_rate,stochastic_termination_rate,entropy,mean_min_probability,global_min_probability,barrier_value,beta,barrier_active
Acrobot-v1,gpomdp_logbarrier_handoff,627,0,0,-500.0,-483.125,0.0,51.20153097509437,500.0,0.0,0.1875,1.0818556547164917,0.2607279419898987,0.19126936793327332,-1.1162725687026978,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_handoff,627,50,143029,-87.90625,-282.25,34.2423614039121,97.34673644644792,88.90625,1.0,0.90625,1.0406075716018677,0.22199727594852448,0.14281035959720612,-1.1580570936203003,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_handoff,627,100,246117,-93.875,-249.84375,74.75281848176523,63.39640234780804,94.84375,0.96875,1.0,1.0552246570587158,0.24822700023651123,0.15456463396549225,-1.1419756412506104,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_handoff,627,150,346237,-89.8125,-250.15625,32.747752939410134,75.46249201830605,90.8125,1.0,0.96875,1.040349006652832,0.23824208974838257,0.14388132095336914,-1.1566542387008667,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_handoff,627,200,443079,-81.3125,-225.90625,10.393662771441626,55.77567938887273,82.3125,1.0,1.0,1.0438791513442993,0.2373603731393814,0.15211400389671326,-1.153523325920105,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_handoff,627,249,535227,-189.84375,-242.40625,171.65233230423604,41.303643028422506,190.625,0.78125,1.0,1.047921895980835,0.23625719547271729,0.14607279002666473,-1.150051474571228,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_handoff,627,250,537160,-338.53125,-254.40625,198.76440655840807,64.91625343222928,338.9375,0.40625,1.0,1.0499067306518555,0.23814082145690918,0.1463715136051178,-1.1480046510696411,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,627,251,539150,-359.03125,-259.5,197.974987728574,47.8654026849618,359.375,0.34375,1.0,1.0486714839935303,0.23764431476593018,0.14588554203510284,-1.1491698026657104,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,627,300,616754,-80.59375,-144.90625,12.995928332589653,19.14858602545351,81.59375,1.0,1.0,0.9054028987884521,0.16248580813407898,0.060336291790008545,-1.312045693397522,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,627,350,668845,-78.78125,-110.84375,6.379070490485322,26.249558368020764,79.78125,1.0,1.0,0.7449787855148315,0.11006368696689606,0.027121491730213165,-1.5440987348556519,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,627,400,714021,-91.53125,-104.75,34.209020103645365,31.167601044012187,92.53125,1.0,1.0,0.6432408690452576,0.08222955465316772,0.014387994073331356,-1.7368898391723633,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,627,450,756703,-85.5,-114.21875,16.91344187707021,53.29451607387375,86.5,1.0,1.0,0.5943626165390015,0.07396233081817627,0.013149810023605824,-1.8274611234664917,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,627,500,796512,-81.375,-109.3125,13.599691647358252,56.71515556681249,82.375,1.0,1.0,0.5022422075271606,0.05447959154844284,0.009043768048286438,-2.036135673522949,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,627,550,837159,-78.3125,-94.59375,8.058005436390772,20.131598297204324,79.3125,1.0,1.0,0.46822619438171387,0.05328879877924919,0.007509822957217693,-2.121161460876465,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,627,600,876790,-90.0625,-98.5,25.94154408814979,34.878591270753155,91.0625,1.0,1.0,0.44981974363327026,0.04809242859482765,0.0064973169937729836,-2.1989917755126953,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,627,650,916071,-80.5,-90.1875,7.048221006384427,13.789751921790186,81.5,1.0,1.0,0.43454888463020325,0.04650513455271721,0.005298590287566185,-2.268112897872925,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,627,700,953668,-89.0,-97.15625,32.45145257447729,36.89751226424788,90.0,1.0,1.0,0.38743889331817627,0.03904653340578079,0.004381993319839239,-2.4086122512817383,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,627,750,990841,-81.625,-90.09375,8.091213872805728,20.514918843643773,82.625,1.0,1.0,0.3658381402492523,0.03718401864171028,0.0034600510261952877,-2.4677271842956543,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,627,800,1027493,-82.15625,-86.0625,8.969875659943046,13.476233560151067,83.15625,1.0,1.0,0.3380059599876404,0.034607019275426865,0.002849504817277193,-2.576787233352661,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,627,850,1063926,-85.40625,-90.03125,16.19211153020049,22.187593707207842,86.40625,1.0,1.0,0.3198566138744354,0.03276892378926277,0.0025834867265075445,-2.6312642097473145,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,627,900,1099904,-81.3125,-88.375,7.367923067091611,27.13853349022382,82.3125,1.0,1.0,0.29848870635032654,0.030583340674638748,0.002172405133023858,-2.730565309524536,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,627,950,1135215,-83.71875,-101.03125,10.952196347706229,38.61345609933775,84.71875,1.0,1.0,0.28040415048599243,0.027972310781478882,0.0016582865500822663,-2.8472816944122314,0.0,False
Acrobot-v1,gpomdp_logbarrier_handoff,627,1000,1171492,-82.375,-87.59375,11.516467872488704,23.883938961623993,83.375,1.0,1.0,0.26187312602996826,0.02452978678047657,0.0014852761523798108,-2.9376587867736816,0.0,False
