update,environment_steps,batch_training_episodes,cumulative_training_episodes,training_return,training_episode_length,beta,barrier_active
1,3781,8,8,-472.375,472.625,546.4135158976487,True
2,7698,8,16,-489.5,489.625,546.4135158976487,True
3,11640,8,24,-492.5,492.75,546.4135158976487,True
4,15533,8,32,-486.375,486.625,546.4135158976487,True
5,19533,8,40,-500.0,500.0,546.4135158976487,True
6,23384,8,48,-481.25,481.375,546.4135158976487,True
7,27220,8,56,-479.125,479.5,546.4135158976487,True
8,30957,8,64,-467.0,467.125,546.4135158976487,True
9,34751,8,72,-473.875,474.25,546.4135158976487,True
10,38442,8,80,-460.75,461.375,546.4135158976487,True
11,41840,8,88,-424.125,424.75,546.4135158976487,True
12,45491,8,96,-455.75,456.375,546.4135158976487,True
13,48620,8,104,-390.375,391.125,546.4135158976487,True
14,51975,8,112,-418.75,419.375,546.4135158976487,True
15,55518,8,120,-442.25,442.875,546.4135158976487,True
16,58797,8,128,-409.125,409.875,546.4135158976487,True
17,62185,8,136,-422.625,423.5,546.4135158976487,True
18,65312,8,144,-390.0,390.875,546.4135158976487,True
19,68698,8,152,-422.875,423.25,546.4135158976487,True
20,72021,8,160,-414.75,415.375,546.4135158976487,True
21,75176,8,168,-393.5,394.375,546.4135158976487,True
22,77829,8,176,-330.75,331.625,546.4135158976487,True
23,81140,8,184,-413.125,413.875,546.4135158976487,True
24,83737,8,192,-323.625,324.625,546.4135158976487,True
25,85995,8,200,-281.25,282.25,546.4135158976487,True
26,88762,8,208,-345.0,345.875,546.4135158976487,True
27,91624,8,216,-356.75,357.75,546.4135158976487,True
28,93792,8,224,-270.0,271.0,546.4135158976487,True
29,96265,8,232,-308.25,309.125,546.4135158976487,True
30,99095,8,240,-352.875,353.75,546.4135158976487,True
31,101762,8,248,-332.5,333.375,546.4135158976487,True
32,104338,8,256,-321.0,322.0,546.4135158976487,True
33,106918,8,264,-321.5,322.5,546.4135158976487,True
34,109166,8,272,-280.0,281.0,546.4135158976487,True
35,111901,8,280,-341.0,341.875,546.4135158976487,True
36,114136,8,288,-278.375,279.375,546.4135158976487,True
37,116240,8,296,-262.125,263.0,546.4135158976487,True
38,118479,8,304,-278.875,279.875,546.4135158976487,True
39,120771,8,312,-285.5,286.5,546.4135158976487,True
40,122672,8,320,-236.625,237.625,546.4135158976487,True
41,124468,8,328,-223.5,224.5,546.4135158976487,True
42,126740,8,336,-283.0,284.0,546.4135158976487,True
43,128851,8,344,-262.875,263.875,546.4135158976487,True
44,130839,8,352,-247.5,248.5,546.4135158976487,True
45,133004,8,360,-269.625,270.625,546.4135158976487,True
46,135259,8,368,-280.875,281.875,546.4135158976487,True
47,137305,8,376,-254.75,255.75,546.4135158976487,True
48,139345,8,384,-254.0,255.0,546.4135158976487,True
49,141350,8,392,-249.625,250.625,546.4135158976487,True
50,143029,8,400,-208.875,209.875,546.4135158976487,True
51,144889,8,408,-231.5,232.5,546.4135158976487,True
52,146974,8,416,-259.625,260.625,546.4135158976487,True
53,149095,8,424,-264.25,265.125,546.4135158976487,True
54,150833,8,432,-216.25,217.25,546.4135158976487,True
55,152539,8,440,-212.25,213.25,546.4135158976487,True
56,154485,8,448,-242.25,243.25,546.4135158976487,True
57,156929,8,456,-304.5,305.5,546.4135158976487,True
58,158887,8,464,-243.75,244.75,546.4135158976487,True
59,160885,8,472,-248.75,249.75,546.4135158976487,True
60,162926,8,480,-254.125,255.125,546.4135158976487,True
61,164723,8,488,-223.625,224.625,546.4135158976487,True
62,166742,8,496,-251.375,252.375,546.4135158976487,True
63,169022,8,504,-284.0,285.0,546.4135158976487,True
64,171035,8,512,-250.625,251.625,546.4135158976487,True
65,173256,8,520,-276.625,277.625,546.4135158976487,True
66,175352,8,528,-261.0,262.0,546.4135158976487,True
67,177372,8,536,-251.5,252.5,546.4135158976487,True
68,179486,8,544,-263.25,264.25,546.4135158976487,True
69,181308,8,552,-226.75,227.75,546.4135158976487,True
70,183135,8,560,-227.375,228.375,546.4135158976487,True
71,185129,8,568,-248.25,249.25,546.4135158976487,True
72,187034,8,576,-237.125,238.125,546.4135158976487,True
73,188791,8,584,-218.625,219.625,546.4135158976487,True
74,190888,8,592,-261.25,262.125,546.4135158976487,True
75,192756,8,600,-232.5,233.5,546.4135158976487,True
76,194848,8,608,-260.5,261.5,546.4135158976487,True
77,197286,8,616,-303.75,304.75,546.4135158976487,True
78,199348,8,624,-256.75,257.75,546.4135158976487,True
79,201489,8,632,-266.625,267.625,546.4135158976487,True
80,203180,8,640,-210.375,211.375,546.4135158976487,True
81,205062,8,648,-234.25,235.25,546.4135158976487,True
82,207062,8,656,-249.0,250.0,546.4135158976487,True
83,209187,8,664,-264.625,265.625,546.4135158976487,True
84,211414,8,672,-277.375,278.375,546.4135158976487,True
85,213842,8,680,-302.625,303.5,546.4135158976487,True
86,215681,8,688,-228.875,229.875,546.4135158976487,True
87,218143,8,696,-306.875,307.75,546.4135158976487,True
88,220474,8,704,-290.375,291.375,546.4135158976487,True
89,222676,8,712,-274.25,275.25,546.4135158976487,True
90,224986,8,720,-287.875,288.75,546.4135158976487,True
91,226958,8,728,-245.5,246.5,546.4135158976487,True
92,228750,8,736,-223.0,224.0,546.4135158976487,True
93,230774,8,744,-252.0,253.0,546.4135158976487,True
94,233041,8,752,-282.375,283.375,546.4135158976487,True
95,235041,8,760,-249.0,250.0,546.4135158976487,True
96,237141,8,768,-261.5,262.5,546.4135158976487,True
97,239693,8,776,-318.0,319.0,546.4135158976487,True
98,242268,8,784,-321.0,321.875,546.4135158976487,True
99,244166,8,792,-236.25,237.25,546.4135158976487,True
100,246117,8,800,-242.875,243.875,546.4135158976487,True
101,248146,8,808,-252.625,253.625,546.4135158976487,True
102,250080,8,816,-240.75,241.75,546.4135158976487,True
103,251983,8,824,-236.875,237.875,546.4135158976487,True
104,253851,8,832,-232.5,233.5,546.4135158976487,True
105,255837,8,840,-247.25,248.25,546.4135158976487,True
106,257834,8,848,-248.625,249.625,546.4135158976487,True
107,259576,8,856,-216.75,217.75,546.4135158976487,True
108,261478,8,864,-236.75,237.75,546.4135158976487,True
109,263303,8,872,-227.125,228.125,546.4135158976487,True
110,265343,8,880,-254.0,255.0,546.4135158976487,True
111,267463,8,888,-264.0,265.0,546.4135158976487,True
112,270082,8,896,-326.5,327.375,546.4135158976487,True
