environment,method,seed,update,environment_steps,deterministic_return,stochastic_return,deterministic_return_standard_deviation,stochastic_return_standard_deviation,episode_length,deterministic_termination_rate,stochastic_termination_rate,entropy,mean_min_probability,global_min_probability,barrier_value,beta,barrier_active
Acrobot-v1,gpomdp_reward_only,585,0,0,-500.0,-500.0,0.0,0.0,500.0,0.0,0.0,1.0939067602157593,0.3026374876499176,0.23715612292289734,-1.1032856702804565,0.0,False
Acrobot-v1,gpomdp_reward_only,585,50,196752,-500.0,-449.9375,0.0,73.5030995615919,500.0,0.0,0.5625,1.0817029476165771,0.2757643461227417,0.23417523503303528,-1.115274429321289,0.0,False
Acrobot-v1,gpomdp_reward_only,585,100,299581,-105.125,-172.84375,52.40582952059757,71.13735436100974,106.125,1.0,0.96875,0.9326220154762268,0.1670278012752533,0.09375382214784622,-1.2734642028808594,0.0,False
Acrobot-v1,gpomdp_reward_only,585,150,355303,-83.4375,-124.3125,25.17927655318825,17.196093892546944,84.4375,1.0,1.0,0.7942836284637451,0.12122740596532822,0.051562439650297165,-1.4443318843841553,0.0,False
Acrobot-v1,gpomdp_reward_only,585,200,402123,-82.375,-108.15625,13.9832849525609,20.378846361662823,83.375,1.0,1.0,0.6931807994842529,0.09269443154335022,0.03496227785944939,-1.5977104902267456,0.0,False
Acrobot-v1,gpomdp_reward_only,585,250,447846,-86.9375,-109.0625,26.457436908021446,44.58911880861778,87.9375,1.0,1.0,0.6087955832481384,0.07316318899393082,0.024965506047010422,-1.7307212352752686,0.0,False
Acrobot-v1,gpomdp_reward_only,585,300,490989,-121.5625,-101.34375,105.28270314085387,21.41692031563949,122.5,0.9375,1.0,0.5149878859519958,0.05632495507597923,0.016241705045104027,-1.9076030254364014,0.0,False
Acrobot-v1,gpomdp_reward_only,585,350,532886,-95.25,-100.28125,31.29155301870747,34.61328700220154,96.25,1.0,1.0,0.4570554196834564,0.04588945955038071,0.01171400211751461,-2.0483603477478027,0.0,False
Acrobot-v1,gpomdp_reward_only,585,400,573769,-86.65625,-106.5,20.278081882631543,36.082343103947224,87.65625,1.0,1.0,0.43766483664512634,0.04199055954813957,0.00964335072785616,-2.1086418628692627,0.0,False
Acrobot-v1,gpomdp_reward_only,585,450,613020,-81.40625,-89.25,11.143808855434107,15.379080890360713,82.40625,1.0,1.0,0.3843482732772827,0.03607509285211563,0.006647404283285141,-2.2512550354003906,0.0,False
Acrobot-v1,gpomdp_reward_only,585,500,649835,-87.375,-89.78125,17.07620491191027,32.34265572015165,88.375,1.0,1.0,0.33711373805999756,0.028881127014756203,0.005776703357696533,-2.397373676300049,0.0,False
Acrobot-v1,gpomdp_reward_only,585,550,686915,-101.3125,-89.125,76.15240978543642,24.40485144788938,102.28125,0.96875,1.0,0.3437684178352356,0.02933238260447979,0.005186751484870911,-2.4024498462677,0.0,False
Acrobot-v1,gpomdp_reward_only,585,600,722668,-82.03125,-91.59375,9.017847447181904,38.02958048592548,83.03125,1.0,1.0,0.32364988327026367,0.02678471803665161,0.004430330824106932,-2.4689579010009766,0.0,False
Acrobot-v1,gpomdp_reward_only,585,650,758927,-93.375,-86.53125,34.858006901733354,30.25268249902968,94.375,1.0,1.0,0.29277512431144714,0.024371949955821037,0.003680504858493805,-2.563272714614868,0.0,False
Acrobot-v1,gpomdp_reward_only,585,700,795558,-83.71875,-92.9375,23.57723666398752,47.40827306323981,84.71875,1.0,1.0,0.2685008943080902,0.021411288529634476,0.003088505705818534,-2.6409502029418945,0.0,False
Acrobot-v1,gpomdp_reward_only,585,750,831955,-84.6875,-93.65625,16.921903156903273,32.13340074670571,85.6875,1.0,1.0,0.25833287835121155,0.020083868876099586,0.002644763793796301,-2.696664333343506,0.0,False
Acrobot-v1,gpomdp_reward_only,585,800,868650,-81.59375,-85.6875,11.913287174005443,13.130701526599603,82.59375,1.0,1.0,0.23697850108146667,0.017981529235839844,0.0022870576940476894,-2.8190300464630127,0.0,False
Acrobot-v1,gpomdp_reward_only,585,850,903734,-84.90625,-85.65625,26.747757669056682,20.066999671262558,85.90625,1.0,1.0,0.20273317396640778,0.014713996089994907,0.0017897466896101832,-2.987419605255127,0.0,False
Acrobot-v1,gpomdp_reward_only,585,900,938998,-79.75,-89.5625,10.913146851094252,30.061160774274406,80.75,1.0,1.0,0.1892910748720169,0.012706120498478413,0.0014221454039216042,-3.066164493560791,0.0,False
Acrobot-v1,gpomdp_reward_only,585,950,973932,-83.375,-88.9375,20.58146676487243,23.000613596303285,84.375,1.0,1.0,0.17720438539981842,0.012428882531821728,0.0011490313336253166,-3.168314218521118,0.0,False
Acrobot-v1,gpomdp_reward_only,585,1000,1008439,-87.21875,-81.96875,13.022893922973966,18.902951425125263,88.21875,1.0,1.0,0.17597611248493195,0.011953025124967098,0.0010957850608974695,-3.21118426322937,0.0,False
